SiteIDYear,SiteID,SiteIDShort,SiteIDFld,Project,Date,Time,Year,ObservEnv,ObservVeg,ObservSoil,ObservWat,ObservDLog,ObservOther,LocBiome,LocEcoregion,LocLandmark,LocCode,LatWGS84,LonWGS84,ElevEllip_m,LatNAD83-11,LonNAD83-11,ElevOrtho_m,ElevMeth,PlotType,PlotSize_m,PlotRepeat,PlotPhotos,PlotVegID,PlotSoilID,PlotWatID,PlotDlogID,Treatment,TreatAggr,Physiog,Slope_deg,Aspect_deg,Aspect_Card,GeomSurfFld,GeomSurfFnl,GeomSurfAlt,GeomSubFld,GeomSubFnl,GeomSurfSub,GeomDom,GeomAggr,TopoMacro,TopoMicro,TopoRelief_cm,TopoDepress_m,TkarstType,TKarstStage,TKarstStageAlt,SurfRockPct,SurfFrostScarPct,WaterDep_cm,WaterAbvBlw,WaterSat30,WaterRegNWI,WaterpH,WaterEC_uScm,SoilpH10,SoilpH40,SoilpHGrad,SoilEC10_uScm,SitepH,SiteEC_uScm,SiteChem,SoilMotlDep_cm,SoilGleyDep_cm,SoilDrainage,SoilMoisture,SoilHydric,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilTxtMin40,SoilTxtDom40,SoilSiltThk_cm,SoilRockDep_cm,SoilThawDep_cm,SoilFrostBot_cm,SoilCryoturb,SoilPFrost,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,SoilMethod,SoilClassFld,SoilClassFnl,SoilClassEd,SoilLandscape,VegClass4Fld,VegClass4Fnl,VegClass4Alt,VegStruct,VegDomSpec,VegFlorClass,VegMethod,VegQual,DisturbClass,DisturbYear,DisturbInterv,EcotypeFld,EcotypeLvl8,Wetland,NotesFld,NotesOff,ClimMAAT_C,ClimMAP_mm,ClimMethod,DataRevEnv,DataRevSoil,DataRevVeg,DataOrigin,OutlierEnv,OutlierVeg,References,WaterStore_m,CarbStock_kgm2,CarbWat_SumDepth,CarbStock_PostTK_kgm2,FolderPath,FolderStatus,WebSiteUploadTxt
01GALB,01GALB,01GALB,,UAF Palmer Soil Lab Surveys,7/21/01 0:00,,2001,"Ping, Michaelson",n,"Ping, Michaelson",n,n,n,A,Northern Brooks Range,Galbrath,GALB,68.48,-149.47,9999,0,0,0,GPS-recr,Perm-Soil,2 m rad,1,N,nd,01GALB,na,na,nd,nd,L,0,0,,nd,Ldi,nd,nd,nd,Ldi/nd,Ldi,Ldi,Bd,Plll,999,0,UD,UD,nd,0,0,999,u,y,Nsa,0,0,7.4,7.9,-0.5,0,7.4,0,B,999,999,P,W,y,22,22,0,L,O,9999,9999,53,999,a,p,999,100,y,y,p,nd,nd,nd,ALO,nd,Hgwst,nd,MS,nd,nd,nd,nd,nd,0,0,nd,nd,u,,location approx.,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\01GALB,table,3/31/23
05Sagwon,05Sagwon,05Sagwon,05Sagwon,UAF Palmer Soil Lab Surveys,7/9/05 0:00,,2005,"Ping, Michaelson",n,"Ping, Michaelson",n,n,n,A,Brooks Foothills,Sagwon,SAGW,69.44,-148.62,9999,0,0,0,GPS-recr,Perm-Soil,2 m rad,1,N,nd,05Sagwon,na,na,nd,nd,U,999,999,,nd,Ch,nd,nd,nd,Ch/nd,Ch,Ch,Suc,Fh,999,0,UD,UD,nd,999,999,999,u,y,Nsa,0,0,6.3,0,99,0,6.3,0,C,999,999,Ps,M,y,12,12,0,L,O,9999,9999,41,999,p,p,999,100,y,Y,p,nd,Gtat,11,AUO,nd,Hgmt,nd,MT,nd,nd,nd,nd,nd,0,0,nd,nd,u,,location approx.,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\05Sagwon,table,3/31/23
10ImnCrk,10ImnCrk,10ImnCrk,10ImnCrk,UAF Palmer Soil Lab Surveys,7/12/10 0:00,,2010,"Ping, Michaelson",n,"Ping, Michaelson",n,n,n,A,Brooks Foothills,Imnaviat Creek,IMN,68.61,-149.31,9999,0,0,0,GPS-recr,Perm-Soil,2 m rad,1,N,nd,10ImnCrk,na,na,nd,nd,G,999,999,,nd,Gmo,nd,nd,nd,Gmo/nd,Gmo,Gto,Sup,Fh,999,0,UD,UD,nd,999,999,999,u,y,Nsa,0,0,4.3,0,99,0,4.3,0,A,999,999,Ps,M,y,65,40,0,P,P,9999,9999,999,999,u,p,999,210,y,Y,p,nd,Ghsq,11,AGP,nd,Hgmt,nd,MT,nd,nd,nd,nd,nd,0,0,nd,nd,u,,location approx.,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\10ImnCrk,table,3/31/23
98AK185001,98AK185001,98AK185001,DH 411,UAF Palmer Soil Lab Surveys,7/1/98 0:00,,1998,"Ping, Michaelson",n,"Ping,W. Lynn, Michaelson",n,n,n,A,Beaufort Coastal Plain,Prudhoe Bay,PB,70.16,-148.45,9999,,,,GPS-recr,Soil,2 m rad,1,N,nd,98AK185001,na,na,nd,nd,L,0,0,,nd,Fbob,Fbob,nd,Fbr,Fbob/Fbr,Fbob,Fbob,Fi,nd,999,999,UD,UD,nd,999,999,999,u,u,Nse,0,0,0,0,99,0,0,0,x,999,999,P,W,y,18,18,0,L,O,9999,9999,54,999,p,p,999,100,y,Y,p,nd,Gtlt,11,ALO,nd,Hgwst,nd,MS,nd,nd,nd,nd,nd,0,0,nd,nd,u,,some site characteristics photointerpreted by MTJ,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\98AK185001,soildesc,9/28/22
98AK185001A,98AK185001A,98AK185001A,98AK185001,UAF Palmer Soil Lab Surveys,7/1/98 0:00,,1998,"Ping, Michaelson",n,"Ping,W. Lynn, Michaelson",n,n,n,A,Beaufort Coastal Plain,Prudhoe Bay,PB,70.16,-148.45,9999,,,,GPS-recr,Soil,2 m rad,1,N,nd,98AK185001A,na,na,nd,nd,L,0,0,,nd,Fbob,Fbob,nd,Fbr,Fbob/Fbr,Fbob,Fbob,Fi,nd,999,999,UD,UD,nd,999,999,999,u,u,Nse,0,0,0,0,99,0,0,0,x,999,999,P,W,y,0,0,0,L,L,9999,9999,65,999,p,p,999,75,y,Y,p,nd,Gtlt,11,ALL,nd,Hgwst,nd,MS,nd,nd,nd,nd,nd,0,0,nd,nd,u,Duplicate set of soil samples from same pit,some site characteristics photointerpreted by MTJ,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\98AK185001,soildesc,9/28/22
98AK185003,98AK185003,98AK185003,Chandlar Shelf,UAF Palmer Soil Lab Surveys,7/1/98 0:00,,1998,"Ping, Michaelson",n,"Ping,W. Lynn, Michaelson",n,n,n,A,Northern Brooks Range,Chandalar Shelf,DALTN,68.06,-149.57,9999,,,,GPS-recr,Perm-Soil,2 m rad,1,N,nd,98AK185003,na,na,nd,nd,G,999,999,,nd,Elt,Ff,nd,Gto,Elt/Gto,Gto,Gto,S,nd,999,999,UD,UD,nd,999,999,999,u,u,Nse,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,29,29,0,L,O,9999,9999,40,999,p,p,999,100,y,Y,p,nd,Gtat,11,AGO,nd,Hgmss,nd,MD,nd,nd,nd,nd,nd,0,0,nd,nd,u,,some site characteristics photointerpreted by MTJ,99,999,nd,y,y,n,PRC-UAF,n,n,,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\98AK185003,soildesc,9/28/22
AL1-TH10-632-2010,AL1-TH10-632,AL1-TH10-632,AL1-TH10-632,ADOT Arctic Transportation Planning Geophysics,9/1/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.26,-150.7,9999,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL1-TH10-632,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,C,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,6,6,999,L,L,9999,9999,39,999,u,p,999,400,y,y,c,nd,nd,nd,AUL,nd,Hgmt,nd,MT,erivag marcha,nd,OP,D,Nf,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL1-TH10-632,photos,9/28/22
AL2-1-2010,AL2-1,AL2-1,AL2-1,ADOT Arctic Transportation Planning Geophysics,9/8/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.73,198,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-1,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,C,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,12,12,999,L,L,9999,9999,42,999,p,p,91,150,y,n,c,nd,nd,nd,AUL,nd,Slott,nd,SK,erivag,nd,OP,D,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-1,photos,9/28/22
AL2-2-2010,AL2-2,AL2-2,AL2-2,ADOT Arctic Transportation Planning Geophysics,9/8/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.73,199,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-2,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,C,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,18,22,999,O,O,9999,9999,43,999,u,p,999,250,y,n,c,nd,nd,nd,AUO,nd,Slott,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-2,photos,9/28/22
AL2-3-2010,AL2-3,AL2-3,AL2-3,ADOT Arctic Transportation Planning Geophysics,9/8/10 0:00,,2010,Kanevskiy,n,Kanevskiy,n,n,n,A,Brooks Foothills,Umiat,UM,69.25,-150.73,195,,,,GPS-recr,Perm-soil,1 m rad,1,y,nd,AL2-3,na,na,nd,nd,U,999,999,,Elui,Elui,Elui,nd,nd,Elui/nd,Elui,Elui,C,Phl,999,999,UD,UD,nd,999,999,999,u,u,Nsa,0,0,0,0,99,0,0,0,x,999,999,Ps,M,y,15,18,999,L,L,9999,9999,49,999,u,p,999,200,y,n,c,nd,nd,nd,AUL,nd,Slott,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,u,,,99,999,nd,n,n,n,UAF/ADOT,n,n,Schnabel et al. 2012,0,0,0,,SiteFolder#B:\AkEcoSci\Projects\2018 NSF-UAF Upper Permafrost\SiteFolders\AL2-3,photos,9/28/22
