Date,Mean_thaw_cm,Standard_Devation_cm,Standard_Error_cm,N,Minimum_cm,Maximum_cm,CV_%
Date of measurement,Average thaw depth for sample date,Standard deviation of thaw depth for sample date,Standard Error of thaw depth for sample date,Number of measurements of thaw depth for sample date,Minimum individual thaw depth recorded for sample date,Maximum individual thaw depth recorded for sample date,Coefficient of variation calculated for all thaw measurements on one date
date:YYYY-MM-DD,unit:centimeter;max|51.4;min|15.9;precision|,unit:centimeter;max|11.5;min|2.8;precision|,unit:centimeter;max|0.8;min|0.2;precision|,unit:number;max|288;min|170;precision|,unit:centimeter;max|30.0;min|4.0;precision|,unit:centimeter;max|100.0;min|28.0;precision|,unit:percent;max|38.5;min|16.0;precision|
.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured,.|Missing or Not Measured
1990-07-02,18.3,3.9,0.3,172,10.0,41.0,21.5
1990-08-11,36.2,9.1,0.7,184,11.0,61.0,25.3
1991-07-02,16.9,5.4,0.4,192,10.0,34.0,32.0
1991-08-12,28.4,6.6,0.5,192,17.0,58.0,23.2
1992-07-02,18.5,5.9,0.4,192,10.0,47.5,31.8
1992-08-11,40.3,11.5,0.8,192,18.0,84.0,28.5
1993-07-02,24.2,8.8,0.6,191,10.0,57.0,36.4
1993-08-11,46.1,11.0,0.8,190,28.0,100.0,23.8
1994-07-02,17.2,5.6,0.4,192,8.0,48.0,32.8
1994-08-11,36.4,9.2,0.7,192,18.0,62.0,25.2
1995-07-02,18.4,5.3,0.4,192,10.0,41.0,28.7
1995-08-11,43.4,8.9,0.6,192,18.0,78.0,20.4
1996-07-02,19.8,6.8,0.5,192,9.0,49.0,34.5
1996-08-11,32.7,9.7,0.7,192,16.0,78.0,29.7
1997-07-02,24.7,7.7,0.6,170,11.0,47.0,31.3
1997-08-11,46.2,8.0,0.6,170,30.0,75.0,17.4
1998-07-02,27.1,6.6,0.5,170,10.0,52.0,24.4
1998-08-11,44.1,9.4,0.7,170,12.0,66.0,21.4
1999-07-02,19.5,6.1,0.4,255,10.0,47.0,31.1
1999-08-11,44.6,7.7,0.6,170,24.0,72.0,17.3
2000-07-02,15.9,2.8,0.2,252,10.5,30.0,17.3
2000-08-11,37.5,8.9,0.6,255,17.0,72.0,23.6
2001-07-02,16.7,3.9,0.2,255,5.0,31.0,23.5
2001-08-11,31.6,6.9,0.4,288,15.0,54.0,21.9
2002-07-02,16.3,3.9,0.2,288,7.0,28.0,24.1
2002-08-11,33.0,7.7,0.5,288,15.0,65.0,23.2
2003-07-02,17.9,4.5,0.3,288,7.0,37.0,25.1
2003-08-11,40.4,10.7,0.6,288,20.0,74.0,26.4
2004-07-02,25.3,7.3,0.4,288,14.0,54.0,28.8
2004-08-11,40.4,9.1,0.5,288,12.0,82.0,22.5
2005-07-02,23.6,7.4,0.4,288,10.0,46.0,31.6
2005-08-11,37.3,6.8,0.4,288,17.0,56.0,18.2
2006-07-02,19.8,6.3,0.4,288,6.0,50.0,31.7
2006-08-11,39.2,8.7,0.5,288,20.0,70.0,22.2
2007-07-02,19.4,4.5,0.3,288,11.0,36.0,23.1
2007-08-11,40.8,8.9,0.5,288,22.0,75.0,21.7
2008-07-02,19.3,5.2,0.3,288,6.0,43.0,26.9
2008-08-11,34.9,8.1,0.5,288,13.0,57.0,23.4
2009-07-02,26.0,6.8,0.4,288,8.0,55.0,26.0
2009-08-11,51.4,9.6,0.6,288,22.0,73.0,18.6
2010-07-02,22.5,4.6,0.3,288,15.0,39.0,20.7
2010-08-11,45.1,7.7,0.5,288,28.0,70.0,17.0
2011-07-02,19.8,4.4,0.3,288,4.0,30.0,22.0
2011-08-11,43.3,10.9,0.6,288,13.0,80.0,25.1
2012-07-02,20.2,4.3,0.3,288,12.0,36.0,21.2
2012-08-11,38.4,6.1,0.4,288,24.0,60.0,16.0
2013-07-02,19.3,7.4,0.4,288,9.0,55.0,38.5
2013-08-11,42.7,7.4,0.4,288,20.0,64.0,17.4
2014-07-02,19.0,4.6,0.3,288,9.0,36.0,24.2
2014-08-11,39.7,9.3,0.5,288,19.0,75.0,23.4
2015-07-02,27.6,6.7,0.4,288,13.0,50.0,24.4
2015-08-11,46.1,8.4,0.5,288,27.0,71.0,18.1
2016-07-02,22.8,7.4,0.4,288,8.0,44.0,32.5
2016-08-11,45.3,9.5,0.6,288,25.0,81.0,21.0
2017-07-02,22.1,5.6,0.3,288,12.0,46.0,25.4
2017-08-11,45.8,8.1,0.5,288,25.0,66.0,17.6
2018-07-02,20.4,6.8,0.4,288,10.0,67.0,33.5
2018-08-11,43.1,9.3,0.5,288,21.0,75.0,21.6
