site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,kling_source_sd_cm,kling_source_se_cm,kling_source_n,kling_source_min_cm,kling_source_max_cm,kling_source_cv_percent
LTER_TussockWS,1990-08-11,68.6279,-149.613,36.2,1,36.2,,tp,Kling_2016,9.1,0.7,184,11.0,61.0,25.3
LTER_TussockWS,1991-07-02,68.6279,-149.613,16.9,1,16.9,,tp,Kling_2016,5.4,0.4,192,10.0,34.0,32.0
LTER_TussockWS,1991-08-12,68.6279,-149.613,28.4,1,28.4,,tp,Kling_2016,6.6,0.5,192,17.0,58.0,23.2
LTER_TussockWS,1992-07-02,68.6279,-149.613,18.5,1,18.5,,tp,Kling_2016,5.9,0.4,192,10.0,47.5,31.8
LTER_TussockWS,1992-08-11,68.6279,-149.613,40.3,1,40.3,,tp,Kling_2016,11.5,0.8,192,18.0,84.0,28.5
LTER_TussockWS,1993-07-02,68.6279,-149.613,24.2,1,24.2,,tp,Kling_2016,8.8,0.6,191,10.0,57.0,36.4
LTER_TussockWS,1993-08-11,68.6279,-149.613,46.1,1,46.1,,tp,Kling_2016,11.0,0.8,190,28.0,100.0,23.8
LTER_TussockWS,1994-07-02,68.6279,-149.613,17.2,1,17.2,,tp,Kling_2016,5.6,0.4,192,8.0,48.0,32.8
LTER_TussockWS,1994-08-11,68.6279,-149.613,36.4,1,36.4,,tp,Kling_2016,9.2,0.7,192,18.0,62.0,25.2
LTER_TussockWS,1995-07-02,68.6279,-149.613,18.4,1,18.4,,tp,Kling_2016,5.3,0.4,192,10.0,41.0,28.7
LTER_TussockWS,1995-08-11,68.6279,-149.613,43.4,1,43.4,,tp,Kling_2016,8.9,0.6,192,18.0,78.0,20.4
LTER_TussockWS,1996-07-02,68.6279,-149.613,19.8,1,19.8,,tp,Kling_2016,6.8,0.5,192,9.0,49.0,34.5
LTER_TussockWS,1996-08-11,68.6279,-149.613,32.7,1,32.7,,tp,Kling_2016,9.7,0.7,192,16.0,78.0,29.7
LTER_TussockWS,1997-07-02,68.6279,-149.613,24.7,1,24.7,,tp,Kling_2016,7.7,0.6,170,11.0,47.0,31.3
LTER_TussockWS,1997-08-11,68.6279,-149.613,46.2,1,46.2,,tp,Kling_2016,8.0,0.6,170,30.0,75.0,17.4
LTER_TussockWS,1998-07-02,68.6279,-149.613,27.1,1,27.1,,tp,Kling_2016,6.6,0.5,170,10.0,52.0,24.4
LTER_TussockWS,1998-08-11,68.6279,-149.613,44.1,1,44.1,,tp,Kling_2016,9.4,0.7,170,12.0,66.0,21.4
LTER_TussockWS,1999-07-02,68.6279,-149.613,19.5,1,19.5,,tp,Kling_2016,6.1,0.4,255,10.0,47.0,31.1
LTER_TussockWS,1999-08-11,68.6279,-149.613,44.6,1,44.6,,tp,Kling_2016,7.7,0.6,170,24.0,72.0,17.3
LTER_TussockWS,2000-07-02,68.6279,-149.613,15.9,1,15.9,,tp,Kling_2016,2.8,0.2,252,10.5,30.0,17.3
LTER_TussockWS,2000-08-11,68.6279,-149.613,37.5,1,37.5,,tp,Kling_2016,8.9,0.6,255,17.0,72.0,23.6
LTER_TussockWS,2001-07-02,68.6279,-149.613,16.7,1,16.7,,tp,Kling_2016,3.9,0.2,255,5.0,31.0,23.5
LTER_TussockWS,2001-08-11,68.6279,-149.613,31.6,1,31.6,,tp,Kling_2016,6.9,0.4,288,15.0,54.0,21.9
LTER_TussockWS,2002-07-02,68.6279,-149.613,16.3,1,16.3,,tp,Kling_2016,3.9,0.2,288,7.0,28.0,24.1
LTER_TussockWS,2002-08-11,68.6279,-149.613,33.0,1,33.0,,tp,Kling_2016,7.7,0.5,288,15.0,65.0,23.2
LTER_TussockWS,2003-07-02,68.6279,-149.613,17.9,1,17.9,,tp,Kling_2016,4.5,0.3,288,7.0,37.0,25.1
LTER_TussockWS,2003-08-11,68.6279,-149.613,40.4,1,40.4,,tp,Kling_2016,10.7,0.6,288,20.0,74.0,26.4
LTER_TussockWS,2004-07-02,68.6279,-149.613,25.3,1,25.3,,tp,Kling_2016,7.3,0.4,288,14.0,54.0,28.8
LTER_TussockWS,2004-08-11,68.6279,-149.613,40.4,1,40.4,,tp,Kling_2016,9.1,0.5,288,12.0,82.0,22.5
LTER_TussockWS,2005-07-02,68.6279,-149.613,23.6,1,23.6,,tp,Kling_2016,7.4,0.4,288,10.0,46.0,31.6
LTER_TussockWS,2005-08-11,68.6279,-149.613,37.3,1,37.3,,tp,Kling_2016,6.8,0.4,288,17.0,56.0,18.2
LTER_TussockWS,2006-07-02,68.6279,-149.613,19.8,1,19.8,,tp,Kling_2016,6.3,0.4,288,6.0,50.0,31.7
LTER_TussockWS,2006-08-11,68.6279,-149.613,39.2,1,39.2,,tp,Kling_2016,8.7,0.5,288,20.0,70.0,22.2
LTER_TussockWS,2007-07-02,68.6279,-149.613,19.4,1,19.4,,tp,Kling_2016,4.5,0.3,288,11.0,36.0,23.1
LTER_TussockWS,2007-08-11,68.6279,-149.613,40.8,1,40.8,,tp,Kling_2016,8.9,0.5,288,22.0,75.0,21.7
LTER_TussockWS,2008-07-02,68.6279,-149.613,19.3,1,19.3,,tp,Kling_2016,5.2,0.3,288,6.0,43.0,26.9
LTER_TussockWS,2008-08-11,68.6279,-149.613,34.9,1,34.9,,tp,Kling_2016,8.1,0.5,288,13.0,57.0,23.4
LTER_TussockWS,2009-07-02,68.6279,-149.613,26.0,1,26.0,,tp,Kling_2016,6.8,0.4,288,8.0,55.0,26.0
LTER_TussockWS,2009-08-11,68.6279,-149.613,51.4,1,51.4,,tp,Kling_2016,9.6,0.6,288,22.0,73.0,18.6
LTER_TussockWS,2010-07-02,68.6279,-149.613,22.5,1,22.5,,tp,Kling_2016,4.6,0.3,288,15.0,39.0,20.7
LTER_TussockWS,2010-08-11,68.6279,-149.613,45.1,1,45.1,,tp,Kling_2016,7.7,0.5,288,28.0,70.0,17.0
LTER_TussockWS,2011-07-02,68.6279,-149.613,19.8,1,19.8,,tp,Kling_2016,4.4,0.3,288,4.0,30.0,22.0
LTER_TussockWS,2011-08-11,68.6279,-149.613,43.3,1,43.3,,tp,Kling_2016,10.9,0.6,288,13.0,80.0,25.1
LTER_TussockWS,2012-07-02,68.6279,-149.613,20.2,1,20.2,,tp,Kling_2016,4.3,0.3,288,12.0,36.0,21.2
LTER_TussockWS,2012-08-11,68.6279,-149.613,38.4,1,38.4,,tp,Kling_2016,6.1,0.4,288,24.0,60.0,16.0
LTER_TussockWS,2013-07-02,68.6279,-149.613,19.3,1,19.3,,tp,Kling_2016,7.4,0.4,288,9.0,55.0,38.5
LTER_TussockWS,2013-08-11,68.6279,-149.613,42.7,1,42.7,,tp,Kling_2016,7.4,0.4,288,20.0,64.0,17.4
LTER_TussockWS,2014-07-02,68.6279,-149.613,19.0,1,19.0,,tp,Kling_2016,4.6,0.3,288,9.0,36.0,24.2
