lat,lon,pf_obs,pf_depth,depth_obs,site_id
65.76492903,-156.490314,N,,,
65.76519,-156.48964,N,,,
65.75232,-156.50511,Y,,,
65.66093,-156.45087,N,,,
65.66126,-156.44711,N,,,
65.70265,-156.40977,Y,,,
65.61942,-156.48534,Y,,,
65.871322,-156.262828,Y,,,
65.78014,-156.43661,Y,,,
65.76521,-156.49049,N,,,
65.715616,-156.363232,Y,,,
65.735889,-156.385817,Y,,,
65.67158396,-156.587617,Y,,,
65.66046,-156.43256,N,,,
65.72552,-156.20992,Y,,,
65.711,-156.27473,Y,,,
65.77816699,-156.433695,N,,,
65.777637,-156.433639,N,,,
65.77756299,-156.433811,N,,,
65.66131898,-156.433543,N,,,
65.70153,-156.40353,Y,,,
65.70265,-156.40977,Y,,,
65.75232,-156.50511,Y,,,
65.67896,-156.61169,N,,,
65.72549402,-156.210077,Y,37,100,
65.72553903,-156.210064,Y,47,100,
65.72561497,-156.210127,Y,47.5,100,
65.72566601,-156.210174,Y,82.5,100,
65.72572997,-156.210218,Y,81,100,
65.72584002,-156.210287,Y,50.5,100,
65.72597397,-156.210285,Y,48,100,
65.72611897,-156.210297,Y,47,100,
65.72628904,-156.210301,Y,96,100,
65.72644503,-156.210242,Y,55.5,100,
65.72661501,-156.210251,Y,68.5,100,
65.72666899,-156.210298,N,,100,
65.72675499,-156.210342,N,,100,
65.72681903,-156.210316,N,,100,
65.72672197,-156.209941,N,,100,
65.72660403,-156.210039,Y,87,100,
65.726454,-156.209955,Y,76,100,
65.72627597,-156.209834,Y,49.5,100,
65.72612098,-156.209753,Y,45,100,
65.72594899,-156.209659,Y,44.5,100,
65.72580096,-156.209645,Y,63,100,
65.72563198,-156.209519,Y,33,100,
65.73515198,-156.389305,Y,58,100,
65.73527,-156.389523,Y,58.5,100,
65.73518802,-156.389742,N,,100,
65.73518802,-156.38975,N,,100,
65.73521803,-156.389937,Y,89,100,
65.73527897,-156.389584,Y,62,100,
65.735271,-156.389282,Y,66,100,
65.73539598,-156.389484,Y,86,100,
65.73559999,-156.388946,Y,53.5,100,
65.73551802,-156.388058,N,,100,
65.73544996,-156.387788,N,,100,
65.73548701,-156.387477,N,,100,
65.76522835,-156.4903767,N,,,polysample
65.7655693,-156.4901953,N,,,polysample
65.66142651,-156.4333454,N,,,polysample
65.66273359,-156.4308528,N,,,polysample
65.66194279,-156.4318918,N,,,polysample
65.66024299,-156.4324281,N,,,polysample
65.66113077,-156.4315558,N,,,polysample
65.65983532,-156.4345411,N,,,polysample
65.6612463,-156.447108,N,,,polysample
65.66089506,-156.4508511,N,,,polysample
65.72096941,-156.5136476,N,,,polysample
65.72069994,-156.5196306,N,,,polysample
