site_id,lat,lon,date,thaw_depth,pf_observed,source,method,langer_reported_ald_cm,obs_limit,pf_depth,quality_flag_obs_limit_assumed
101,58.7327461,-93.80279084,2018-07-21,41.0,1,Langer_etal_2020,tp,41.0,,41.0,False
101,58.7327461,-93.80279084,2019-07-29,47.0,1,Langer_etal_2020,tp,47.0,,47.0,False
102,58.73274222,-93.80288507,2018-07-21,52.0,1,Langer_etal_2020,tp,52.0,,52.0,False
102,58.73274222,-93.80288507,2019-07-29,58.0,1,Langer_etal_2020,tp,58.0,,58.0,False
103,58.73272882,-93.80295942,2018-07-21,77.0,1,Langer_etal_2020,tp,77.0,,77.0,False
103,58.73272882,-93.80295942,2019-07-29,80.0,1,Langer_etal_2020,tp,80.0,,80.0,False
104,58.73268072,-93.80324879,2018-07-21,115.0,1,Langer_etal_2020,tp,115.0,,115.0,False
104,58.73268072,-93.80324879,2019-07-29,78.0,1,Langer_etal_2020,tp,78.0,,78.0,False
105,58.7326864,-93.80339056,2018-07-21,145.0,1,Langer_etal_2020,tp,145.0,,145.0,False
105,58.7326864,-93.80339056,2019-07-29,128.0,1,Langer_etal_2020,tp,128.0,,128.0,False
106,58.73267697,-93.80351198,2018-07-21,85.0,1,Langer_etal_2020,tp,85.0,,85.0,False
106,58.73267697,-93.80351198,2019-07-29,78.0,1,Langer_etal_2020,tp,78.0,,78.0,False
107,58.73266516,-93.80355087,2018-07-21,70.0,1,Langer_etal_2020,tp,70.0,,70.0,False
107,58.73266516,-93.80355087,2019-07-29,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
108,58.73262614,-93.80368498,2018-07-21,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
108,58.73262614,-93.80368498,2019-07-29,38.0,1,Langer_etal_2020,tp,38.0,,38.0,False
109,58.73263723,-93.803762,2018-07-21,25.0,1,Langer_etal_2020,tp,25.0,,25.0,False
109,58.73263723,-93.803762,2019-07-29,26.0,1,Langer_etal_2020,tp,26.0,,26.0,False
110,58.7330051,-93.80380623,2018-07-21,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
110,58.7330051,-93.80380623,2019-07-29,51.0,1,Langer_etal_2020,tp,51.0,,51.0,False
111,58.73300662,-93.8036753,2018-07-21,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
111,58.73300662,-93.8036753,2019-07-29,47.0,1,Langer_etal_2020,tp,47.0,,47.0,False
112,58.73298068,-93.80351372,2018-07-21,121.0,1,Langer_etal_2020,tp,121.0,,121.0,False
112,58.73298068,-93.80351372,2019-07-29,180.0,1,Langer_etal_2020,tp,180.0,,180.0,False
113,58.73296981,-93.80341199,2018-07-21,122.0,1,Langer_etal_2020,tp,122.0,,122.0,False
113,58.73296981,-93.80341199,2019-07-29,,0,Langer_etal_2020,tp,200.0,200.0,,True
114,58.73296465,-93.80331221,2018-07-21,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
114,58.73296465,-93.80331221,2019-07-29,,0,Langer_etal_2020,tp,200.0,200.0,,True
115,58.73293563,-93.80324361,2018-07-21,41.0,1,Langer_etal_2020,tp,41.0,,41.0,False
115,58.73293563,-93.80324361,2019-07-29,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
116,58.73289727,-93.80315559,2018-07-21,145.0,1,Langer_etal_2020,tp,145.0,,145.0,False
116,58.73289727,-93.80315559,2019-07-29,,0,Langer_etal_2020,tp,200.0,200.0,,True
117,58.73288951,-93.80375604,2018-07-21,29.0,1,Langer_etal_2020,tp,29.0,,29.0,False
117,58.73288951,-93.80375604,2019-07-29,33.0,1,Langer_etal_2020,tp,33.0,,33.0,False
118,58.73294217,-93.80371213,2018-07-21,53.0,1,Langer_etal_2020,tp,53.0,,53.0,False
118,58.73294217,-93.80371213,2019-07-29,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
119,58.73306198,-93.80363484,2018-07-21,30.0,1,Langer_etal_2020,tp,30.0,,30.0,False
119,58.73306198,-93.80363484,2019-07-29,32.0,1,Langer_etal_2020,tp,32.0,,32.0,False
120,58.7330991,-93.8036407,2018-07-21,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
120,58.7330991,-93.8036407,2019-07-29,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
121,58.73212022,-93.80387839,2019-07-29,84.0,1,Langer_etal_2020,tp,84.0,,84.0,False
122,58.73217784,-93.80388382,2019-07-29,78.0,1,Langer_etal_2020,tp,78.0,,78.0,False
123,58.72822191,-93.83649662,2019-07-30,96.0,1,Langer_etal_2020,tp,96.0,,96.0,False
124,58.72812138,-93.83651515,2019-07-30,27.0,1,Langer_etal_2020,tp,27.0,,27.0,False
125,58.72811134,-93.83649476,2019-07-30,25.0,1,Langer_etal_2020,tp,25.0,,25.0,False
126,58.72799205,-93.83639018,2019-07-30,32.0,1,Langer_etal_2020,tp,32.0,,32.0,False
127,58.72784511,-93.83647698,2019-07-30,35.0,1,Langer_etal_2020,tp,35.0,,35.0,False
128,58.72776276,-93.83655805,2019-07-30,40.0,1,Langer_etal_2020,tp,40.0,,40.0,False
129,58.72766363,-93.83655991,2019-07-30,31.0,1,Langer_etal_2020,tp,31.0,,31.0,False
