SampleDate,SiteID,ElectrodeNumber,distance,Long_deg,Lat_deg,Height,Satellites,PDOP,Status,HRMS,VRMS,X_UTMz6,Y_UTMz6,LinDist_m,ActiveLayerThickness,SurfOrg,DepthtoRejection,Comment
8/29/16,301LTER,1,0,-148.297102,64.712808,133.72,19,1.2,DGPS,0.569,0.58,438180.4442,7177080.999,0,103,-9999,-9999,NA
8/29/16,301LTER,2,1.5,-148.297089,64.712796,133.69,-9999,-9999,-9999,-9999,-9999,438181.0161,7177079.627,1.486423092,-9999,-9999,-9999,NA
8/29/16,301LTER,3,3,-148.297077,64.712784,133.65,-9999,-9999,-9999,-9999,-9999,438181.588,7177078.255,2.972846185,-9999,-9999,-9999,NA
8/29/16,301LTER,4,4.5,-148.297064,64.712772,133.62,-9999,-9999,-9999,-9999,-9999,438182.1599,7177076.883,4.459269277,-9999,-9999,-9999,NA
8/29/16,301LTER,5,6,-148.297051,64.712759,133.59,-9999,-9999,-9999,-9999,-9999,438182.7318,7177075.51,5.946615441,-9999,-9999,-9999,NA
8/29/16,301LTER,6,7.5,-148.297039,64.712747,133.55,-9999,-9999,-9999,-9999,-9999,438183.3037,7177074.138,7.433038533,-9999,-9999,-9999,NA
8/29/16,301LTER,7,9,-148.297026,64.712735,133.52,-9999,-9999,-9999,-9999,-9999,438183.8756,7177072.766,8.919461626,-9999,-9999,-9999,NA
8/29/16,301LTER,8,10.5,-148.297014,64.712723,133.49,-9999,-9999,-9999,-9999,-9999,438184.4222,7177071.382,10.4074897,98,-9999,-9999,NA
8/29/16,301LTER,9,12,-148.297003,64.71271,133.47,-9999,-9999,-9999,-9999,-9999,438184.9183,7177069.974,11.90033236,-9999,-9999,-9999,NA
8/29/16,301LTER,10,13.5,-148.296992,64.712698,133.46,-9999,-9999,-9999,-9999,-9999,438185.4144,7177068.566,13.39317503,-9999,-9999,-9999,NA
8/29/16,301LTER,11,15,-148.296981,64.712685,133.44,-9999,-9999,-9999,-9999,-9999,438185.9105,7177067.158,14.88601769,-9999,-9999,-9999,NA
8/29/16,301LTER,12,16.5,-148.29697,64.712673,133.42,-9999,-9999,-9999,-9999,-9999,438186.4065,7177065.75,16.37882712,-9999,-9999,-9999,NA
