date,site_id,lon,lat,thaw_depth,org_thick,pf_depth,obs_limit,pf_observed,source,method
2016-08-29,301LTER,-148.297102,64.712808,103.0,,103.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.297014,64.712723,98.0,,98.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296948,64.712648,98.0,,98.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296857,64.712562,110.0,,110.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296768,64.712476,123.0,,123.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296691,64.712403,123.0,,123.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296596,64.71232,226.0,,226.0,132,0,Minsley_2017,tp
2016-08-29,301LTER,-148.296484,64.712238,148.0,,148.0,132,0,Minsley_2017,tp
2016-08-29,301LTER,-148.296398,64.712167,86.0,,86.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296305,64.71209,71.0,,71.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296211,64.712017,75.0,,75.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296156,64.711949,58.0,,58.0,132,1,Minsley_2017,tp
2016-08-29,301LTER,-148.296092,64.711869,64.0,,64.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.125437,65.230693,123.0,2.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.125296,65.230759,123.0,3.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.125173,65.230813,123.0,7.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.12502,65.230871,123.0,12.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124998,65.23088,123.0,,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124867,65.230935,,16.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124734,65.230991,,20.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124599,65.231046,92.0,,92.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.124577,65.231055,,12.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124554,65.231064,49.0,,49.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.124466,65.231103,63.0,,63.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.124421,65.231121,,3.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.124279,65.231176,50.0,31.0,50.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.124187,65.231213,60.0,,60.0,132,1,Minsley_2017,tp
2016-08-30,302GLB1,-148.124118,65.231241,,38.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.123957,65.231306,,26.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.123813,65.231363,,7.0,,132,0,Minsley_2017,tp
2016-08-30,302GLB1,-148.123649,65.231426,,14.0,,132,0,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124131,65.230539,88.0,4.0,88.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124222,65.230623,57.0,6.0,57.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124301,65.230695,64.0,9.0,64.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.12439,65.230777,41.0,10.0,41.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124475,65.230864,63.0,22.0,63.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.12455,65.230937,50.0,18.0,50.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124631,65.231024,78.0,35.0,78.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124704,65.231112,63.0,33.0,63.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124764,65.231188,52.0,32.0,52.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124833,65.231275,52.0,32.0,52.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.124907,65.231367,54.0,9.0,54.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.125005,65.23143,76.0,25.0,76.0,132,1,Minsley_2017,tp
2016-08-30,303GLB1B,-148.125131,65.231505,51.0,30.0,51.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.913427,65.342551,96.0,13.0,96.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.91334,65.342636,73.0,8.0,73.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.913264,65.342709,94.0,10.0,94.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.91317,65.342792,47.0,7.0,47.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.913076,65.342877,101.0,8.0,101.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.912983,65.342949,66.0,9.0,66.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.912873,65.34303,123.0,29.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912768,65.343114,123.0,9.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912681,65.343184,,12.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912575,65.343268,123.0,10.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912468,65.343352,123.0,7.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912374,65.343422,,6.0,,132,0,Minsley_2017,tp
2016-08-31,304WTB,-146.912264,65.343503,104.0,7.0,104.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.91215,65.343587,93.0,8.0,93.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.912056,65.343656,88.0,9.0,88.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.911942,65.343737,64.0,13.0,64.0,132,1,Minsley_2017,tp
2016-08-31,304WTB,-146.911824,65.343816,123.0,12.0,,132,0,Minsley_2017,tp
2016-08-31,305WTBP,-146.912736,65.34339,93.0,2.0,93.0,132,1,Minsley_2017,tp
2016-08-31,305WTBP,-146.912522,65.343374,81.0,7.0,81.0,132,1,Minsley_2017,tp
2016-08-31,305WTBP,-146.912334,65.343366,,3.0,,132,0,Minsley_2017,tp
2016-08-31,305WTBP,-146.912119,65.343356,,10.0,,132,0,Minsley_2017,tp
2016-08-31,305WTBP,-146.911899,65.343343,68.0,6.0,68.0,132,1,Minsley_2017,tp
2016-08-31,305WTBP,-146.911713,65.343329,71.0,12.0,71.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.915305,65.342869,78.0,18.0,78.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.915233,65.342943,79.0,29.0,79.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.91515,65.343029,76.0,18.0,76.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.915065,65.343116,89.0,21.0,89.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.91498,65.343202,98.0,29.0,98.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.914907,65.343277,,9.0,,132,0,Minsley_2017,tp
2016-09-01,307WTU,-146.914823,65.343362,59.0,5.0,59.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.914733,65.343449,82.0,39.0,82.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.914657,65.343524,83.0,16.0,83.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.91456,65.34361,71.0,10.0,71.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.91446,65.343695,90.0,31.0,90.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.914372,65.343765,92.0,38.0,92.0,132,1,Minsley_2017,tp
2016-09-01,307WTU,-146.914265,65.343848,101.0,8.0,101.0,132,1,Minsley_2017,tp
2016-09-02,308WFD,-150.349043,66.268017,120.0,4.0,,132,0,Minsley_2017,tp
2016-09-02,308WFD,-150.349112,66.267927,245.0,4.0,,132,0,Minsley_2017,tp
