FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
0,AK21LTER,ERT,20210912,-148.2971204,64.71282347,438179.59,7177082.71,138.08,999,7,Bl spruce,ALT > 132 cm reported as 999,0,0
1,AK21LTER,ERT,20210912,-148.2971073,64.71280932,438180.18,7177081.12,138.08,-9999,-9999,-9999,-9999,1.5,1.7
2,AK21LTER,ERT,20210912,-148.2971055,64.7127939,438180.23,7177079.4,137.79,-9999,-9999,-9999,-9999,3,3.42
3,AK21LTER,ERT,20210912,-148.2970923,64.71278154,438180.83,7177078.01,137.73,-9999,-9999,-9999,-9999,4.5,4.93
4,AK21LTER,ERT,20210912,-148.2970768,64.71276758,438181.54,7177076.44,137.66,999,8,Bl spruce,-9999,6,6.66
5,AK21LTER,ERT,20210912,-148.297069,64.71275545,438181.88,7177075.08,137.7,-9999,-9999,-9999,-9999,7.5,8.06
6,AK21LTER,ERT,20210912,-148.2970585,64.71274181,438182.35,7177073.55,137.61,-9999,-9999,-9999,-9999,9,9.66
7,AK21LTER,ERT,20210912,-148.2970466,64.71272988,438182.89,7177072.21,137.67,-9999,-9999,-9999,-9999,10.5,11.11
8,AK21LTER,ERT,20210912,-148.2970359,64.71271652,438183.37,7177070.71,137.61,77,11,Bl spruce,-9999,12,12.68
9,AK21LTER,ERT,20210912,-148.2970215,64.71270462,438184.03,7177069.37,137.6,-9999,-9999,-9999,-9999,13.5,14.17
10,AK21LTER,ERT,20210912,-148.2970104,64.71269278,438184.53,7177068.04,137.46,-9999,-9999,-9999,-9999,15,15.6
11,AK21LTER,ERT,20210912,-148.2969985,64.71267933,438185.07,7177066.53,137.52,-9999,-9999,-9999,-9999,16.5,17.2
12,AK21LTER,ERT,20210912,-148.2969908,64.7126645,438185.4,7177064.87,137.29,999,13,Bl spruce,-9999,18,18.89
13,AK21LTER,ERT,20210912,-148.2969742,64.71265504,438186.17,7177063.8,137.33,-9999,-9999,-9999,-9999,19.5,20.21
14,AK21LTER,ERT,20210912,-148.2969599,64.7126418,438186.82,7177062.31,137.3,-9999,-9999,-9999,-9999,21,21.83
15,AK21LTER,ERT,20210912,-148.2969516,64.71262966,438187.19,7177060.95,137.33,-9999,-9999,-9999,-9999,22.5,23.25
16,AK21LTER,ERT,20210912,-148.296938,64.71261758,438187.81,7177059.59,137.39,77,12,Bl spruce -burned side,-9999,24,24.74
17,AK21LTER,ERT,20210912,-148.2969238,64.71260496,438188.46,7177058.17,137.35,-9999,-9999,-9999,-9999,25.5,26.3
18,AK21LTER,ERT,20210912,-148.2969135,64.71259284,438188.92,7177056.81,137.35,-9999,-9999,-9999,-9999,27,27.74
19,AK21LTER,ERT,20210912,-148.2968998,64.71258156,438189.55,7177055.54,137.31,-9999,-9999,-9999,-9999,28.5,29.16
20,AK21LTER,ERT,20210912,-148.2968895,64.71256783,438190.01,7177054,137.29,100,10,Bl spruce -burned side,-9999,30,30.76
21,AK21LTER,ERT,20210912,-148.2968755,64.71255683,438190.65,7177052.76,137.36,-9999,-9999,-9999,-9999,31.5,32.15
22,AK21LTER,ERT,20210912,-148.2968608,64.71254412,438191.32,7177051.33,137.21,-9999,-9999,-9999,-9999,33,33.74
