thaw_depth,pf_observed,pf_depth,date,org_thick,obs_limit,site_id,lat,lon,source,method
132.0,0,,2021-09-12,7.0,132,AK21LTER,64.71282347,-148.2971204,Minsley_2021,tp
132.0,0,,2021-09-12,8.0,132,AK21LTER,64.71276758,-148.2970768,Minsley_2021,tp
77.0,1,77.0,2021-09-12,11.0,132,AK21LTER,64.71271652,-148.2970359,Minsley_2021,tp
132.0,0,,2021-09-12,13.0,132,AK21LTER,64.7126645,-148.2969908,Minsley_2021,tp
77.0,1,77.0,2021-09-12,12.0,132,AK21LTER,64.71261758,-148.296938,Minsley_2021,tp
100.0,1,100.0,2021-09-12,10.0,132,AK21LTER,64.71256783,-148.2968895,Minsley_2021,tp
132.0,0,,2021-09-12,8.0,132,AK21LTER,64.71251993,-148.2968358,Minsley_2021,tp
132.0,0,,2021-09-12,10.0,132,AK21LTER,64.71246966,-148.2967859,Minsley_2021,tp
132.0,0,,2021-09-12,6.0,132,AK21LTER,64.71242108,-148.2967272,Minsley_2021,tp
88.0,1,88.0,2021-09-12,6.0,132,AK21LTER,64.71237548,-148.2966769,Minsley_2021,tp
132.0,0,,2021-09-12,6.0,132,AK21LTER,64.71232604,-148.2966147,Minsley_2021,tp
132.0,0,,2021-09-12,10.0,132,AK21LTER,64.7122769,-148.2965591,Minsley_2021,tp
132.0,0,,2021-09-12,5.0,132,AK21LTER,64.71223115,-148.2965053,Minsley_2021,tp
132.0,0,,2021-09-12,14.0,132,AK21LTER,64.71218372,-148.2964386,Minsley_2021,tp
72.0,1,72.0,2021-09-12,14.0,132,AK21LTER,64.71214049,-148.2963839,Minsley_2021,tp
76.0,1,76.0,2021-09-12,12.0,132,AK21LTER,64.71209257,-148.2963224,Minsley_2021,tp
79.0,1,79.0,2021-09-12,14.0,132,AK21LTER,64.71204268,-148.2962592,Minsley_2021,tp
76.0,1,76.0,2021-09-12,13.0,132,AK21LTER,64.71198881,-148.2962102,Minsley_2021,tp
54.0,1,54.0,2021-09-12,13.0,132,AK21LTER,64.71194095,-148.2961626,Minsley_2021,tp
