Year,DOY,Distance (m),Side of Transect,Active Layer Depth (cm) Measurement 1,Active Layer Depth (cm) Measurement 2,Active Layer Depth (cm) Measurement 3,Mean Active Layer Depth (cm)
2003,178,0,East,41,-9999,-9999,41
2003,178,0,West,>120,-9999,-9999,>120
2003,178,3,East,28,-9999,-9999,28
2003,178,3,West,39.5,-9999,-9999,40
2003,178,6,East,48,-9999,-9999,48
2003,178,6,West,24,-9999,-9999,24
2003,178,9,East,13,-9999,-9999,13
2003,178,9,West,19,-9999,-9999,19
2003,178,12,East,70,-9999,-9999,70
2003,178,12,West,100,-9999,-9999,100
2003,178,15,East,32,-9999,-9999,32
2003,178,15,West,29,-9999,-9999,29
2003,178,18,East,28,-9999,-9999,28
2003,178,18,West,53,-9999,-9999,53
2003,178,21,East,21.5,-9999,-9999,22
2003,178,21,West,34,-9999,-9999,34
2003,178,24,East,47,-9999,-9999,47
2003,178,24,West,41.5,-9999,-9999,42
2003,178,27,East,63,-9999,-9999,63
2003,178,27,West,15,-9999,-9999,15
2003,178,30,East,50,-9999,-9999,50
2003,178,30,West,38,-9999,-9999,38
2003,178,33,West,-9999,-9999,-9999,-9999
2003,194,0,East,47,-9999,-9999,47
2003,194,0,West,-9999,-9999,-9999,-9999
2003,194,3,East,44,-9999,-9999,44
2003,194,3,West,-9999,-9999,-9999,-9999
2003,194,6,East,32,-9999,-9999,32
2003,194,6,West,-9999,-9999,-9999,-9999
2003,194,9,East,24.5,-9999,-9999,25
2003,194,9,West,-9999,-9999,-9999,-9999
2003,194,12,East,>120,-9999,-9999,>120
2003,194,12,West,-9999,-9999,-9999,-9999
2003,194,15,East,42.5,-9999,-9999,43
2003,194,15,West,-9999,-9999,-9999,-9999
2003,194,18,East,52,-9999,-9999,52
2003,194,18,West,-9999,-9999,-9999,-9999
2003,194,21,East,42.5,-9999,-9999,43
2003,194,21,West,-9999,-9999,-9999,-9999
2003,194,24,East,26.5,-9999,-9999,27
2003,194,24,West,-9999,-9999,-9999,-9999
2003,194,27,East,43.5,-9999,-9999,44
2003,194,27,West,-9999,-9999,-9999,-9999
2003,194,30,East,22,-9999,-9999,22
2003,194,30,West,-9999,-9999,-9999,-9999
2003,194,33,West,-9999,-9999,-9999,-9999
2003,202,0,East,>120,>120,>120,>120
2003,202,0,West,>120,>120,>120,>120
2003,202,3,East,68,70,64,67
2003,202,3,West,>120,68,66,-9999
2003,202,6,East,43,38,45,42
2003,202,6,West,40,43,43,42
2003,202,9,East,70,43,36,50
2003,202,9,West,40,50,30,40
2003,202,12,East,>120,>120,>120,>120
2003,202,12,West,>120,>120,>120,>120
2003,202,15,East,70,60,66,65
2003,202,15,West,98,93,92,94
2003,202,18,East,63,63,61,62
2003,202,18,West,71,73,67,70
2003,202,21,East,63,66,67,65
2003,202,21,West,54,70,59,61
2003,202,24,East,27,25,40,31
2003,202,24,West,81,60,68,70
2003,202,27,East,69,70,64,68
2003,202,27,West,66,64,61,64
2003,202,30,East,68,57,70,65
2003,202,30,West,55,51,51,52
2003,202,33,West,57,55,41,51
2003,218,0,East,>120,>120,>120,>120
2003,218,0,West,>120,>120,>120,>120
2003,218,3,East,>120,>120,>120,>120
2003,218,3,West,80,>120,>120,80
2003,218,6,East,>120,>120,>120,>120
2003,218,6,West,70,75,70,72
2003,218,9,East,63,78,110,84
2003,218,9,West,60,53,60,58
2003,218,12,East,>120,>120,>120,>120
2003,218,12,West,>120,>120,>120,>120
2003,218,15,East,77,83,73,78
2003,218,15,West,85,97,90,91
2003,218,18,East,77,79,77,78
2003,218,18,West,67,65,75,69
