Type,Distance_m,Latitude,Longitude
Main,0,64.640882,-148.333411
Offset_Left,0,64.64087801178073,-148.33339226436934
Offset_Right,0,64.64088598821691,-148.33342973563617
Main,3,64.64085789735756,-148.33343890132286
Offset_Left,3,64.64085390913826,-148.3334201657088
Offset_Right,3,64.64086188557448,-148.33345763694243
Main,6,64.64083379470978,-148.33346680259626
Offset_Left,6,64.64082980649047,-148.3334480669988
Offset_Right,6,64.64083778292671,-148.3334855381992
Main,9,64.64080969205665,-148.33349470382018
Offset_Left,9,64.64080570383733,-148.33347596823933
Offset_Right,9,64.6408136802736,-148.33351343940652
Main,12,64.64078558939818,-148.33352260499464
Offset_Left,12,64.64078160117884,-148.33350386943042
Offset_Right,12,64.64078957761514,-148.33354134056438
Main,15,64.64076148673435,-148.33355050611965
Offset_Left,15,64.640757498515,-148.33353177057202
Offset_Right,15,64.64076547495132,-148.33356924167276
Main,18,64.64073738406519,-148.33357840719515
Offset_Left,18,64.64073339584583,-148.33355967166412
Offset_Right,18,64.64074137228218,-148.33359714273166
Main,21,64.64071328139067,-148.33360630822122
Offset_Left,21,64.6407092931713,-148.33358757270682
Offset_Right,21,64.64071726960768,-148.33362504374114
Main,24,64.64068917871083,-148.3336342091978
Offset_Left,24,64.64068519049144,-148.3336154737
Offset_Right,24,64.64069316692783,-148.3336529447011
Main,27,64.64066507602563,-148.33366211012495
Offset_Left,27,64.64066108780622,-148.33364337464374
Offset_Right,27,64.64066906424264,-148.33368084561164
Main,30,64.6406409733351,-148.3336900110026
Offset_Left,30,64.64063698511568,-148.33367127553802
Offset_Right,30,64.64064496155213,-148.33370874647267
Main,33,64.6406168706392,-148.33371791183077
Offset_Left,33,64.64061288241977,-148.3336991763828
Offset_Right,33,64.64062085885625,-148.33373664728424
