site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,myers_smith_thaw_depth_raw,quality_flag_coord_lookup_or_interpolated
bbc_East_0,06/27/2003,64.6408780117807,-148.333392264369,41,1,41,,tp,Myers-Smith_2005,41,True
bbc_West_0,06/27/2003,64.6408859882169,-148.333429735636,,0,,120,tp,Myers-Smith_2005,>120,True
bbc_East_3,06/27/2003,64.6408539091383,-148.333420165709,28,1,28,,tp,Myers-Smith_2005,28,True
bbc_West_3,06/27/2003,64.6408618855745,-148.333457636942,40,1,40,,tp,Myers-Smith_2005,40,True
bbc_East_6,06/27/2003,64.6408298064905,-148.333448066999,48,1,48,,tp,Myers-Smith_2005,48,True
bbc_West_6,06/27/2003,64.6408377829267,-148.333485538199,24,1,24,,tp,Myers-Smith_2005,24,True
bbc_East_9,06/27/2003,64.6408057038373,-148.333475968239,13,1,13,,tp,Myers-Smith_2005,13,True
bbc_West_9,06/27/2003,64.6408136802736,-148.333513439407,19,1,19,,tp,Myers-Smith_2005,19,True
bbc_East_12,06/27/2003,64.6407816011788,-148.33350386943,70,1,70,,tp,Myers-Smith_2005,70,True
bbc_West_12,06/27/2003,64.6407895776151,-148.333541340564,100,1,100,,tp,Myers-Smith_2005,100,True
bbc_East_15,06/27/2003,64.640757498515,-148.333531770572,32,1,32,,tp,Myers-Smith_2005,32,True
bbc_West_15,06/27/2003,64.6407654749513,-148.333569241673,29,1,29,,tp,Myers-Smith_2005,29,True
bbc_East_18,06/27/2003,64.6407333958458,-148.333559671664,28,1,28,,tp,Myers-Smith_2005,28,True
bbc_West_18,06/27/2003,64.6407413722822,-148.333597142732,53,1,53,,tp,Myers-Smith_2005,53,True
bbc_East_21,06/27/2003,64.6407092931713,-148.333587572707,22,1,22,,tp,Myers-Smith_2005,22,True
bbc_West_21,06/27/2003,64.6407172696077,-148.333625043741,34,1,34,,tp,Myers-Smith_2005,34,True
bbc_East_24,06/27/2003,64.6406851904914,-148.3336154737,47,1,47,,tp,Myers-Smith_2005,47,True
bbc_West_24,06/27/2003,64.6406931669278,-148.333652944701,42,1,42,,tp,Myers-Smith_2005,42,True
bbc_East_27,06/27/2003,64.6406610878062,-148.333643374644,63,1,63,,tp,Myers-Smith_2005,63,True
bbc_West_27,06/27/2003,64.6406690642426,-148.333680845612,15,1,15,,tp,Myers-Smith_2005,15,True
bbc_East_30,06/27/2003,64.6406369851157,-148.333671275538,50,1,50,,tp,Myers-Smith_2005,50,True
bbc_West_30,06/27/2003,64.6406449615521,-148.333708746473,38,1,38,,tp,Myers-Smith_2005,38,True
bbc_East_0,07/13/2003,64.6408780117807,-148.333392264369,47,1,47,,tp,Myers-Smith_2005,47,True
bbc_East_3,07/13/2003,64.6408539091383,-148.333420165709,44,1,44,,tp,Myers-Smith_2005,44,True
bbc_East_6,07/13/2003,64.6408298064905,-148.333448066999,32,1,32,,tp,Myers-Smith_2005,32,True
bbc_East_9,07/13/2003,64.6408057038373,-148.333475968239,25,1,25,,tp,Myers-Smith_2005,25,True
bbc_East_12,07/13/2003,64.6407816011788,-148.33350386943,,0,,120,tp,Myers-Smith_2005,>120,True
bbc_East_15,07/13/2003,64.640757498515,-148.333531770572,43,1,43,,tp,Myers-Smith_2005,43,True
bbc_East_18,07/13/2003,64.6407333958458,-148.333559671664,52,1,52,,tp,Myers-Smith_2005,52,True
bbc_East_21,07/13/2003,64.6407092931713,-148.333587572707,43,1,43,,tp,Myers-Smith_2005,43,True
