site_id,lat,lon,date,pf_observed,pf_depth,thaw_depth,obs_limit,method,source,candidate_type,absence_latitude_threshold_abs_ge,pedon_key,site_key,pedlabsampnum,upedonid,usiteid,country_key,state_key,county_key,mlra_key,ssa_key,frozen_horizons,all_horizons,n_frozen_layers,n_layers,corr_classification_name,corr_taxorder,corr_taxsuborder,corr_taxgrtgroup,corr_taxsubgrp,samp_classification_name,samp_taxorder,samp_taxsuborder,samp_taxgrtgroup,samp_taxsubgrp,SSL_classification_name,SSL_taxorder,SSL_taxsuborder,SSL_taxgrtgroup,SSL_taxsubgrp
99FN143001,-77.4194183,163.6819763,1999-01-15,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,24359,24359,99P0325,99FN143001,99FN143001,17,3959,,,,,A|C1|C2|C3|C4|C5,0,6,,,,,,"Sandy-skeletal, mixed Glacic Haplorthel",gelisols,orthels,haplorthels,glacic haplorthels,"Sandy-skeletal, mixed, hypergelic Calcic Anhyorthel",gelisols,orthels,anhyorthels,calcic anhyorthels
99FN143002,-77.4199753,163.6868591,1999-01-08,0,,,80.0,pit,NCSS_Lab_Data_Mart,absence,55.0,24360,24360,99P0326,99FN143002,99FN143002,17,3959,,,,,C1|C2|C3|C4,0,4,,,,,,"Loamy-skeletal, mixed, hypergelic Typic Haplorthel",gelisols,orthels,haplorthels,typic haplorthels,"Loamy-skeletal, mixed, superactive, hypergelic Calcic Anhyorthel",gelisols,orthels,anhyorthels,calcic anhyorthels
99FN143003,-77.5182495,161.865921,1999-01-12,0,,,130.0,pit,NCSS_Lab_Data_Mart,absence,55.0,24361,24361,99P0327,99FN143003,99FN143003,17,3959,,,,,,0,9,,,,,,"Fine-silty, mixed, subactive, hypergelic Typic Anhyorthel",gelisols,orthels,anhyorthels,typic anhyorthels,"Coarse-loamy, mixed, superactive, hypergelic Nitric Anhyorthel",gelisols,orthels,anhyorthels,nitric anhyorthels
99FN143004,-77.8479996,166.7622223,1999-01-15,0,,,45.0,pit,NCSS_Lab_Data_Mart,absence,55.0,24362,24362,99P0328,99FN143004,99FN143004,17,3959,,,,,C1|C5|C2|C3|C4|C5,0,6,,,,,,,,,,,"Loamy-skeletal, mixed, superactive, hypergelic Typic Anhyorthel",gelisols,orthels,anhyorthels,typic anhyorthels
Granite_Harbour,-77.0232239,162.5256653,2003-01-15,0,,,80.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30214,30098,03N0734,Granite_Harbour,Ant10_Granite_Harbour,17,3959,,,,,,0,5,,,,,,,,,,,,,,,
Mid Beacon Valley,-77.8484444,160.6027777,2002-01-08,0,,,50.0,pit,NCSS_Lab_Data_Mart,absence,55.0,27523,27495,02N0367,Mid Beacon Valley,Middle_Beacon_Valley,17,3959,,,,,,0,3,,,,,,,,,,,,,,,
Minna Bluff,-78.5115204,166.7661896,2003-01-15,0,,,80.0,pit,NCSS_Lab_Data_Mart,absence,55.0,30213,30097,03N0733,Minna Bluff,Ant9_Minna_Bluff,17,3959,,,,,,0,5,,,,,,,,,,,,,,,
Mount Fleming Climate A,-77.5451944,160.2901611,2002-01-05,0,,,70.0,pit,NCSS_Lab_Data_Mart,absence,55.0,27524,27496,02N0364,Mount Fleming Climate A,Mount_Fleming_Climate,17,3959,,,,,,0,5,,,,,,,,,,,,,,,
Mount Fleming Climate B,-77.5451944,160.2901667,2002-01-05,0,,,30.0,pit,NCSS_Lab_Data_Mart,absence,55.0,27525,27496,02N0365,Mount Fleming Climate B,Mount_Fleming_Climate_B,17,3959,,,,,,0,3,,,,,,,,,,,,,,,
S2012ANT001012,-77.5021944,162.06475,2012-01-17,0,,,120.0,pit,NCSS_Lab_Data_Mart,absence,55.0,57199,56398,12N7869,S2012ANT001012,S2012ANT001012,17,3959,,,,,C1|C2|2Ck|2C,0,4,,,,,,"Sandy-skeletal, mixed, hypergelic Typic Haplorthel",gelisols,orthels,haplorthels,typic haplorthels,,,,,
