site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,site_name,transect_name,transect_point,natali_source_thaw_depth_cm,natali_notes,natali_coordinate_source,quality_flag_coord_lookup_or_interpolated,quality_flag_source_unit_or_code_recoded,quality_flag_refusal_or_obstruction_note
Natali_2023_HCU_T1_L0,2016-08-09,65.567191,-148.925705,33.0,1,33.0,,tp,Natali_2023,Hess Creek Unburned,1,0,33.0,,source_endpoint,False,False,False
Natali_2023_HCU_T1_L1,2016-08-09,65.56720056666666,-148.9257083,56.0,1,56.0,,tp,Natali_2023,Hess Creek Unburned,1,1,56.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L2,2016-08-09,65.56721013333333,-148.9257116,33.0,1,33.0,,tp,Natali_2023,Hess Creek Unburned,1,2,33.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L3,2016-08-09,65.5672197,-148.9257149,48.0,1,48.0,,tp,Natali_2023,Hess Creek Unburned,1,3,48.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L4,2016-08-09,65.56722926666666,-148.9257182,36.0,1,36.0,,tp,Natali_2023,Hess Creek Unburned,1,4,36.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L5,2016-08-09,65.56723883333333,-148.9257215,48.0,1,48.0,,tp,Natali_2023,Hess Creek Unburned,1,5,48.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L6,2016-08-09,65.5672484,-148.92572479999998,54.0,1,54.0,,tp,Natali_2023,Hess Creek Unburned,1,6,54.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L7,2016-08-09,65.56725796666666,-148.9257281,57.0,1,57.0,,tp,Natali_2023,Hess Creek Unburned,1,7,57.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L8,2016-08-09,65.56726753333332,-148.9257314,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,1,8,40.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L9,2016-08-09,65.5672771,-148.9257347,36.0,1,36.0,,tp,Natali_2023,Hess Creek Unburned,1,9,36.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L10,2016-08-09,65.56728666666666,-148.925738,32.0,1,32.0,,tp,Natali_2023,Hess Creek Unburned,1,10,32.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L11,2016-08-09,65.56729623333332,-148.9257413,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,1,11,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L12,2016-08-09,65.5673058,-148.9257446,33.0,1,33.0,,tp,Natali_2023,Hess Creek Unburned,1,12,33.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L13,2016-08-09,65.56731536666666,-148.9257479,36.0,1,36.0,,tp,Natali_2023,Hess Creek Unburned,1,13,36.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L14,2016-08-09,65.56732493333332,-148.9257512,45.0,1,45.0,,tp,Natali_2023,Hess Creek Unburned,1,14,45.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L15,2016-08-09,65.56733449999999,-148.92575449999998,43.0,1,43.0,,tp,Natali_2023,Hess Creek Unburned,1,15,43.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L16,2016-08-09,65.56734406666666,-148.92575779999999,34.0,1,34.0,,tp,Natali_2023,Hess Creek Unburned,1,16,34.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L17,2016-08-09,65.56735363333333,-148.9257611,45.0,1,45.0,,tp,Natali_2023,Hess Creek Unburned,1,17,45.0,,interpolated_transect,True,False,False
Natali_2023_HCU_T1_L18,2016-08-09,65.56736319999999,-148.9257644,40.0,1,40.0,,tp,Natali_2023,Hess Creek Unburned,1,18,40.0,,interpolated_transect,True,False,False
