date,site_name,site_code,latitude ,longitude ,transect,sample_location,thaw_depth,notes 
2016-08-09,Hess Creek Unburned,HCU,65.567191,-148.925705,1,0,33,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,1,56,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,2,33,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,3,48,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,4,36,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,5,48,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,6,54,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,7,57,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,8,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,9,36,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,10,32,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,11,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,12,33,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,13,36,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,14,45,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,15,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,16,34,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,17,45,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,18,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,19,35,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,20,47,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,21,37,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,22,32,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,23,28,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,24,41,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,25,39,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,26,47,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,27,44,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,28,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,1,29,49,NA
2016-08-09,Hess Creek Unburned,HCU,65.567478,-148.925804,1,30,38,NA
2016-08-09,Hess Creek Unburned,HCU,65.567228,-148.925424,2,0,51,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,1,47,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,2,41,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,3,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,4,50,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,5,42,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,6,38,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,7,21,Rock 
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,8,48,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,9,50,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,10,37,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,11,37,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,12,55,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,13,35,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,14,46,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,15,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,16,34,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,17,35,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,18,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,19,34,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,20,32,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,21,52,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,22,30,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,23,32,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,24,49,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,25,29,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,26,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,27,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,28,45,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,2,29,50,NA
2016-08-09,Hess Creek Unburned,HCU,65.567456,-148.925592,2,30,57,NA
2016-08-09,Hess Creek Unburned,HCU,65.567277,-148.925009,3,0,52,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,1,61,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,2,42,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,3,45,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,4,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,5,30,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,6,37,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,7,33,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,8,34,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,9,37,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,10,36,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,11,48,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,12,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,13,57,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,14,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,15,54,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,16,41,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,17,47,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,18,44,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,19,42,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,20,42,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,21,41,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,22,43,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,23,41,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,24,51,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,25,40,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,26,35,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,27,57,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,28,46,NA
2016-08-09,Hess Creek Unburned,HCU,-9999,-9999,3,29,42,NA
2016-08-09,Hess Creek Unburned,HCU,65.567562,-148.925063,3,30,57,NA
2016-08-10,Nome Creek Unburned - Old ,NCU_OLD ,65.340136,-146.9202,1,0,37,NA
2016-08-10,Nome Creek Unburned - Old ,NCU_OLD ,-9999,-9999,1,1,51,NA
2016-08-10,Nome Creek Unburned - Old ,NCU_OLD ,-9999,-9999,1,2,35,NA
2016-08-10,Nome Creek Unburned - Old ,NCU_OLD ,-9999,-9999,1,3,38,NA
2016-08-10,Nome Creek Unburned - Old ,NCU_OLD ,-9999,-9999,1,4,42,NA
