lon,lat,pf_depth,pf_observed,ice_content,obs_limit,site_id,thaw_depth,year,month,day,date,source,method
-138.9156,69.5684,,1,0.0,50.0,J01,50,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.95726,69.5796,,1,67.2699966431,218.0,PG2150,15,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.95734,69.5795,,1,75.6299972534,250.0,PG2151,31,2013,6,23,2013-06-23,Obu_etal_2016,pit
-139.02565,69.5715,,1,36.4199981689,63.0,PG2152,34,2013,6,23,2013-06-23,Obu_etal_2016,pit
-139.02565,69.5715,,1,81.5,198.0,PG2154,18,2013,6,23,2013-06-23,Obu_etal_2016,pit
-139.00703,69.5747,,1,53.1100006104,197.0,PG2155,31,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.89462,69.5708,,1,48.9399986267,227.0,PG2156,49,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.8903,69.5718,,1,30.6700000763,190.0,PG2157,46,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.8936,69.576,,1,26.7299995422,143.0,PG2158,77,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.99677,69.5734,,1,54.6300010681,200.0,PG2159,28,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.99422,69.5743,,1,0.0,70.0,PG2162,70,2013,6,23,2013-06-23,Obu_etal_2016,pit
-138.87083,69.5787,,1,73.0800018311,230.0,PG2163,33,2013,6,23,2013-06-23,Obu_etal_2016,pit
