"id","borehole_id","year","alt","date","guess","upper_therm","lower_therm","comment","created_at","updated_at"
5,9,2011,3.89,2011-09-09,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
13,16,2005,4.80,2005-10-06,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
18,14,2002,3.04,2002-10-23,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
19,14,2003,8.27,2003-11-06,,7.00,9.00,"",2018-10-18 13:56:39.000 +0200,
20,14,2004,4.78,2004-09-28,,4.00,5.00,"",2018-10-18 13:56:39.000 +0200,
21,14,2005,3.67,2005-10-09,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
23,14,2007,3.14,2007-10-04,,3.00,4.00,"",2018-10-18 13:56:39.000 +0200,
25,14,2009,7.18,2009-11-21,,7.00,9.00,"",2018-10-18 13:56:39.000 +0200,
26,15,2003,2.98,2003-10-31,,2.50,3.00,"",2018-10-18 13:56:39.000 +0200,
27,15,2004,3.33,2004-10-08,,3.00,3.50,"",2018-10-18 13:56:39.000 +0200,
32,15,2009,2.96,2009-11-01,,2.50,3.00,"",2018-10-18 13:56:39.000 +0200,
36,18,2003,2.96,2003-08-26,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
37,18,2004,2.90,2004-09-13,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
38,18,2005,2.93,2005-09-18,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
39,18,2006,2.95,2006-09-25,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
40,18,2007,2.98,2007-09-01,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
41,18,2008,2.98,2008-09-14,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
42,18,2009,2.95,2009-09-01,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
43,18,2010,2.94,2010-08-29,,2.00,3.00,"",2018-10-18 13:56:39.000 +0200,
44,18,2011,2.97,2011-09-17,true,2.00,3.00,"Guess, gaps exist",2018-10-18 13:56:39.000 +0200,
46,13,2004,1.42,2004-09-13,,1.00,1.50,"",2018-10-18 13:56:39.000 +0200,
47,13,2005,1.48,2005-09-04,,1.00,1.50,"",2018-10-18 13:56:39.000 +0200,
48,13,2006,1.38,2006-10-04,,1.00,1.50,"",2018-10-18 13:56:39.000 +0200,
51,13,2009,2.14,2009-10-01,,1.50,2.30,"",2018-10-18 13:56:39.000 +0200,
52,13,2010,2.01,2010-09-25,,1.50,2.30,"",2018-10-18 13:56:39.000 +0200,
59,21,2006,3.19,2006-08-06,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
60,21,2007,3.32,2007-09-08,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
61,21,2008,2.89,2008-09-17,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
63,21,2010,2.98,2010-09-03,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
64,21,2011,3.59,2011-09-20,,2.00,4.00,"",2018-10-18 13:56:39.000 +0200,
65,19,1997,0.66,1997-09-10,,0.50,1.00,"",2018-10-18 13:56:39.000 +0200,
67,19,1999,0.88,1999-09-19,,0.50,1.00,"",2018-10-18 13:56:39.000 +0200,
68,19,2000,0.74,2000-09-18,,0.50,1.00,"",2018-10-18 13:56:39.000 +0200,
