"id","name","alter_name","site_id","year","active","project","gtnp_id","gtnp_dms_id","calm_id","e","n","h","lat","lon","depth","inc","slp","asp","morphology","surf_type","pf_thick","class","comment","created_at","updated_at"
9,ATT_0108,B01/08,2,2008,true,PERMOS,CH 01,876,CH5,587196.000,105043.000,2661.000,46.096772,7.273075,26.000,0,25,270,talus slope,coarse blocks,>24 m,SH,none,2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:29.000 +0100
10,ATT_0208,B02/08,2,2008,true,PERMOS,CH 02,874,,587243.000,105040.000,2689.000,46.096746,7.273682,21.000,0,30,270,talus slope,coarse blocks,>20 m,SH,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,2018-08-09 14:36:26.000 +0200,
39,COR_0200,"2/2000",15,2000,true,PERMOS,CH 14,870,"",783175.000,144692.000,2672.300,46.428534,9.822020,63.200,0,10,315,rock glacier,coarse blocks,>62 m,IB,"Borehole is situated directly on Murtel rock glacier about 30 m upslope from borehole COR_0287. A good description of the borehole instrumentation and installation is given in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-125.",2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:04.000 +0100
6,COR_0287,"RMc, 2/1987",15,1987,true,PERMOS,CH 13,871,CH1,783160.000,144720.000,2670.200,46.428790,9.821836,62.000,0,10,315,rock glacier,coarse blocks,>60 m,IB,"Borehole is situated directly on Murtel rock glacier about 30 m downslope from borehole COR_0200. At the moment only aggregated 24 h values are stored in the DB and the data for several depths are not completely included in the DB, since these data seems to be corrupted. The uppermost thermistor temperatures are theoretically also available with 6 h interval prior to the renovation, and since the renovation all thermistor temperatures are measured every 2 h. The thermistor chain is stuck and could not be recalibrated since 1997.;Some additional information about the borehole instrumentation and further references can be found in Arenson (2002): Unstable alpine permafrost: A potentially important natural hazard - Variations of geotechnical behaviour with time and temperature. PhD, ETH Zurich, 97-108.",2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:04.000 +0100
48,COR_0315,"Murtel2015, COR_0287_2",15,2015,true,PERMOS,,,,783149.000,144734.000,2666.000,,,60.000,0,10,315,rock glacier,coarse blocks,>60 m,IB,Replacement borehole for COR_0287,2018-08-09 14:36:26.000 +0200,2022-05-30 17:21:59.000 +0200
18,FLU_0102,Fluela A,4,2002,true,PERMOS,CH 05,872,CH8,791375.000,180575.000,2394.000,46.748868,9.943555,23.000,0,26,45,talus slope,debris,ca. 5 m,SH,Borehole can only be visited in winter due to rockfall in summer (hence second interval change to ensure sufficient logger capacity).,2018-08-09 14:36:26.000 +0200,2023-01-31 08:53:04.000 +0100
17,GEM_0106,Gemsstock,5,2006,true,PERMOS,CH 06,873,,689779.500,161783.000,2940.000,46.601247,8.610430,40.000,90,50,315,crest,bedrock,no permafrost,IB,The borehole pierces the crest completely. Coordinates of Southern End (E/N/H): 689809.13/161756.14/2902.53,2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
13,GEN_0102,none,6,2002,true,PERMOS,CH 07,879,T_0311,589467.000,103586.000,2888.000,46.083705,7.302472,20.040,0,20,90,moraine,debris,>20 m,SH,"",2018-08-09 14:36:26.000 +0200,2023-09-28 08:33:58.000 +0200
84,GEN_0222,,6,2022,true,PERMOS,,,,,,,,,,,,,,,,,,2023-03-13 15:07:47.000 +0100,
30,JFR_0195,Jungfrau East Ridge,33,1995,true,PERMOS,CH 31,1711,,641000.000,155120.000,3590.000,46.546170,7.973160,21.000,80,55,5,crest,bedrock,,SH,"Thermistor depths are measured from inside the mountain towards the rock wall. Thermistors at 17.2, 18.7, and 19.7 m are thermally disturbed by military tunnel. Data only usable after new instrumentation in 2009.; A second borehole exists also on the south side of the ridge. Since that borehole is not instrumented anymore and the old data is not usable according to PHI, it is not included in the DB.",2018-08-09 14:36:26.000 +0200,2024-04-17 08:35:08.000 +0200
3,LAP_0198,F01,11,1998,true,PERMOS,CH 08,877,,588070.000,106080.000,2500.000,46.106117,7.284349,19.600,0,25,45,talus slope,coarse blocks,>20 m,SH,"",2018-08-09 14:36:26.000 +0200,2023-09-28 08:33:58.000 +0200
4,LAP_1108,F11,11,2008,true,PERMOS,CH 32,1712,,588099.000,106092.000,2500.000,46.106225,7.284724,40.000,0,25,45,talus slope,coarse blocks,ca. 15 m,IB,"",2018-08-09 14:36:26.000 +0200,2023-09-28 08:33:58.000 +0200
