"id","abbr","name","alter_name","permos","country","region","landforms","lithology","e","n","h_min","h_max","lat","lon","comment","created_at","canton","updated_at"
37,AGE,Aget,"",1,CH,Lower Valais,rock glacier,,584500,95300,2800,2900,46.009074,7.238535,,2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:09.000 +0100
1,MIL,Alpage de Mille,Mille,1,CH,Lower Valais,rock glacier,,581800,96800,2200,2500,46.022499,7.203621,,2018-08-09 12:28:01.000 +0200,VS,
4,FLU,Flüela,Flüela A,2,CH,Engadine,"talus slope, rock glacier",amphibolite,791500,180474,2394,2501,46.747924,9.945148,"Talus slope above and SW of lake Schottensee with 2 boreholes, 1 at base, 1 in upper sector of slope. Permafrost only at the base of the slope (avalanche debris in spring) and rock glacier at the Schwarzhorn (only TLS). IMIS (meteo) station NE of the lake. An automatic camera takes pictures of the talus slope every hour.",2018-08-09 12:28:01.000 +0200,GR,2023-02-02 11:35:32.000 +0100
7,GFU,Gemmi,Furggentaellti,2,CH,Upper Valais,"rock glacier, solifluction lobe",limestone,614800,139500,2460,2750,46.406691,7.631102,"Small valley with highly active rock glaciers (warm permafrost), solifluction lobes, and patterned grounds. Detailed site description in B. Krummenacher, D. Mihajlovic, A. Nussbaum, and B. Staub (Eds.), ""20 Jahre Furggent<e4>lti. Permafrostuntersuchungen auf der Gemmi,"" Bern: Geographica Bernensia, 2008.",2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:34:19.000 +0100
5,GEM,Gemsstock,"",2,CH,Urner Alps,crest,gneiss,689781,161789,2850,2950,46.601328,8.610423,Rocky ridge with a NW and a SE facing rock wall (40-50 m high). Horizontal 40 m borehole through ridge. Meteostation at N foot of ridge (below borehole). Automatic cameras take pictures hourly on both sides. TLS on both sides.,2018-08-09 12:28:01.000 +0200,UR,2023-02-02 11:35:08.000 +0100
6,GEN,Gentianes,"",1,CH,Lower Valais,moraine,paragneiss,589467,103586,2870,2895,46.083705,7.302472,"The site is located on the left lateral moraine of the Glacier de Tortin, near the Col des Gentianes.",2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:08.000 +0100
10,GGU,Grosses Gufer,"",1,CH,Upper Valais,rock glacier,granite,649350,141900,2360,2600,46.426628,8.080644,,2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:08.000 +0100
9,GRU,Gruben,"",1,CH,Upper Valais,rock glacier,,640410,113500,2765,2880,46.171759,7.961879,,2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:08.000 +0100
27,HUT,Hungerlitaelli,Turtmanntal,2,CH,Upper Valais,rock glacier,gneiss,621500,115500,2500,3000,46.190617,7.717123,,2018-08-09 12:28:01.000 +0200,VS,
33,JFJ,Jungfrau,Jungfrau Ostgrat,1,CH,Bernese Oberland,crest,gneiss,641000,155120,2850,3750,46.546110,7.973192,Two boreholes in the Jungfrau East ridge (only the one on the North side is instrumented) and five rock-surface-temperature measurements in the area.,2018-08-09 12:28:01.000 +0200,BE,2023-02-02 11:35:51.000 +0100
11,LAP,Lapires,"",2,CH,Lower Valais,talus slope,paragneiss,588070,106080,2380,2700,46.106117,7.284349,,2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:08.000 +0100
2,ATT,Les Attelas,"",2,CH,Lower Valais,talus slope,micaschists with amphibolites and paragneiss,587250,105000,2620,2800,46.096387,7.273774,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011.",2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:09.000 +0100
13,MAT,Matterhorn,Hoernligrat,1,CH,Upper Valais,crest,gneiss,618399,92334,3250,3300,45.982321,7.676049,Borehole-temperature measurements in crest (Hoernligrat) above and close to Hoernlihuette.,2018-08-09 12:28:01.000 +0200,VS,2023-02-02 11:35:08.000 +0100
16,MPR,Monte Prosa,"",1,CH,Ticino,rock glacier,granite,687450,157700,2430,2600,46.564858,8.579229,,2018-08-09 12:28:01.000 +0200,TI,2023-02-02 11:35:08.000 +0100
