site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,permos_alt_id,permos_borehole_id,permos_borehole_name,permos_borehole_alternate_name,permos_site_abbr,permos_site_name,permos_region,permos_canton,permos_year,permos_alt_m,permos_bound_type,permos_bound_cm,permos_date_source,permos_guess,permos_upper_therm_m,permos_lower_therm_m,permos_alt_comment,permos_coordinate_source,permos_borehole_elevation_m,permos_site_elevation_min_m,permos_site_elevation_max_m,permos_borehole_depth_m,permos_borehole_inclination_deg,permos_borehole_slope_deg,permos_borehole_aspect_deg,permos_morphology,permos_surface_type,permos_pf_thickness,permos_borehole_class,permos_gtnp_id,permos_gtnp_dms_id,permos_calm_id,permos_borehole_comment,permos_site_comment
ATT_0208,PERMOS_2024,2009-08-27,46.096746,7.273682,1,578.0,578.0,,temp,33,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2009,5.78,exact,,reported_max_alt_date,true,5.0,7.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2010-10-02,46.096746,7.273682,1,542.0,542.0,,temp,34,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2010,5.42,exact,,reported_max_alt_date,,5.0,7.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2011-10-02,46.096746,7.273682,1,499.0,499.0,,temp,35,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2011,4.99,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2012-08-17,46.096746,7.273682,1,499.0,499.0,,temp,198,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2012,4.99,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2013-09-25,46.096746,7.273682,1,550.0,550.0,,temp,223,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2013,5.5,exact,,reported_max_alt_date,,5.0,7.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2014-09-08,46.096746,7.273682,1,498.00000000000006,498.00000000000006,,temp,244,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2014,4.98,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2015-08-04,46.096746,7.273682,1,499.0,499.0,,temp,265,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2015,4.99,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2016-09-29,46.096746,7.273682,1,500.0,500.0,,temp,294,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2016,5.0,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2017-08-14,46.096746,7.273682,1,498.00000000000006,498.00000000000006,,temp,328,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2017,4.98,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
ATT_0208,PERMOS_2024,2018-09-17,46.096746,7.273682,1,500.0,500.0,,temp,351,10,ATT_0208,B02/08,ATT,Les Attelas,Lower Valais,VS,2018,5.0,exact,,reported_max_alt_date,,4.0,5.0,,borehole,2689.0,2620,2800,21.0,0.0,30.0,270.0,talus slope,coarse blocks,>20 m,SH,CH 02,874.0,,Caution with data from 2018-10-15 to 2019-07-10 due to water infiltration into logger box.,"Talus slope in the west-facing flank of Mont Gel<e9> with three boreholes, GST measurements, and geophysical monitoring. Good site description in C. Scapozza, C. Lambiel, L. Baron, L. Marescot, and E. Reynard, ""Internal structure and permafrost distribution in two alpine periglacial talus slopes, Valais, Swiss Alps,"" Geomorphology, vol. 132(3-4), pp. 208-221, 2011."
