site_id,lat,lon,date,org_thick,pf_depth,obs_limit,rock,pf_observed,method,transect_name,transect_point,source,thaw_depth
08DM00304,65.501667,-150.175278,2008-06-20 00:00:00,11.0,,200.0,N,0,pit_aug,,,Pastick,
08DM00305,65.501667,-150.176944,2008-06-20 00:00:00,10.0,,120.0,N,0,pit_aug,,,Pastick,
08DM00402,65.501667,-150.171111,2008-06-20 00:00:00,10.0,130.0,135.0,N,1,pit_aug,,,Pastick,130.0
08DM00506,65.503611,-150.178333,2008-06-20 00:00:00,0.0,,110.0,N,0,pit_aug,,,Pastick,
08DM00601,65.495278,-150.190556,2008-06-21 00:00:00,0.0,,180.0,N,0,pit_aug,,,Pastick,
08DM00602,65.495278,-150.189444,2008-06-21 00:00:00,9.0,54.0,65.0,N,1,pit_aug,,,Pastick,54.0
08DM00607,65.496111,-150.188889,2008-06-21 00:00:00,10.0,60.0,70.0,N,1,pit_aug,,,Pastick,60.0
08DM00703,65.494722,-150.189444,2008-06-21 00:00:00,4.0,,130.0,N,0,pit_aug,,,Pastick,
08DM00704,65.494725,-150.189444,2008-06-21 00:00:00,8.0,71.0,80.0,N,1,pit_aug,,,Pastick,71.0
08DM00805,65.494167,-150.1875,2008-06-21 00:00:00,6.0,,130.0,N,0,pit_aug,,,Pastick,
08DM00906,65.496944,-150.183333,2008-07-05 00:00:00,33.0,46.0,60.0,N,1,pit_aug,,,Pastick,46.0
08DM01001,65.505278,-150.172222,2008-06-22 00:00:00,4.0,,180.0,N,0,pit_aug,,,Pastick,
08DM01002,65.5075,-150.167778,2008-06-22 00:00:00,0.0,,150.0,N,0,pit_aug,,,Pastick,
08DM01003,65.506389,-150.168056,2008-06-22 00:00:00,3.0,,183.0,N,0,pit_aug,,,Pastick,
08DM01104,65.504722,-150.166944,2008-06-22 00:00:00,13.0,117.0,125.0,N,1,pit_aug,,,Pastick,117.0
08DM01105,65.506667,-150.165833,2008-06-22 00:00:00,13.0,90.0,110.0,N,1,pit_aug,,,Pastick,90.0
08DM01206,65.509722,-150.148611,2008-06-22 00:00:00,40.0,62.0,80.0,N,1,pit_aug,,,Pastick,62.0
08DM01307,65.511667,-150.141944,2008-06-22 00:00:00,5.0,95.0,100.0,N,1,pit_aug,,,Pastick,95.0
08DM01401,65.505,-150.139167,2008-06-23 00:00:00,23.0,52.0,60.0,N,1,pit_aug,,,Pastick,52.0
08DM01502,65.501111,-150.141111,2008-06-23 00:00:00,13.0,60.0,80.0,N,1,pit_aug,,,Pastick,60.0
08DM01503,65.5,-150.141667,2008-06-23 00:00:00,0.0,,87.0,Y,0,pit_aug,,,Pastick,
08DM01604,65.4975,-150.146111,2008-06-23 00:00:00,9.0,,190.0,N,0,pit_aug,,,Pastick,
08DM01605,65.497778,-150.146667,2008-06-23 00:00:00,4.0,,200.0,N,0,pit_aug,,,Pastick,
08DM01706,65.498333,-150.146944,2008-06-23 00:00:00,21.0,55.0,62.0,N,1,pit_aug,,,Pastick,55.0
08DM01707,65.499167,-150.148056,2008-06-23 00:00:00,17.0,,67.0,N,0,pit_aug,,,Pastick,
