easting_m	northing_m	elevation_m	twt_ns	alt_m
353912.5948	7047304.712	1193.493671	9.333163	0.4667
353912.6216	7047304.754	1193.484902	9.743412	0.4872
353912.6606	7047304.785	1193.496992	10.051098	0.5026
353912.6995	7047304.816	1193.509083	10.358785	0.5179
353912.7385	7047304.848	1193.521173	10.563909	0.5282
353912.7775	7047304.879	1193.533263	10.871596	0.5436
353912.8165	7047304.91	1193.545353	11.179283	0.559
353912.8555	7047304.942	1193.557444	11.384407	0.5692
353912.8973	7047304.969	1193.533317	11.486969	0.5743
353912.939	7047304.996	1193.50919	11.692094	0.5846
353912.9807	7047305.023	1193.48979	11.897218	0.5949
353913.0223	7047305.05	1193.470389	11.99978	0.6
353913.0615	7047305.081	1193.486201	12.102343	0.6051
353913.1006	7047305.113	1193.502014	12.512592	0.6256
353913.1483	7047305.126	1193.537637	12.615154	0.6308
353913.1959	7047305.139	1193.57326	12.922841	0.6461
353913.236	7047305.164	1193.610564	13.025403	0.6513
353913.276	7047305.189	1193.647869	13.127965	0.6564
353913.3135	7047305.221	1193.677375	13.333089	0.6667
353913.351	7047305.254	1193.706881	13.743338	0.6872
353913.3915	7047305.283	1193.726184	13.743338	0.6872
353913.432	7047305.312	1193.745486	14.256149	0.7128
353913.4771	7047305.334	1193.740769	14.256149	0.7128
353913.5222	7047305.355	1193.736051	14.358712	0.7179
353913.5673	7047305.377	1193.731334	14.256149	0.7128
353913.6124	7047305.398	1193.726617	14.153587	0.7077
353913.6561	7047305.422	1193.726149	13.948463	0.6974
353913.6998	7047305.446	1193.72568	13.948463	0.6974
353913.7402	7047305.476	1193.73519	14.256149	0.7128
353913.7806	7047305.505	1193.744699	14.666398	0.7333
353913.8209	7047305.535	1193.753293	15.076647	0.7538
353913.8613	7047305.564	1193.761886	15.486896	0.7743
353913.9011	7047305.594	1193.747138	15.794583	0.7897
353913.9409	7047305.625	1193.73239	15.999707	0.8
353913.9819	7047305.653	1193.714907	16.204832	0.8102
353914.0229	7047305.682	1193.697424	16.204832	0.8102
353914.0657	7047305.707	1193.675414	16.204832	0.8102
353914.1086	7047305.733	1193.653403	16.307394	0.8154
353914.1507	7047305.76	1193.63635	16.409956	0.8205
353914.1929	7047305.787	1193.619296	16.307394	0.8154
353914.2326	7047305.817	1193.617836	16.10227	0.8051
353914.2724	7047305.847	1193.616376	15.897145	0.7949
353914.313	7047305.876	1193.612595	15.692021	0.7846
353914.3537	7047305.905	1193.608814	15.486896	0.7743
353914.4008	7047305.919	1193.612608	14.974085	0.7487
353914.448	7047305.934	1193.616402	14.461274	0.7231
353914.4928	7047305.955	1193.604902	14.461274	0.7231
353914.5377	7047305.976	1193.593402	14.461274	0.7231
353914.5826	7047305.998	1193.582021	14.358712	0.7179
353914.6275	7047306.019	1193.57064	14.256149	0.7128
353914.6725	7047306.039	1193.549771	13.948463	0.6974
353914.7175	7047306.059	1193.528902	13.948463	0.6974
353914.7648	7047306.074	1193.526073	13.948463	0.6974
353914.8121	7047306.089	1193.523244	13.845901	0.6923
353914.8552	7047306.114	1193.495697	13.743338	0.6872
353914.8983	7047306.139	1193.468149	13.435652	0.6718
353914.9348	7047306.172	1193.440662	13.230527	0.6615
353914.9712	7047306.204	1193.413173	12.717716	0.6359
353915.0067	7047306.237	1193.386111	12.410029	0.6205
353915.0423	7047306.27	1193.359048	12.102343	0.6051
353915.086	7047306.294	1193.332323	11.794656	0.5897
353915.1297	7047306.319	1193.305598	11.486969	0.5743
353923.4545	7047309.827	1192.282646	12.512592	0.6256
353923.4813	7047309.87	1192.311196	12.615154	0.6308
353923.5082	7047309.912	1192.339748	12.922841	0.6461
353923.535	7047309.954	1192.368298	13.025403	0.6513
353923.5635	7047309.995	1192.418042	13.076684	0.6538
353923.5919	7047310.036	1192.467783	13.127965	0.6564
353923.6226	7047310.076	1192.548046	13.333089	0.6667
353923.6533	7047310.115	1192.628311	13.538214	0.6769
353923.6858	7047310.153	1192.658406	13.640776	0.682
353923.7184	7047310.191	1192.688502	13.692057	0.6846
353923.7517	7047310.228	1192.698638	13.743338	0.6872
353923.7849	7047310.265	1192.708774	13.845901	0.6923
353923.8181	7047310.303	1192.713431	13.948463	0.6974
353923.8513	7047310.34	1192.718088	14.051025	0.7026
353923.8834	7047310.379	1192.673946	14.256149	0.7128
353923.9154	7047310.417	1192.629807	14.256149	0.7128
353923.9475	7047310.455	1192.585667	14.563836	0.7282
353923.9795	7047310.494	1192.541526	14.768961	0.7384
353924.0146	7047310.525	1192.511644	15.17921	0.759
353924.0496	7047310.557	1192.481761	15.281772	0.7641
353924.0995	7047310.553	1192.522926	15.692021	0.7846
353924.1494	7047310.55	1192.564092	15.897145	0.7949
353924.193	7047310.555	1192.568861	15.999707	0.8
353924.2366	7047310.56	1192.57363	16.10227	0.8051
353924.1021	7047309.971	1193.030343	15.281772	0.7641
353924.0678	7047310.001	1193.050665	15.281772	0.7641
353924.0335	7047310.031	1193.070987	15.281772	0.7641
353924.0092	7047310.069	1193.087759	15.281772	0.7641
353923.9849	7047310.106	1193.104531	15.281772	0.7641
353924.0206	7047310.138	1193.109728	15.281772	0.7641
353924.0564	7047310.17	1193.114926	15.589458	0.7795
353924.0607	7047310.217	1193.09694	15.897145	0.7949
353924.0651	7047310.263	1193.078954	16.10227	0.8051
353924.095	7047310.303	1193.083934	16.307394	0.8154
353924.125	7047310.343	1193.088915	16.615081	0.8308
353924.1575	7047310.381	1193.115528	17.02533	0.8513
353924.19	7047310.419	1193.142143	17.230454	0.8615
353924.2229	7047310.457	1193.167477	17.435578	0.8718
353924.2557	7047310.495	1193.19281	17.435578	0.8718
353924.2901	7047310.531	1193.210177	17.538141	0.8769
353924.3246	7047310.567	1193.227543	17.538141	0.8769
353924.3593	7047310.603	1193.245412	17.640703	0.882
353924.3941	7047310.639	1193.263281	17.640703	0.882
353924.4328	7047310.671	1193.288317	17.435578	0.8718
353924.4715	7047310.702	1193.313355	17.435578	0.8718
353924.5103	7047310.734	1193.338038	17.640703	0.882
353924.5492	7047310.765	1193.362721	17.845827	0.8923
353924.5919	7047310.791	1193.375363	17.845827	0.8923
353924.6347	7047310.817	1193.388005	17.845827	0.8923
353924.6774	7047310.843	1193.400647	17.640703	0.882
353924.7202	7047310.869	1193.413289	17.538141	0.8769
353924.7625	7047310.895	1193.426162	17.333016	0.8667
353924.8049	7047310.922	1193.439035	17.02533	0.8513
353924.8412	7047310.956	1193.45539	16.820205	0.841
353924.8776	7047310.99	1193.471746	16.615081	0.8308
353924.914	7047311.025	1193.488102	16.307394	0.8154
353924.9504	7047311.059	1193.504458	15.999707	0.8
353924.9867	7047311.093	1193.518783	15.486896	0.7743
353925.023	7047311.128	1193.533107	15.486896	0.7743
353925.0592	7047311.162	1193.538695	15.486896	0.7743
353925.0954	7047311.197	1193.544282	15.486896	0.7743
353925.1315	7047311.231	1193.54987	15.486896	0.7743
353925.1677	7047311.266	1193.555457	15.486896	0.7743
353925.2038	7047311.3	1193.561045	15.486896	0.7743
353925.24	7047311.335	1193.566632	15.486896	0.7743
353925.2762	7047311.369	1193.572219	15.281772	0.7641
353925.3123	7047311.404	1193.577807	15.17921	0.759
353925.3544	7047311.418	1193.609876	14.871523	0.7436
353925.3964	7047311.432	1193.641946	14.871523	0.7436
353929.9933	7047313.774	1194.240505	15.384334	0.7692
353930.0398	7047313.793	1194.237099	14.461274	0.7231
353930.0862	7047313.811	1194.233693	14.256149	0.7128
353930.1326	7047313.83	1194.230287	13.845901	0.6923
353930.1792	7047313.848	1194.231682	13.640776	0.682
353930.2257	7047313.866	1194.233078	13.538214	0.6769
353930.2723	7047313.884	1194.23895	13.538214	0.6769
353930.319	7047313.902	1194.244822	13.538214	0.6769
353930.3641	7047313.923	1194.248761	13.333089	0.6667
353930.4091	7047313.944	1194.2527	13.230527	0.6615
353930.4504	7047313.972	1194.254899	12.922841	0.6461
353930.4916	7047314	1194.257097	12.820278	0.641
353930.5344	7047314.026	1194.263596	12.717716	0.6359
353930.5772	7047314.052	1194.270096	12.615154	0.6308
353930.62	7047314.078	1194.276595	12.512592	0.6256
353930.6628	7047314.104	1194.283094	12.307467	0.6154
353930.7043	7047314.131	1194.2893	12.102343	0.6051
353930.7459	7047314.159	1194.295505	12.102343	0.6051
353930.7835	7047314.192	1194.300769	12.102343	0.6051
353930.8211	7047314.225	1194.306033	11.99978	0.6
353930.8588	7047314.258	1194.311297	11.897218	0.5949
353930.8964	7047314.29	1194.316561	11.897218	0.5949
353930.934	7047314.323	1194.321824	11.692094	0.5846
353930.9716	7047314.356	1194.327088	11.589532	0.5795
353931.0093	7047314.389	1194.331994	11.486969	0.5743
353931.047	7047314.422	1194.336899	11.281845	0.5641
353931.0861	7047314.453	1194.336032	11.179283	0.559
353931.1252	7047314.484	1194.335165	10.974158	0.5487
353931.1643	7047314.516	1194.334299	10.769034	0.5385
353931.2033	7047314.547	1194.333432	10.563909	0.5282
353931.2424	7047314.578	1194.332565	10.256223	0.5128
353931.2815	7047314.609	1194.331699	9.948536	0.4974
353931.3205	7047314.64	1194.330832	9.743412	0.4872
353931.3596	7047314.672	1194.329965	9.538287	0.4769
353931.3935	7047314.708	1194.343334	9.333163	0.4667
353931.4275	7047314.743	1194.356703	9.333163	0.4667
353931.4549	7047314.785	1194.387965	9.333163	0.4667
353931.4824	7047314.827	1194.419225	9.333163	0.4667
353931.5139	7047314.865	1194.44002	9.333163	0.4667
353931.5454	7047314.904	1194.460817	9.435725	0.4718
353931.5804	7047314.94	1194.472689	9.538287	0.4769
353931.6153	7047314.976	1194.484562	9.845974	0.4923
353931.6503	7047315.011	1194.496435	10.15366	0.5077
353931.6852	7047315.047	1194.508307	10.358785	0.5179
353932.6701	7047315.803	1194.521078	6.358858	0.3179
353932.7086	7047315.835	1194.506245	6.563982	0.3282
353932.7531	7047315.858	1194.499551	6.632357	0.3316
353932.7976	7047315.88	1194.492857	6.700732	0.335
353932.8428	7047315.901	1194.487163	6.769107	0.3385
353932.8881	7047315.923	1194.481469	6.837482	0.3419
353932.9334	7047315.944	1194.473554	6.905857	0.3453
353932.9787	7047315.965	1194.465639	6.974231	0.3487
353933.0245	7047315.985	1194.446765	7.076794	0.3538
353933.0702	7047316.005	1194.427892	7.179356	0.359
353933.116	7047316.025	1194.40902	7.38448	0.3692
353933.1617	7047316.045	1194.390147	7.487043	0.3744
353933.2078	7047316.065	1194.383531	7.640886	0.382
353933.2538	7047316.084	1194.376914	7.794729	0.3897
353933.3	7047316.104	1194.375434	7.931479	0.3966
353933.3462	7047316.123	1194.373954	8.068228	0.4034
353933.3923	7047316.142	1194.372474	8.204978	0.4102
353933.4385	7047316.161	1194.370995	8.410103	0.4205
353933.4847	7047316.18	1194.369515	8.615227	0.4308
353933.5308	7047316.2	1194.368035	8.717789	0.4359
353933.5729	7047316.226	1194.363136	8.820351	0.441
353933.6149	7047316.252	1194.358237	8.922914	0.4461
353933.6548	7047316.283	1194.351501	9.025476	0.4513
353933.6946	7047316.313	1194.344765	9.196413	0.4598
353933.7344	7047316.343	1194.338028	9.36735	0.4684
353933.7743	7047316.373	1194.331292	9.538287	0.4769
353933.8189	7047316.395	1194.33085	9.69213	0.4846
353933.8636	7047316.417	1194.330408	9.845974	0.4923
353933.9093	7047316.438	1194.331256	10.051098	0.5026
353933.9549	7047316.458	1194.332104	10.461347	0.5231
353934.0006	7047316.479	1194.332953	10.717753	0.5359
353934.0462	7047316.499	1194.333801	10.974158	0.5487
353934.0888	7047316.525	1194.332159	11.179283	0.559
353934.1314	7047316.551	1194.330517	11.179283	0.559
353934.1736	7047316.578	1194.328544	11.179283	0.559
353934.2159	7047316.605	1194.326571	10.974158	0.5487
353934.2581	7047316.631	1194.324598	11.07672	0.5538
353934.3003	7047316.658	1194.322625	11.281845	0.5641
353934.3427	7047316.685	1194.320882	11.384407	0.5692
353934.3851	7047316.711	1194.319139	11.794656	0.5897
353934.4295	7047316.734	1194.319991	11.897218	0.5949
353934.4739	7047316.757	1194.320844	11.99978	0.6
353934.5183	7047316.78	1194.321471	12.307467	0.6154
353934.5627	7047316.803	1194.322098	12.512592	0.6256
353934.607	7047316.826	1194.322249	12.615154	0.6308
353934.6514	7047316.849	1194.322401	12.717716	0.6359
353934.6958	7047316.872	1194.322552	12.922841	0.6461
353934.7401	7047316.895	1194.322704	13.025403	0.6513
