easting_m	northing_m	elevation_m	twt_ns	alt_m
638524.6338	7040138.113	1180.070464	9.647377	0.4824
638524.6676	7040138.15	1180.063587	9.253606	0.4627
638524.7014	7040138.187	1180.05671	9.253606	0.4627
638524.7362	7040138.223	1180.042709	9.253606	0.4627
638524.772	7040138.257	1180.020364	9.253606	0.4627
638524.8059	7040138.294	1180.011724	9.647377	0.4824
638524.8393	7040138.331	1180.007413	10.041147	0.5021
638524.8726	7040138.369	1180.003102	10.434918	0.5217
638524.906	7040138.406	1179.998792	10.631803	0.5316
638524.9394	7040138.443	1179.994481	10.4487	0.5224
638524.969	7040138.483	1179.99562	10.38865	0.5194
638524.9935	7040138.527	1180.004147	10.3286	0.5164
638525.0179	7040138.57	1180.012674	10.30458	0.5152
638525.0424	7040138.614	1180.0212	10.28056	0.514
638525.0669	7040138.657	1180.029727	10.25654	0.5128
638525.0914	7040138.701	1180.037602	10.23252	0.5116
638525.1147	7040138.745	1180.024256	10.2085	0.5104
638525.1379	7040138.789	1180.01091	10.168467	0.5084
638525.1612	7040138.834	1179.997564	10.128433	0.5064
638525.1845	7040138.878	1179.984218	10.0884	0.5044
638525.2078	7040138.922	1179.970872	10.058375	0.5029
638525.2311	7040138.966	1179.957526	10.02835	0.5014
638525.2538	7040139.011	1179.946	9.998325	0.4999
638525.273	7040139.057	1179.946	9.9683	0.4984
638525.2923	7040139.103	1179.946	9.8482	0.4924
638525.3198	7040139.144	1179.948785	9.8482	0.4924
638525.3514	7040139.183	1179.952911	9.8482	0.4924
638525.383	7040139.222	1179.957036	9.813886	0.4907
638525.4146	7040139.261	1179.961161	9.779571	0.489
638525.4423	7040139.302	1179.952881	9.745257	0.4873
638525.4692	7040139.344	1179.941435	9.710943	0.4855
638525.496	7040139.387	1179.92999	9.676628	0.4838
638525.5228	7040139.429	1179.918544	9.642314	0.4821
638525.5496	7040139.471	1179.907099	9.608	0.4804
638525.5764	7040139.513	1179.895653	9.4879	0.4744
638525.6032	7040139.555	1179.884208	9.3678	0.4684
638525.6315	7040139.596	1179.873708	9.1276	0.4564
638525.6716	7040139.626	1179.871003	9.097575	0.4549
638525.7101	7040139.658	1179.866231	9.06755	0.4534
638525.7436	7040139.695	1179.855561	9.037525	0.4519
638525.7771	7040139.732	1179.84489	9.0075	0.4504
638525.8105	7040139.769	1179.83422	8.8874	0.4444
638525.844	7040139.806	1179.823493	8.8874	0.4444
638525.8763	7040139.845	1179.811502	8.8874	0.4444
638525.9085	7040139.883	1179.799511	8.967467	0.4484
638525.9408	7040139.921	1179.78752	9.047533	0.4524
