easting_m,northing_m,elevation_m,twt_ns,alt_m
638518.1632,7040140.291,1179.692483,8.880015,0.444
638518.1157,7040140.306,1179.705226,9.055857,0.4528
638518.0716,7040140.328,1179.722822,9.055857,0.4528
638518.0328,7040140.36,1179.748012,8.880015,0.444
638517.994,7040140.391,1179.773203,8.792094,0.4396
638517.954,7040140.421,1179.795514,8.704173,0.4352
638517.9104,7040140.445,1179.809358,8.528331,0.4264
638517.8668,7040140.47,1179.823203,8.44041,0.422
638517.8297,7040140.503,1179.823698,8.352489,0.4176
638517.7936,7040140.538,1179.822202,8.264568,0.4132
638517.7574,7040140.572,1179.820706,8.176648,0.4088
638517.7213,7040140.607,1179.81921,7.824964,0.3912
638517.6852,7040140.641,1179.817714,7.737043,0.3869
638517.649,7040140.676,1179.816218,7.649122,0.3825
638517.6094,7040140.706,1179.849262,7.47328,0.3737
638517.5716,7040140.737,1179.887148,7.47328,0.3737
638517.5724,7040140.785,1179.906756,7.649122,0.3825
638517.5274,7040140.807,1179.917861,7.912885,0.3956
638517.4824,7040140.828,1179.928966,8.088727,0.4044
638517.4374,7040140.85,1179.940071,8.176648,0.4088
638517.3924,7040140.872,1179.951176,8.220608,0.411
638517.3474,7040140.894,1179.962281,8.264568,0.4132
638517.3095,7040140.926,1179.955661,8.352489,0.4176
638517.272,7040140.959,1179.947813,8.44041,0.422
638517.2346,7040140.993,1179.939966,8.528331,0.4264
638517.1972,7040141.026,1179.932119,8.616252,0.4308
638517.1597,7040141.059,1179.924271,8.704173,0.4352
638517.1223,7040141.092,1179.916424,8.880015,0.444
638517.0802,7040141.119,1179.92468,8.967936,0.4484
638517.0406,7040141.149,1179.943252,9.055857,0.4528
638517.0049,7040141.184,1179.974793,9.055857,0.4528
638516.9669,7040141.216,1179.998999,9.231699,0.4616
638516.9264,7040141.246,1180.014402,9.31962,0.466
638516.8858,7040141.275,1180.029805,9.31962,0.466
638516.8461,7040141.305,1180.043572,9.31962,0.466
638516.8066,7040141.336,1180.05691,9.31962,0.466
638516.7671,7040141.367,1180.070248,9.31962,0.466
638516.7276,7040141.397,1180.083586,9.275659,0.4638
638516.6858,7040141.424,1180.094255,9.231699,0.4616
638516.64,7040141.444,1180.100362,9.231699,0.4616
638516.5943,7040141.464,1180.106469,9.231699,0.4616
638516.5482,7040141.483,1180.11382,9.187738,0.4594
638516.4992,7040141.493,1180.133099,9.143778,0.4572
638516.4499,7040141.501,1180.148481,9.143778,0.4572
638516.3999,7040141.502,1180.153789,9.143778,0.4572
638516.3499,7040141.503,1180.159098,9.143778,0.4572
638516.3,7040141.504,1180.164406,9.143778,0.4572
638516.2524,7040141.516,1180.178738,9.231699,0.4616
638516.2071,7040141.537,1180.201689,9.231699,0.4616
638516.1618,7040141.558,1180.224641,9.231699,0.4616
638516.1165,7040141.579,1180.247592,9.231699,0.4616
638516.0712,7040141.6,1180.270543,9.231699,0.4616
638516.0216,7040141.599,1180.272445,9.231699,0.4616
638515.9717,7040141.595,1180.272921,9.31962,0.466
638515.9258,7040141.613,1180.288214,9.407541,0.4704
638515.8807,7040141.634,1180.306467,9.407541,0.4704
638515.8356,7040141.656,1180.32472,9.495462,0.4748
638515.7905,7040141.677,1180.342972,9.583383,0.4792
638515.748,7040141.703,1180.358587,9.671304,0.4836
638515.7085,7040141.734,1180.370986,9.759224,0.488
638515.669,7040141.764,1180.383383,10.022987,0.5011
638515.6295,7040141.795,1180.395782,10.28675,0.5143
638515.59,7040141.826,1180.40818,10.374671,0.5187
638515.5505,7040141.856,1180.420578,10.462592,0.5231
638515.511,7040141.887,1180.432976,10.550513,0.5275
638515.4715,7040141.918,1180.445374,10.550513,0.5275
638515.4297,7040141.945,1180.456083,10.550513,0.5275
638515.3879,7040141.973,1180.466701,10.726355,0.5363
638515.346,7040142,1180.47732,10.814276,0.5407
638515.3052,7040142.029,1180.496157,10.902197,0.5451
638515.2674,7040142.061,1180.536468,11.078039,0.5539
638515.2295,7040142.094,1180.57678,11.16596,0.5583
638515.1917,7040142.127,1180.617091,11.16596,0.5583
638515.1538,7040142.159,1180.657403,11.341801,0.5671
638515.1144,7040142.19,1180.680389,11.429722,0.5715
638515.0743,7040142.22,1180.6955,11.605564,0.5803
638515.0342,7040142.25,1180.710612,11.693485,0.5847
638514.994,7040142.28,1180.725723,11.781406,0.5891
638514.9542,7040142.31,1180.739398,11.781406,0.5891
638514.9156,7040142.341,1180.746853,11.781406,0.5891
638514.8769,7040142.373,1180.754307,11.781406,0.5891
638514.8383,7040142.405,1180.761762,11.781406,0.5891
638514.7997,7040142.437,1180.769217,11.869327,0.5935
638514.761,7040142.468,1180.776672,11.781406,0.5891
638514.7193,7040142.495,1180.792239,11.781406,0.5891
638514.6733,7040142.515,1180.819038,11.781406,0.5891
638514.6273,7040142.534,1180.845837,11.781406,0.5891
638514.5797,7040142.547,1180.873562,11.957248,0.5979
638514.5297,7040142.549,1180.902495,11.957248,0.5979
638514.4801,7040142.553,1180.931666,12.221011,0.6111
638514.4371,7040142.579,1180.965448,12.221011,0.6111
638514.394,7040142.604,1180.99923,12.396853,0.6198
638514.351,7040142.63,1181.033012,12.572695,0.6286
638514.3042,7040142.646,1181.054501,12.572695,0.6286
638514.2558,7040142.659,1181.07083,12.484774,0.6242
638514.2075,7040142.672,1181.088097,12.396853,0.6198
638514.1603,7040142.688,1181.117661,12.396853,0.6198
638514.1131,7040142.705,1181.147224,12.396853,0.6198
638514.0659,7040142.721,1181.176787,12.660616,0.633
638514.0178,7040142.734,1181.207416,12.748537,0.6374
638513.9682,7040142.74,1181.239531,12.924378,0.6462
638513.9187,7040142.747,1181.271648,13.012299,0.6506
638513.8711,7040142.761,1181.291581,13.10022,0.655
638513.8253,7040142.781,1181.300359,12.836457,0.6418
638513.7795,7040142.801,1181.309136,12.484774,0.6242
638513.7337,7040142.821,1181.317914,12.221011,0.6111
638513.6879,7040142.841,1181.326691,11.957248,0.5979
638513.6421,7040142.861,1181.335469,11.253881,0.5627
638513.5962,7040142.881,1181.344246,11.253881,0.5627
638513.5572,7040142.911,1181.351379,11.16596,0.5583
638513.5232,7040142.947,1181.357282,11.078039,0.5539
638513.4891,7040142.984,1181.363186,10.814276,0.5407
638513.4551,7040143.021,1181.369089,10.726355,0.5363
638513.4267,7040143.062,1181.381385,10.726355,0.5363
638513.3992,7040143.103,1181.394846,10.770315,0.5385
638513.3718,7040143.145,1181.408308,10.814276,0.5407
638513.3444,7040143.187,1181.421769,10.858236,0.5429
638513.3081,7040143.22,1181.416103,10.902197,0.5451
638513.2677,7040143.25,1181.401669,10.931504,0.5466
638513.2273,7040143.279,1181.387236,10.960811,0.548
638513.187,7040143.309,1181.372803,10.990118,0.5495
