Perm	Perm_cm	Source	E_10TM83	N_10TM83	Dataset_Source
0		Mapped wetland types in sample tiles	227592	6658007	Alberta Geological Survey
0		Mapped wetland types in sample tiles	227873	6657902	Alberta Geological Survey
0		Mapped wetland types in sample tiles	228176	6658137	Alberta Geological Survey
0		Mapped wetland types in sample tiles	227939	6658113	Alberta Geological Survey
0		Mapped wetland types in sample tiles	227946	6657364	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224727	6656944	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225119	6657092	Alberta Geological Survey
0		Mapped wetland types in sample tiles	269765	6655878	Alberta Geological Survey
0		Mapped wetland types in sample tiles	269814	6655671	Alberta Geological Survey
0		Mapped wetland types in sample tiles	269663	6655494	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284942	6654918	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284980	6654483	Alberta Geological Survey
0		Mapped wetland types in sample tiles	285318	6654933	Alberta Geological Survey
0		Mapped wetland types in sample tiles	283598	6653505	Alberta Geological Survey
0		Mapped wetland types in sample tiles	283576	6654048	Alberta Geological Survey
0		Mapped wetland types in sample tiles	283810	6653928	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284279	6653904	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245668	6653116	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245947	6653235	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245756	6652415	Alberta Geological Survey
0		Mapped wetland types in sample tiles	260734	6653210	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261019	6652894	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261187	6652451	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261300	6652778	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261208	6652681	Alberta Geological Survey
0		Mapped wetland types in sample tiles	266514	6651369	Alberta Geological Survey
0		Mapped wetland types in sample tiles	267215	6651611	Alberta Geological Survey
0		Mapped wetland types in sample tiles	266851	6652192	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284686	6651740	Alberta Geological Survey
0		Mapped wetland types in sample tiles	285000	6652109	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284669	6651518	Alberta Geological Survey
0		Mapped wetland types in sample tiles	285135	6652270	Alberta Geological Survey
0		Mapped wetland types in sample tiles	241544	6650708	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242135	6650866	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242347	6650477	Alberta Geological Survey
0		Mapped wetland types in sample tiles	280182	6651028	Alberta Geological Survey
0		Mapped wetland types in sample tiles	279799	6650446	Alberta Geological Survey
0		Mapped wetland types in sample tiles	237197	6649754	Alberta Geological Survey
0		Mapped wetland types in sample tiles	237308	6650083	Alberta Geological Survey
0		Mapped wetland types in sample tiles	236941	6650193	Alberta Geological Survey
0		Mapped wetland types in sample tiles	236527	6649959	Alberta Geological Survey
0		Mapped wetland types in sample tiles	275910	6649739	Alberta Geological Survey
0		Mapped wetland types in sample tiles	276024	6650267	Alberta Geological Survey
0		Mapped wetland types in sample tiles	276365	6649885	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242027	6648669	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242168	6649091	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242036	6649245	Alberta Geological Survey
0		Mapped wetland types in sample tiles	242391	6648620	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245157	6648044	Alberta Geological Survey
0		Mapped wetland types in sample tiles	244998	6648265	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245327	6647683	Alberta Geological Survey
0		Mapped wetland types in sample tiles	277117	6648104	Alberta Geological Survey
0		Mapped wetland types in sample tiles	276644	6648053	Alberta Geological Survey
0		Mapped wetland types in sample tiles	276825	6647791	Alberta Geological Survey
0		Mapped wetland types in sample tiles	277112	6647602	Alberta Geological Survey
0		Mapped wetland types in sample tiles	272083	6646832	Alberta Geological Survey
0		Mapped wetland types in sample tiles	271537	6647013	Alberta Geological Survey
0		Mapped wetland types in sample tiles	272146	6646489	Alberta Geological Survey
0		Mapped wetland types in sample tiles	263933	6645839	Alberta Geological Survey
0		Mapped wetland types in sample tiles	264121	6646207	Alberta Geological Survey
0		Mapped wetland types in sample tiles	263764	6645472	Alberta Geological Survey
0		Mapped wetland types in sample tiles	287969	6646220	Alberta Geological Survey
0		Mapped wetland types in sample tiles	287523	6645827	Alberta Geological Survey
0		Mapped wetland types in sample tiles	311663	6644707	Alberta Geological Survey
0		Mapped wetland types in sample tiles	312303	6644884	Alberta Geological Survey
0		Mapped wetland types in sample tiles	287672	6642883	Alberta Geological Survey
0		Mapped wetland types in sample tiles	288118	6642873	Alberta Geological Survey
0		Mapped wetland types in sample tiles	288419	6642425	Alberta Geological Survey
0		Mapped wetland types in sample tiles	288291	6642542	Alberta Geological Survey
0		Mapped wetland types in sample tiles	318877	6643130	Alberta Geological Survey
0		Mapped wetland types in sample tiles	319038	6642958	Alberta Geological Survey
0		Mapped wetland types in sample tiles	319180	6642912	Alberta Geological Survey
0		Mapped wetland types in sample tiles	251243	6641160	Alberta Geological Survey
0		Mapped wetland types in sample tiles	250949	6641158	Alberta Geological Survey
0		Mapped wetland types in sample tiles	251168	6640718	Alberta Geological Survey
0		Mapped wetland types in sample tiles	266984	6640502	Alberta Geological Survey
0		Mapped wetland types in sample tiles	267090	6641026	Alberta Geological Survey
0		Mapped wetland types in sample tiles	266600	6641223	Alberta Geological Survey
0		Mapped wetland types in sample tiles	263532	6639157	Alberta Geological Survey
0		Mapped wetland types in sample tiles	263529	6638933	Alberta Geological Survey
0		Mapped wetland types in sample tiles	264315	6638571	Alberta Geological Survey
0		Mapped wetland types in sample tiles	300586	6639220	Alberta Geological Survey
0		Mapped wetland types in sample tiles	301137	6638853	Alberta Geological Survey
0		Mapped wetland types in sample tiles	300562	6638580	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261866	6637941	Alberta Geological Survey
0		Mapped wetland types in sample tiles	261956	6638191	Alberta Geological Survey
0		Mapped wetland types in sample tiles	262371	6637686	Alberta Geological Survey
0		Mapped wetland types in sample tiles	285288	6638205	Alberta Geological Survey
0		Mapped wetland types in sample tiles	285335	6637769	Alberta Geological Survey
0		Mapped wetland types in sample tiles	284551	6637424	Alberta Geological Survey
0		Mapped wetland types in sample tiles	310540	6637953	Alberta Geological Survey
0		Mapped wetland types in sample tiles	311150	6637894	Alberta Geological Survey
0		Mapped wetland types in sample tiles	311036	6637368	Alberta Geological Survey
0		Mapped wetland types in sample tiles	311341	6637495	Alberta Geological Survey
0		Mapped wetland types in sample tiles	326641	6638011	Alberta Geological Survey
0		Mapped wetland types in sample tiles	235090	6637199	Alberta Geological Survey
0		Mapped wetland types in sample tiles	234923	6636652	Alberta Geological Survey
0		Mapped wetland types in sample tiles	234776	6636388	Alberta Geological Survey
0		Mapped wetland types in sample tiles	226928	6635422	Alberta Geological Survey
0		Mapped wetland types in sample tiles	226627	6635362	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245196	6635094	Alberta Geological Survey
0		Mapped wetland types in sample tiles	245105	6634829	Alberta Geological Survey
0		Mapped wetland types in sample tiles	244667	6635004	Alberta Geological Survey
0		Mapped wetland types in sample tiles	244733	6634720	Alberta Geological Survey
0		Mapped wetland types in sample tiles	247686	6634647	Alberta Geological Survey
0		Mapped wetland types in sample tiles	248252	6635136	Alberta Geological Survey
0		Mapped wetland types in sample tiles	248184	6634855	Alberta Geological Survey
0		Mapped wetland types in sample tiles	247508	6635046	Alberta Geological Survey
0		Mapped wetland types in sample tiles	247769	6634608	Alberta Geological Survey
0		Mapped wetland types in sample tiles	275687	6635163	Alberta Geological Survey
0		Mapped wetland types in sample tiles	315248	6634903	Alberta Geological Survey
0		Mapped wetland types in sample tiles	319634	6634698	Alberta Geological Survey
0		Mapped wetland types in sample tiles	320362	6634456	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224890	6633740	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225128	6633493	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224810	6634267	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224840	6634006	Alberta Geological Survey
0		Mapped wetland types in sample tiles	273616	6634170	Alberta Geological Survey
0		Mapped wetland types in sample tiles	326852	6634024	Alberta Geological Survey
0		Mapped wetland types in sample tiles	326733	6633787	Alberta Geological Survey
0		Mapped wetland types in sample tiles	326601	6633655	Alberta Geological Survey
0		Mapped wetland types in sample tiles	327129	6633325	Alberta Geological Survey
0		Mapped wetland types in sample tiles	223248	6632477	Alberta Geological Survey
0		Mapped wetland types in sample tiles	223249	6632793	Alberta Geological Survey
0		Mapped wetland types in sample tiles	223165	6633030	Alberta Geological Survey
0		Mapped wetland types in sample tiles	222636	6633102	Alberta Geological Survey
0		Mapped wetland types in sample tiles	301050	6631008	Alberta Geological Survey
0		Mapped wetland types in sample tiles	300569	6631131	Alberta Geological Survey
0		Mapped wetland types in sample tiles	300842	6631252	Alberta Geological Survey
0		Mapped wetland types in sample tiles	231986	6629904	Alberta Geological Survey
0		Mapped wetland types in sample tiles	231787	6629867	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225688	6627746	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225925	6627376	Alberta Geological Survey
0		Mapped wetland types in sample tiles	226227	6627587	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225878	6628031	Alberta Geological Survey
0		Mapped wetland types in sample tiles	256850	6627850	Alberta Geological Survey
0		Mapped wetland types in sample tiles	257381	6627966	Alberta Geological Survey
0		Mapped wetland types in sample tiles	257310	6627383	Alberta Geological Survey
0		Mapped wetland types in sample tiles	257095	6627536	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225164	6626583	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225038	6627190	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224571	6627208	Alberta Geological Survey
0		Mapped wetland types in sample tiles	233591	6626932	Alberta Geological Survey
0		Mapped wetland types in sample tiles	234135	6627158	Alberta Geological Survey
0		Mapped wetland types in sample tiles	233820	6627135	Alberta Geological Survey
0		Mapped wetland types in sample tiles	234401	6626500	Alberta Geological Survey
0		Mapped wetland types in sample tiles	304414	6626874	Alberta Geological Survey
0		Mapped wetland types in sample tiles	304181	6626942	Alberta Geological Survey
0		Mapped wetland types in sample tiles	303481	6626620	Alberta Geological Survey
0		Mapped wetland types in sample tiles	303788	6626326	Alberta Geological Survey
0		Mapped wetland types in sample tiles	297506	6626121	Alberta Geological Survey
0		Mapped wetland types in sample tiles	297924	6625901	Alberta Geological Survey
0		Mapped wetland types in sample tiles	311757	6625828	Alberta Geological Survey
0		Mapped wetland types in sample tiles	312028	6626175	Alberta Geological Survey
0		Mapped wetland types in sample tiles	248000	6622751	Alberta Geological Survey
0		Mapped wetland types in sample tiles	297726	6621711	Alberta Geological Survey
0		Mapped wetland types in sample tiles	297558	6622217	Alberta Geological Survey
0		Mapped wetland types in sample tiles	298232	6621633	Alberta Geological Survey
0		Mapped wetland types in sample tiles	331118	6622116	Alberta Geological Survey
0		Mapped wetland types in sample tiles	330506	6621788	Alberta Geological Survey
0		Mapped wetland types in sample tiles	224610	6618959	Alberta Geological Survey
0		Mapped wetland types in sample tiles	225059	6618577	Alberta Geological Survey
0		Mapped wetland types in sample tiles	287707	6618885	Alberta Geological Survey
0		Mapped wetland types in sample tiles	240050	6618158	Alberta Geological Survey
0		Mapped wetland types in sample tiles	240254	6617659	Alberta Geological Survey
0		Mapped wetland types in sample tiles	252161	6617857	Alberta Geological Survey
0		Mapped wetland types in sample tiles	252188	6618135	Alberta Geological Survey
0		Mapped wetland types in sample tiles	330615	6617736	Alberta Geological Survey
0		Mapped wetland types in sample tiles	330501	6618142	Alberta Geological Survey
