Unique Source Values,Year
Mapped wetland types in sample tiles,
Stratified random points in sample tiles,
AGS Field Data,
Preliminary Soil Survey Report 61-1,1961
Geological Survey of Canada Unpublished Field Data,
Allen et al. (2006),2006
Preliminary Soil Survey Report 62-1,1962
Preliminary Soil Survey Report 63-1,1963
Environmental Assessment - MacKay Operating Corp. MacKay River Commercial Project,2011
Environmental Assessment - Imperial Oil Resources Ventures Limited Aspen Project,2013
Environmental Assessment - Dover Operating Corp. Dover Commercial Project,2012
Environmental Assessment - Petro-Canada MacKay River SAGD Expansion Project,2007
Environmental Assessment - Birch Mountain Resources Ltd. Hammerstone Project,2008
Halsey et al. (2003),2003
Environmental Assessment - Southern Pacific Resource Corp. (STP) STP McKay Thermal Project - Phase 2,2011
Environmental Assessment - Cenovus Energy Inc. Pelican Lake Grand Rapids Project,2014
Environmental Assessment - Laricina Energy Ltd. Germain Project Expansion,2014
Environmental Assessment - Athabasca Oil Corporation Hangingstone Expansion Project,2011
Environmental Assessment - Shell Canada Limited Carmon Creek Project,2008
Environmental Assessment - MEG Energy Corp. Surmont Project,2014
Environmental Assessment - Statoil Hydro Canada Ltd. Kai Kos Dehseh Project,2009
Environmental Assessment - Value Creation Inc. Advanced TriStar Project,2014
Offgrid points,
Adams (2017),2017
"Pilon et al. (1989) Geological Survey of Canada, Open File 2044",1989
Environmental Assessment - Cenovus TL ULC Telephone Lake In-Situ Project,2014
