Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
NIRPO,BP-1,20200817,0,0,40,
NIRPO,BP-1,20200817,1,1,42,
NIRPO,BP-1,20200817,2,0,40,
NIRPO,BP-1,20200817,3,0,39,
NIRPO,BP-1,20200817,4,0,40,
NIRPO,BP-1,20200817,5,0,34,rim
NIRPO,BP-1,20200817,6,4,32,trough 5.3-5.7
NIRPO,BP-1,20200817,7,0,44,
NIRPO,BP-1,20200817,8,0,36,
NIRPO,BP-1,20200817,9,0,36,
NIRPO,BP-1,20200817,10,0,38,
NIRPO,BP-1,20200817,11,0,40,
NIRPO,BP-1,20200817,12,0,39,
NIRPO,BP-1,20200817,13,0,40,
NIRPO,BP-1,20200817,14,0,40,
NIRPO,BP-1,20200817,15,0,43,
NIRPO,BP-1,20200817,16,0,39,
NIRPO,BP-1,20200817,17,0,43,
NIRPO,BP-1,20200817,18,1,41,
NIRPO,BP-1,20200817,19,1,39,
NIRPO,BP-1,20200817,20,0,36,
NIRPO,BP-1,20200817,21,0,38,rim
NIRPO,BP-1,20200817,22,7,32,trough
NIRPO,BP-1,20200817,23,1,29,
NIRPO,BP-1,20200817,24,0,36,rim
NIRPO,BP-1,20200817,25,0,39,
NIRPO,BP-1,20200817,26,0,38,
NIRPO,BP-1,20200817,27,0,39,
NIRPO,BP-1,20200817,28,0,38,
NIRPO,BP-1,20200817,29,0,39,
NIRPO,BP-1,20200817,30,0,44,
NIRPO,BP-1,20200817,31,3,37,
NIRPO,BP-1,20200817,32,0,40,
NIRPO,BP-1,20200817,33,0,36,
NIRPO,BP-1,20200817,34,0,36,
NIRPO,BP-1,20200817,35,0,40,rim
NIRPO,BP-1,20200817,36,0,29,trough
NIRPO,BP-1,20200817,37,0,29,rim; lots of moss
NIRPO,BP-1,20200817,38,0,29,lots of moss (TOMNIT)
NIRPO,BP-1,20200817,39,0,35,edge of basin
NIRPO,BP-1,20200817,40,0,40,basin
NIRPO,BP-2,20200817,0,4,36,
NIRPO,BP-2,20200817,1,0,44,
NIRPO,BP-2,20200817,2,0,44,
NIRPO,BP-2,20200817,3,0,43,
NIRPO,BP-2,20200817,4,0,43,
NIRPO,BP-2,20200817,5,0,40,
NIRPO,BP-2,20200817,6,0,39,rim
NIRPO,BP-2,20200817,7,0,35,rim
NIRPO,BP-2,20200817,8,0,36,trough 8.2-8.5
NIRPO,BP-2,20200817,9,0,37,
NIRPO,BP-2,20200817,10,0,40,
NIRPO,BP-2,20200817,11,0,41,
NIRPO,BP-2,20200817,12,0,41,
NIRPO,BP-2,20200817,13,0,45,
NIRPO,BP-2,20200817,14,0,44,
NIRPO,BP-2,20200817,15,0,44,
NIRPO,BP-2,20200817,16,0,44,
NIRPO,BP-2,20200817,17,0,41,
NIRPO,BP-2,20200817,18,0,40,
NIRPO,BP-2,20200817,19,0,41,
