Year,date,site,probe,depth,Hit Type,crew,notes,latitude,longitude
2023,2023-10-04,BCEFM2,1,64,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,2,49,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,3,54,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,4,49,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,5,46,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,6,45,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,7,47,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,8,43,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,9,47,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,10,52,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,11,63,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,12,66,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,13,62,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,14,47,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,15,47,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,16,44,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,17,40,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,18,44,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,19,54,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-10-04,BCEFM2,20,54,Ice,"MAW, KDO",,64.6951599992718,-148.32324
2023,2023-09-26,BDi6,1,95,Ice,MAW,,65.1008404492804,-150.26987625
2023,2023-09-26,BDi6,2,100,Ice,MAW,,65.1008404492804,-150.26987625
2023,2023-09-26,BDi6,3,62,Ice,MAW,,65.1008404492804,-150.26987625
