lon,lat,thaw_depth,pf_observed,obs_limit,site_id,pf_depth,year,month,day,date,source,comment,method
-148.82950236409442,69.7398845354781,53.282,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82863030237797,69.7398845354781,61.297999999999995,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82775824066147,69.7398845354781,66.034,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.826886178945,69.7398845354781,58.082,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.8260141172285,69.7398845354781,58.082,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82514205551203,69.7398845354781,78.167,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82426999379555,69.7398845354781,90.193,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82339793207908,69.7398845354781,60.906000000000006,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.8225258703626,69.7398845354781,67.00500000000001,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82165380864612,69.7398845354781,79.324,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.82078174692964,69.7398845354781,79.324,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81990968521316,69.7398845354781,72.684,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81903762349668,69.7398845354781,62.001,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.8181655617802,69.7398845354781,86.714,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81729350006376,69.7398845354781,85.764,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81642143834728,69.7398845354781,62.519000000000005,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.8155493766308,69.7398845354781,62.498,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81467731491432,69.7398845354781,65.802,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81380525319784,69.7398845354781,65.55,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81293319148136,69.7398845354781,38.518,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81206112976488,69.7398845354781,58.794000000000004,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.8111890680484,69.7398845354781,51.269,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
-148.81031700633193,69.7398845354781,58.469,1,,,,2019,8,13,2019-08-13,Sadeghi_etal_2023,Date shown is the mean. Actual dates of analysis from June to Sept 2017 to 2022,insar
