station,name,lat,long,elevation,DATE,TAVG,TMAX,TMIN,TOBS
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-01,-36.1,-33.9,-38.9,-34.4
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-02,-32.2,-27.8,-35,-27.8
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-03,-28.3,-25,-31.1,-28.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-04,-18.9,-10.6,-28.9,-11.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-05,-11.1,-8.9,-13.3,-13.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-06,-20.6,-13.3,-25.6,-25.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-07,-27.8,-25.6,-31.7,-31.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-08,-31.7,-30,-33.9,-32.8
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-09,-35.6,-32.8,-38.3,-37.8
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-10,-37.8,-35.6,-39.4,-38.9
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-11,-35.6,-30,-39.4,-30
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-12,-28.3,-27.8,-30,-28.9
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-13,-32.2,-27.2,-36.7,-35.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-14,-34.4,-33.3,-36.7,-35.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-15,-37.2,-35,-37.8,-37.2
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-16,-36.7,-31.1,-38.9,-31.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-17,-28.3,-26.7,-31.7,-27.2
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-18,-30,-27.2,-32.8,-31.7
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-19,-32.2,-30,-34.4,-31.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-20,-30.6,-27.8,-33.3,-32.2
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-21,-37.2,-31.1,-40.6,-36.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-22,-23.9,-6.1,-36.7,-9.4
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-23,-7.2,-3.9,-12.2,-7.8
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-24,1.1,3.3,-7.8,-0.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-25,-14.4,1.7,-22.2,-22.2
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-26,-27.2,-22.2,-30,-28.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-27,-29.4,-27.2,-31.7,-30.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-28,-28.3,-25,-31.1,-25
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-29,-23.3,-21.1,-25,-22.2
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-30,-20,-17.8,-23.3,-18.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-01-31,-20,-17.8,-23.9,-21.7
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-01,-24.4,-20.6,-28.9,-28.9
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-02,-30,-28.3,-32.8,-32.8
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-03,-32.2,-29.4,-35.6,-34.4
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-04,-30,-25,-35.6,-28.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-05,-28.3,-25.6,-35,-34.4
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-06,-36.1,-33.3,-38.9,-38.3
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-07,-41.1,-38.3,-43.9,-39.4
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-08,-43.3,-39.4,-46.7,-43.9
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-09,-40.6,-36.1,-43.9,-36.1
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-10,-30,-26.7,-36.1,-30
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-11,-28.9,-26.1,-30.6,-30.6
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-12,-31.7,-28.3,-33.9,-33.9
USS0048U01S,"SAGWON, AK US",69.42,-148.69,304.8,2022-02-13,-33.3,-31.7,-35,-32.8
