Site_ID	Loc_ID	Easting	Northing	Ref_syst	EPSG	Soil_type	ALT_2020 [cm]	ALT_2021 [cm]	Landform	Periglacial_features	Transition	Drainage	FlorSurv_Date	FlorSurv_area [m2]	NV [%]	S [%]	F [%]	G [%]	GG [%]	GS [%]	GTS [%]	GR [%]	L [%]	B [%]	P [%]	Comments	GT_V_name	Fines	LONGITUDE	LATITUDE
G2018-V10	ILU	496944.5462	7678967.123	GR96	3182	SILT																					BLDST	1	-51.07717	69.22064
ILU16001T	ILU	498178	7681781	GR96	3182	CLAY	67		Flat wetland with grassy water channels			Partly inundated	03-09-2020													WTC and ALT_2016 measurements from drilling log  information (08-2016) / Casing surrounded by pond and creek running close by / Between TSGT and BRSGT	BRSGT	1	-51.04607	69.24589
ILU16002T	ILU	498173	7681843	GR96	3182	CLAY	68.6		At the transition between grassy area and shrubby mounds		YES	Moist	03-09-2020		0	25	10	60	15	15	15	15	0	5	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016) / Switch to BRSGT eventually	TSGT_BLDST_BRSGT	1	-51.0462	69.24645
ILU16010T	ILU	498816	7682840	GR96	3182	SAND			Sandy sedimentary area between bedrock outcrops			Dry	03-09-2020		20	20	0	25	7	9	0	9	5	30	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016)	EBDST	0	-51.02995	69.25539
ILU16011T	ILU	498957	7682877	GR96	3182	SAND			Sandy sedimentary plateau, slightly elevated			Very dry to dry	03-09-2020		50	25	0	15	13	1	0	1	5	5	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016)	EBDST	0	-51.02639	69.25572
ILU16013T	ILU	499233	7683526	GR96	3182	CLAY	85.6	107	Sedimentary area surrounded by bedrock outcrops and characterized by hummocks or small frost boils with bare tops	Frost boils		Partly inundated	03-09-2020		10	40	0	25	6.5	6.5	5.5	6.5	10	15	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016) / Ponds around casing at time of observation	BSBFB	1	-51.01941	69.26154
ILU16015T	ILU	499051	7683404	GR96	3182	CLAY	90		Sedimentary area surrounded by bedrock outcrops, caracterized by frost boils with bare tops	Frost boils		Partly inundated	03-09-2020		10	40	0	20	6	6	2	6	10	20	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016) / Ponds around casing at time of observation	BSBFB	1	-51.02401	69.26045
ILU16019T	ILU	499073	7683696	GR96	3182	CLAY	85.8	85	Sedimentary area surrounded by bedrock outcrops, characterized by hummocks or small frost boils with bare tops	Frost boils		Mesic to moist	03-09-2020													WTC and ALT_2016 measurements from drilling log  information (08-2016) / Ponds in the surroundings		1	-51.02346	69.26307
ILU16022T	ILU	498261	7682614	GR96	3182	CLAY	64.6		Sedimentary area very close to shore, characterized by shrubby mounds			Mesic to moist	03-09-2020		10	65	0	15	5	5	0	5	0	10	0	PFT % estimated / WTC and ALT_2016 measurements from drilling log  information (08-2016) / Ponds in the surroundings / Could also be defined as BLDST	BSVFB	1	-51.04399	69.25336
ILU2018-03	ILU	495778	7678265	GR96	3182	CLAY/ICE	47.6	61	Grassy field, in town			Moist	01-09-2020		0	0	10	90	50	15	5	15	0	0	0	PFT % estimated / ALT_2018 from drilling log information (08-2018)	GGT	1	-51.1066	69.21433
ILU2018-04	ILU	497536.271	7681010.326	GR96	3182	CLAY	68.2	82	Frost boils with bare tops	Frost boils		Dry to mesic	03-09-2020		50	40	0	10	5	2.5	0	2.5	0	0	0	PFT % estimated / ALT_2018 from drilling log information (08-2018)	BSBFB	1	-51.06228	69.23897
CALM_station	ILU	497819.81	7678824.14	GR96	3182	CLAY/SILT	44.5		Swampy field/water channel between frost boil areas		YES	Moist to wet	09-09-2020	0.04	0	10	0	60	10	40	0	10	0	30	0		BRSGT	1	-51.05506	69.21937
