site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source
ILU16001T,2020-09-01,69.24589,-51.04607,67.0,1,67.0,,tp,Scheer_etal_2023
ILU16002T,2020-09-01,69.24645,-51.0462,68.6,1,68.6,,tp,Scheer_etal_2023
ILU16013T,2020-09-01,69.26154,-51.01941,85.6,1,85.6,,tp,Scheer_etal_2023
ILU16013T,2021-09-01,69.26154,-51.01941,107.0,1,107.0,,tp,Scheer_etal_2023
ILU16015T,2020-09-01,69.26045,-51.02401,90.0,1,90.0,,tp,Scheer_etal_2023
ILU16019T,2020-09-01,69.26307,-51.02346,85.8,1,85.8,,tp,Scheer_etal_2023
ILU16019T,2021-09-01,69.26307,-51.02346,85.0,1,85.0,,tp,Scheer_etal_2023
ILU16022T,2020-09-01,69.25336,-51.04399,64.6,1,64.6,,tp,Scheer_etal_2023
ILU2018-03,2020-09-01,69.21433,-51.1066,47.6,1,47.6,,tp,Scheer_etal_2023
ILU2018-03,2021-09-01,69.21433,-51.1066,61.0,1,61.0,,tp,Scheer_etal_2023
ILU2018-04,2020-09-01,69.23897,-51.06228,68.2,1,68.2,,tp,Scheer_etal_2023
ILU2018-04,2021-09-01,69.23897,-51.06228,82.0,1,82.0,,tp,Scheer_etal_2023
CALM_station,2020-09-01,69.21937,-51.05506,44.5,1,44.5,,tp,Scheer_etal_2023
ERT_station,2020-09-01,69.23897,-51.06228,90.33,1,90.33,,tp,Scheer_etal_2023
Q50_01,2021-09-01,69.21403,-51.06457,40.67,1,40.67,,tp,Scheer_etal_2023
Q50_02,2021-09-01,69.21484,-51.06334,43.0,1,43.0,,tp,Scheer_etal_2023
Q50_04,2021-09-01,69.2149,-51.06746,85.33,1,85.33,,tp,Scheer_etal_2023
Q50_05,2021-09-01,69.2149,-51.06666,73.33,1,73.33,,tp,Scheer_etal_2023
Q50_06,2021-09-01,69.21495,-51.06573,74.67,1,74.67,,tp,Scheer_etal_2023
Q50_07,2021-09-01,69.21493,-51.06544,36.33,1,36.33,,tp,Scheer_etal_2023
Q50_08,2021-09-01,69.21495,-51.0645,35.0,1,35.0,,tp,Scheer_etal_2023
A,2021-09-01,69.21489,-51.06733,78.0,1,78.0,,tp,Scheer_etal_2023
B,2021-09-01,69.2149,-51.06718,84.0,1,84.0,,tp,Scheer_etal_2023
C,2021-09-01,69.21489,-51.06703,80.0,1,80.0,,tp,Scheer_etal_2023
D,2021-09-01,69.21489,-51.06686,65.0,1,65.0,,tp,Scheer_etal_2023
E,2021-09-01,69.21492,-51.06653,48.0,1,48.0,,tp,Scheer_etal_2023
F,2021-09-01,69.21493,-51.06637,49.0,1,49.0,,tp,Scheer_etal_2023
G,2021-09-01,69.21494,-51.06619,41.0,1,41.0,,tp,Scheer_etal_2023
H,2021-09-01,69.21495,-51.06605,53.0,1,53.0,,tp,Scheer_etal_2023
I,2021-09-01,69.21495,-51.06591,37.0,1,37.0,,tp,Scheer_etal_2023
J,2021-09-01,69.21496,-51.06556,41.0,1,41.0,,tp,Scheer_etal_2023
K,2021-09-01,69.21494,-51.06528,78.0,1,78.0,,tp,Scheer_etal_2023
L,2021-09-01,69.21496,-51.06516,73.0,1,73.0,,tp,Scheer_etal_2023
M,2021-09-01,69.21496,-51.06498,83.0,1,83.0,,tp,Scheer_etal_2023
N,2021-09-01,69.21496,-51.06481,62.0,1,62.0,,tp,Scheer_etal_2023
O,2021-09-01,69.21496,-51.06466,34.0,1,34.0,,tp,Scheer_etal_2023
P,2021-09-01,69.21496,-51.06434,33.0,1,33.0,,tp,Scheer_etal_2023
Q,2021-09-01,69.21496,-51.06418,34.0,1,34.0,,tp,Scheer_etal_2023
R,2021-09-01,69.21497,-51.06401,45.0,1,45.0,,tp,Scheer_etal_2023
S,2021-09-01,69.21497,-51.0639,93.0,1,93.0,,tp,Scheer_etal_2023
T,2021-09-01,69.21496,-51.06374,42.0,1,42.0,,tp,Scheer_etal_2023
U,2021-09-01,69.21497,-51.06363,52.0,1,52.0,,tp,Scheer_etal_2023
V,2021-09-01,69.21498,-51.06341,43.0,1,43.0,,tp,Scheer_etal_2023
W,2021-09-01,69.21497,-51.06327,42.0,1,42.0,,tp,Scheer_etal_2023
X,2021-09-01,69.21498,-51.06308,60.0,1,60.0,,tp,Scheer_etal_2023
Q50_09,2021-09-01,69.21738,-51.03379,43.0,1,43.0,,tp,Scheer_etal_2023
Q50_10,2021-09-01,69.21713,-51.0338,92.0,1,92.0,,tp,Scheer_etal_2023
Q50_11,2021-09-01,69.21671,-51.03466,75.0,1,75.0,,tp,Scheer_etal_2023
Q50_12,2021-09-01,69.2163,-51.03511,46.33,1,46.33,,tp,Scheer_etal_2023
Q50_P1,2021-09-01,69.21552,-51.03628,47.0,1,47.0,,tp,Scheer_etal_2023
Q50_R1,2021-09-01,69.21523,-51.03673,57.0,1,57.0,,tp,Scheer_etal_2023
Q50_S1,2021-09-01,69.21508,-51.03698,46.0,1,46.0,,tp,Scheer_etal_2023
A1,2021-09-01,69.21729,-51.03397,38.0,1,38.0,,tp,Scheer_etal_2023
B1,2021-09-01,69.21718,-51.03406,70.0,1,70.0,,tp,Scheer_etal_2023
C1,2021-09-01,69.21709,-51.03418,70.0,1,70.0,,tp,Scheer_etal_2023
D1,2021-09-01,69.21699,-51.03432,80.0,1,80.0,,tp,Scheer_etal_2023
E1,2021-09-01,69.21689,-51.03446,41.0,1,41.0,,tp,Scheer_etal_2023
F1,2021-09-01,69.2168,-51.03456,49.0,1,49.0,,tp,Scheer_etal_2023
G1,2021-09-01,69.21663,-51.03478,62.0,1,62.0,,tp,Scheer_etal_2023
H1,2021-09-01,69.21655,-51.0349,70.0,1,70.0,,tp,Scheer_etal_2023
I1,2021-09-01,69.21638,-51.03508,51.0,1,51.0,,tp,Scheer_etal_2023
J1,2021-09-01,69.21617,-51.03529,62.0,1,62.0,,tp,Scheer_etal_2023
K1,2021-09-01,69.21601,-51.03553,52.0,1,52.0,,tp,Scheer_etal_2023
L1,2021-09-01,69.21593,-51.03567,62.0,1,62.0,,tp,Scheer_etal_2023
M1,2021-09-01,69.21583,-51.03581,51.0,1,51.0,,tp,Scheer_etal_2023
N1,2021-09-01,69.21572,-51.03598,54.0,1,54.0,,tp,Scheer_etal_2023
O1,2021-09-01,69.21559,-51.03583,54.0,1,54.0,,tp,Scheer_etal_2023
Q1,2021-09-01,69.21537,-51.03651,57.0,1,57.0,,tp,Scheer_etal_2023
Q50_13,2021-09-01,69.23575,-51.05681,36.33,1,36.33,,tp,Scheer_etal_2023
Q50_14,2021-09-01,69.23541,-51.05523,38.0,1,38.0,,tp,Scheer_etal_2023
Q50_15,2021-09-01,69.23479,-51.05237,83.33,1,83.33,,tp,Scheer_etal_2023
A2,2021-09-01,69.23473,-51.05251,79.0,1,79.0,,tp,Scheer_etal_2023
Q50_B2,2021-09-01,69.23468,-51.0526,99.0,1,99.0,,tp,Scheer_etal_2023
