Name,Longitude,Latitude,Description,Permafrost?,Hit bedrock?,Moss thickness (cm),Active layer thickness (cm),Maximum probe depth,Date and time
PF1,-147.4688911,65.12608427,"58 cm

Hummocky
Few trees
8 cm moss layer 
point taken on top of local high point",1,0,8,50,,2024-09-24 10:28:24.4 UTC-07:00
PF2,-147.4690379,65.12610539,"112 cm

Hummocky
Few trees
standing water in trough",1,0,0,112,,2024-09-24 10:32:29.2 UTC-07:00
PF3,-147.4687558,65.12599263,"52 cm

Hummocky
Few trees",1,0,0,52,,2024-09-24 10:35:25.6 UTC-07:00
PF4,-147.4684465,65.12584673,"54 cm

Hummocky
Few trees",1,0,0,54,,2024-09-24 10:37:16.0 UTC-07:00
PF5,-147.4681901,65.1257004,"77 cm

Hummocky
Few trees",1,0,0,77,,2024-09-24 10:39:26.8 UTC-07:00
PF6,-147.4681553,65.12564261,"48 cm

Hummocky
Few trees",1,0,0,48,,2024-09-24 10:40:10.8 UTC-07:00
PF7,-147.467774,65.12554784,"98 cm

Hummocky
some surrounding trees",1,0,0,98,,2024-09-24 10:42:42.8 UTC-07:00
PF8,-147.4675525,65.12548784,"59 cm

Hummocky
trees",1,0,0,59,,2024-09-24 10:44:41.2 UTC-07:00
PF9,-147.4674533,65.12528773,"55 cm

Hummocky
trees",1,0,0,55,,2024-09-24 10:47:16.2 UTC-07:00
PF10,-147.467352,65.1252932,"131 cm

Hummocky
trees
low point of area",1,0,0,131,,2024-09-24 10:49:00.8 UTC-07:00
PF11,-147.4671426,65.12516366,"79 cm

Hummocky
few trees
high point",1,0,0,79,,2024-09-24 10:52:32.8 UTC-07:00
PF12,-147.467305,65.12512057,"164 cm

Hummocky
surrounded by trees
low point in creek",1,0,0,164,,2024-09-24 10:54:06.4 UTC-07:00
PF13,-147.4671074,65.12509268,"99 cm

Hummocky
few trees
mud, pool of water",1,0,0,99,,2024-09-24 10:57:05.0 UTC-07:00
PF14,-147.466845,65.12498516,"144 cm
Hummocky
few trees",1,0,0,144,,2024-09-24 11:00:20.4 UTC-07:00
PF15,-147.4655735,65.12542799,"76 cm
low between tussocks
edge if denser veg",1,0,0,76,,2024-09-24 11:07:23.0 UTC-07:00
PF16,-147.4657898,65.12580787,"161 cm
in ceneter of 10m wide creeky area
standing water depth 10 cm",1,0,0,151,,2024-09-24 11:11:34.2 UTC-07:00
PF17,-147.4659355,65.12609934,"61 cm
on right bank of creeky area
dead spruce around",1,0,0,61,,2024-09-24 11:14:05.4 UTC-07:00
PF18,-147.4660872,65.12634636,"117 cm
red moss patch very squshy
maybe 30 cm moss depth",1,0,30,87,,2024-09-24 11:17:12.2 UTC-07:00
PF19,-147.4666694,65.12676527,"50 cm
in shrub thicket
near creek but not in it
mostly shrubby blueberries",1,0,0,50,,2024-09-24 11:22:00.6 UTC-07:00
