site_id,lon,lat,pf_observed,org_thick,thaw_depth,date,pf_depth,obs_limit,method,source
PF1,-147.4688911,65.12608427,1,8,50.0,2024-09-24,50.0,180,tp,Schwenk_PFRR
PF2,-147.4690379,65.12610539,1,0,112.0,2024-09-24,112.0,180,tp,Schwenk_PFRR
PF3,-147.4687558,65.12599263,1,0,52.0,2024-09-24,52.0,180,tp,Schwenk_PFRR
PF4,-147.4684465,65.12584673,1,0,54.0,2024-09-24,54.0,180,tp,Schwenk_PFRR
PF5,-147.4681901,65.1257004,1,0,77.0,2024-09-24,77.0,180,tp,Schwenk_PFRR
PF6,-147.4681553,65.12564261,1,0,48.0,2024-09-24,48.0,180,tp,Schwenk_PFRR
PF7,-147.467774,65.12554784,1,0,98.0,2024-09-24,98.0,180,tp,Schwenk_PFRR
PF8,-147.4675525,65.12548784,1,0,59.0,2024-09-24,59.0,180,tp,Schwenk_PFRR
PF9,-147.4674533,65.12528773,1,0,55.0,2024-09-24,55.0,180,tp,Schwenk_PFRR
PF10,-147.467352,65.1252932,1,0,131.0,2024-09-24,131.0,180,tp,Schwenk_PFRR
PF11,-147.4671426,65.12516366,1,0,79.0,2024-09-24,79.0,180,tp,Schwenk_PFRR
PF12,-147.467305,65.12512057,1,0,164.0,2024-09-24,164.0,180,tp,Schwenk_PFRR
PF13,-147.4671074,65.12509268,1,0,99.0,2024-09-24,99.0,180,tp,Schwenk_PFRR
PF14,-147.466845,65.12498516,1,0,144.0,2024-09-24,144.0,180,tp,Schwenk_PFRR
PF15,-147.4655735,65.12542799,1,0,76.0,2024-09-24,76.0,180,tp,Schwenk_PFRR
PF16,-147.4657898,65.12580787,1,0,151.0,2024-09-24,151.0,180,tp,Schwenk_PFRR
PF17,-147.4659355,65.12609934,1,0,61.0,2024-09-24,61.0,180,tp,Schwenk_PFRR
PF18,-147.4660872,65.12634636,1,30,87.0,2024-09-24,87.0,180,tp,Schwenk_PFRR
PF19,-147.4666694,65.12676527,1,0,50.0,2024-09-24,50.0,180,tp,Schwenk_PFRR
PF20,-147.4681089,65.12645561,1,0,69.0,2024-09-24,69.0,180,tp,Schwenk_PFRR
PF21,-147.467746,65.12630952,1,1,67.0,2024-09-24,67.0,180,tp,Schwenk_PFRR
PF22,-147.4674267,65.12589715,0,35,,2024-09-24,,180,tp,Schwenk_PFRR
PF23,-147.467138,65.12566466,1,0,55.0,2024-09-24,55.0,180,tp,Schwenk_PFRR
PF24,-147.4666857,65.12539793,1,0,64.0,2024-09-24,64.0,180,tp,Schwenk_PFRR
PF25,-147.4664356,65.12520646,1,0,66.0,2024-09-24,66.0,180,tp,Schwenk_PFRR
PF26,-147.467551,65.12485254,1,11,115.0,2024-09-24,115.0,180,tp,Schwenk_PFRR
PF27,-147.4675422,65.12502043,1,0,129.0,2024-09-24,129.0,180,tp,Schwenk_PFRR
PF28,-147.4680375,65.12520247,1,0,99.0,2024-09-24,99.0,180,tp,Schwenk_PFRR
PF29,-147.4680042,65.12531745,1,0,114.0,2024-09-24,114.0,180,tp,Schwenk_PFRR
PF30,-147.4684649,65.12547455,1,0,67.0,2024-09-24,67.0,180,tp,Schwenk_PFRR
PF31,-147.4688248,65.1255298,1,1,60.0,2024-09-24,60.0,180,tp,Schwenk_PFRR
PF32,-147.4690137,65.12571171,1,0,70.0,2024-09-24,70.0,180,tp,Schwenk_PFRR
PF33,-147.4694273,65.1259695,1,5,63.0,2024-09-24,63.0,180,tp,Schwenk_PFRR
PF34,-147.4693873,65.12581333,1,0,68.0,2024-09-24,68.0,180,tp,Schwenk_PFRR
PF35,-147.4702264,65.12567717,1,0,76.0,2024-09-24,76.0,180,tp,Schwenk_PFRR
PF36,-147.4701522,65.12567616,1,0,85.0,2024-09-24,85.0,180,tp,Schwenk_PFRR
PF37,-147.4712705,65.12486204,1,0,69.0,2024-09-24,69.0,180,tp,Schwenk_PFRR
PF38,-147.4712177,65.12487055,1,0,43.0,2024-09-24,43.0,180,tp,Schwenk_PFRR
PF39,-147.4712622,65.12488103,1,0,85.0,2024-09-24,85.0,180,tp,Schwenk_PFRR
PF40,-147.4712323,65.12484526,1,0,84.0,2024-09-24,84.0,180,tp,Schwenk_PFRR
PF41,-147.4857921,65.12257901,1,7,38.0,2024-09-24,38.0,180,tp,Schwenk_PFRR
PF42,-147.4854512,65.1226899,1,12,55.0,2024-09-24,55.0,180,tp,Schwenk_PFRR
PF43,-147.4859379,65.12294226,1,10,42.0,2024-09-24,42.0,180,tp,Schwenk_PFRR
PF44,-147.4866032,65.12325765,1,16,43.0,2024-09-24,43.0,180,tp,Schwenk_PFRR
PF45,-147.4872888,65.12356412,1,48,27.0,2024-09-24,27.0,180,tp,Schwenk_PFRR
PF46,-147.4878353,65.12386488,1,57,42.0,2024-09-24,42.0,180,tp,Schwenk_PFRR
PF47,-147.4883978,65.12409196,1,50,18.0,2024-09-24,18.0,180,tp,Schwenk_PFRR
PF48,-147.4888796,65.12428772,1,38,19.0,2024-09-24,19.0,180,tp,Schwenk_PFRR
PF49,-147.4883744,65.12471176,1,56,116.0,2024-09-24,116.0,180,tp,Schwenk_PFRR
PF50,-147.4882851,65.12484474,1,0,67.0,2024-09-24,67.0,180,tp,Schwenk_PFRR
PF51,-147.4877828,65.12459008,1,47,13.0,2024-09-24,13.0,180,tp,Schwenk_PFRR
PF52,-147.4872736,65.12432969,1,75,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF53,-147.4864418,65.1239956,1,56,2.0,2024-09-24,2.0,180,tp,Schwenk_PFRR
PF54,-147.4856155,65.12361457,1,51,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF55,-147.4847005,65.1231679,1,56,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF56,-147.4842186,65.1229353,1,53,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF57,-147.4827555,65.12341189,1,49,5.0,2024-09-24,5.0,180,tp,Schwenk_PFRR
PF58,-147.483497,65.12368323,1,58,1.0,2024-09-24,1.0,180,tp,Schwenk_PFRR
PF59,-147.4843159,65.12398126,1,54,2.0,2024-09-24,2.0,180,tp,Schwenk_PFRR
PF60,-147.4847642,65.12410681,1,0,94.0,2024-09-24,94.0,180,tp,Schwenk_PFRR
PF61,-147.4847351,65.12409827,1,0,97.0,2024-09-24,97.0,180,tp,Schwenk_PFRR
PF62,-147.4847089,65.12409342,1,0,81.0,2024-09-24,81.0,180,tp,Schwenk_PFRR
PF63,-147.4847285,65.12408204,1,0,96.0,2024-09-24,96.0,180,tp,Schwenk_PFRR
PF64,-147.4847471,65.12406475,1,0,84.0,2024-09-24,84.0,180,tp,Schwenk_PFRR
PF65,-147.4847612,65.12405515,1,0,114.0,2024-09-24,114.0,180,tp,Schwenk_PFRR
PF66,-147.484782,65.12406168,1,0,73.0,2024-09-24,73.0,180,tp,Schwenk_PFRR
PF67,-147.4848127,65.12407091,1,0,80.0,2024-09-24,80.0,180,tp,Schwenk_PFRR
