lat,lon,X,Y,depth,temp,pf,site
66.562303,-159.004629,499795,7382588,55,NA,1,Cabin1
66.56241699,-159.004858,499784,7382601,,,,Cabin2
66.56300196,-159.007425,499670,7382666,45,NA,1,Cabin3
66.56333397,-159.005475,499757,7382703,40,NA,1,Cabin4
66.56200896,-159.004348,499807,7382555,40,NA,1,Cabin5
66.56160001,-159.003673,499837,7382510,80,NA,1,Cabin6
66.56148098,-159.003592,499841,7382497,>120,NA,0,Cabin7
66.56149196,-159.003676,499837,7382498,>120,NA,0,Cabin9
66.56204802,-159.001464,499935,7382560,50,NA,1,Cabin10
66.61612504,-158.974185,501143,7388588,>120,1.4,0,Kr1
66.61618296,-158.974194,501143,7388595,100,0.5,1,Kr2
66.61625404,-158.974214,501142,7388602,50,NA,1,Kr3
66.61485401,-158.968652,501388,7388447,>120,6,0,Krpb1
66.61496297,-158.968771,501383,7388459,90,0.17,1,Krpb2
66.61510396,-158.968839,501380,7388474,>120,1.7,0,Krpb3
66.61523002,-158.968852,501380,7388488,>120,NA,0,Krpb4
66.61526296,-158.968133,501411,7388492,80,<1,1,Krpb5
66.49031804,-158.082132,540856,7374864,>120,NA,0,Upsel1
66.49050697,-158.082793,540827,7374885,120,3.75,0,Upsel2
66.49054804,-158.083178,540809,7374889,70,<0,1,Upsel3
66.49074401,-158.083202,540808,7374911,100,0,1,Upel4
66.43922204,-159.055463,497526,7368869,100,0,1,Tag1
66.43932899,-159.055058,497544,7368881,70,-0.1,1,Tag2
66.43944802,-159.054696,497560,7368895,60,-0.5,1,Tag3
66.43615896,-159.046509,497925,7368528,40,0,1,Tag4
66.43599803,-159.045569,497967,7368510,80,0,1,Tag5
66.43598797,-159.044509,498014,7368509,>120,4.72,0,Tag6
66.43591697,-159.044192,498029,7368501,>120,2.4,0,Ta g7
66.43582804,-159.042654,498097,7368491,>120,6.58,0,Tag8
66.43543703,-159.043329,498067,7368447,>120,NA,0,Tah9
66.43699698,-159.051896,497685,7368621,100,<0,1,Tan10
66.45071698,-158.890106,504900,7370154,>120,NA,0,Lsel1
