lat,lon,thaw_depth,temperature,pf_observed,site_id,pf_depth,obs_limit,date,source,method
66.562303,-159.004629,55,,1,Cabin1,55,120,2022-09-15,Selawik,tp
66.56300196,-159.007425,45,,1,Cabin3,45,120,2022-09-15,Selawik,tp
66.56333397,-159.005475,40,,1,Cabin4,40,120,2022-09-15,Selawik,tp
66.56200896,-159.004348,40,,1,Cabin5,40,120,2022-09-15,Selawik,tp
66.56160001,-159.003673,80,,1,Cabin6,80,120,2022-09-15,Selawik,tp
66.56148098,-159.003592,>120,,0,Cabin7,,120,2022-09-15,Selawik,tp
66.56149196,-159.003676,>120,,0,Cabin9,,120,2022-09-15,Selawik,tp
66.56204802,-159.001464,50,,1,Cabin10,50,120,2022-09-15,Selawik,tp
66.61612504,-158.974185,>120,1.4,0,Kr1,,120,2022-09-15,Selawik,tp
66.61618296,-158.974194,100,0.5,1,Kr2,100,120,2022-09-15,Selawik,tp
66.61625404,-158.974214,50,,1,Kr3,50,120,2022-09-15,Selawik,tp
66.61485401,-158.968652,>120,6,0,Krpb1,,120,2022-09-15,Selawik,tp
66.61496297,-158.968771,90,0.17,1,Krpb2,90,120,2022-09-15,Selawik,tp
66.61510396,-158.968839,>120,1.7,0,Krpb3,,120,2022-09-15,Selawik,tp
66.61523002,-158.968852,>120,,0,Krpb4,,120,2022-09-15,Selawik,tp
66.61526296,-158.968133,80,<1,1,Krpb5,80,120,2022-09-15,Selawik,tp
66.49031804,-158.082132,>120,,0,Upsel1,,120,2022-09-15,Selawik,tp
66.49050697,-158.082793,120,3.75,0,Upsel2,,120,2022-09-15,Selawik,tp
66.49054804,-158.083178,70,<0,1,Upsel3,70,120,2022-09-15,Selawik,tp
66.49074401,-158.083202,100,0,1,Upel4,100,120,2022-09-15,Selawik,tp
66.43922204,-159.055463,100,0,1,Tag1,100,120,2022-09-15,Selawik,tp
66.43932899,-159.055058,70,-0.1,1,Tag2,70,120,2022-09-15,Selawik,tp
66.43944802,-159.054696,60,-0.5,1,Tag3,60,120,2022-09-15,Selawik,tp
66.43615896,-159.046509,40,0,1,Tag4,40,120,2022-09-15,Selawik,tp
66.43599803,-159.045569,80,0,1,Tag5,80,120,2022-09-15,Selawik,tp
66.43598797,-159.044509,>120,4.72,0,Tag6,,120,2022-09-15,Selawik,tp
66.43591697,-159.044192,>120,2.4,0,Ta g7,,120,2022-09-15,Selawik,tp
66.43582804,-159.042654,>120,6.58,0,Tag8,,120,2022-09-15,Selawik,tp
66.43543703,-159.043329,>120,,0,Tah9,,120,2022-09-15,Selawik,tp
66.43699698,-159.051896,100,<0,1,Tan10,100,120,2022-09-15,Selawik,tp
66.45071698,-158.890106,>120,,0,Lsel1,,120,2022-09-15,Selawik,tp
