X,Y,PF
508541.962,7226982.65,1
508335.268,7226851.725,1
508302.826,7226838.909,0
508260.403,7226445.158,1
507971.389,7226716.341,0
508372.804,7226087.489,1
507972.295,7226420.397,0
507917.928,7226738.752,0
508307.793,7226450.788,1
507931.175,7226754.485,0
508383.853,7226074.39,1
508347.374,7226117.835,1
508971.953,7226494.046,1
508365.027,7226863.879,1
507985.317,7226386.979,0
508257.219,7226435.929,1
508265.012,7226864.075,0
508518.756,7227025.921,1
508987.698,7226495.261,1
508389.974,7226068.098,0
507962.932,7226417.531,0
508323.503,7226845.815,0
508272.636,7226851.177,0
507955.268,7226726.525,0
508343.759,7226855.07,1
508348.575,7226856.708,1
508536.715,7226993.279,1
508293.366,7226449.103,1
508376.692,7226869.099,1
508282.676,7226835.618,0
507916.574,7226730.859,0
508998.169,7226496.098,1
508316.64,7226843.386,0
507906.039,7226712.82,0
508277.475,7226447.334,1
507952.236,7226701.645,1
507925.165,7226708.515,1
508545.066,7226978.001,1
508249.568,7226443.089,1
508327.4,7226143.761,0
509020.93,7226501.081,1
507992.069,7226393.282,0
508365.196,7226097.192,1
507976.947,7226397.887,0
508246.065,7226844.193,0
509011.924,7226498.994,1
509037.33,7226564.169,1
509027.4164,7226562.862,1
509017.5045,7226561.561,1
509007.6056,7226560.145,1
508997.688,7226558.867,1
508987.785,7226557.478,1
508977.882,7226556.103,1
508967.9428,7226555.003,1
508958.0278,7226553.704,1
508948.1157,7226552.381,1
508938.2228,7226550.924,1
508928.2827,7226549.836,1
508918.3707,7226548.514,1
508908.4611,7226547.173,1
508898.5473,7226545.863,1
508888.6299,7226544.597,1
508878.7114,7226543.324,1
508868.802,7226541.987,1
508858.8778,7226540.782,1
508848.9689,7226539.436,1
508839.0795,7226537.959,1
508829.1534,7226536.748,1
508819.244,7226535.413,1
508809.3274,7226534.128,1
508799.4226,7226532.768,1
508789.5116,7226531.437,1
508779.5954,7226530.151,1
508769.668,7226528.959,1
508759.7574,7226527.627,1
508749.8402,7226526.35,1
508739.9567,7226524.828,1
508730.0359,7226523.579,1
508720.1046,7226522.412,1
508710.1926,7226521.088,1
508700.2872,7226519.716,1
508690.3682,7226518.446,1
508680.4487,7226517.181,1
508670.5388,7226515.842,1
