X,Y,PF
443056,7206389,0
442688,7206543,0
442683,7206555,0
442617,7206549,0
442112,7206566,0
443025,7206631,0
442449,7206904,0
442339,7206603,0
442358,7206518,0
442767,7206558,0
442678,7206551,0
442558,7206538,0
442558,7206528,0
442572,7206544,0
442341,7206509,0
442289,7206511,0
442287,7206510,0
442847,7206988,0
442865,7206764,0
442765,7206691,0
442781,7206719,0
442834,7206453,1
442716,7206488,1
442705,7206519,1
442689,7206534,1
442647,7206535,1
442542,7206520,1
442521,7206516,1
442249,7206558,1
442114,7206577,1
443031,7206606,1
442453,7206895,1
442414,7206805,1
442378,7206702,1
442348,7206577,1
442474,7206479,1
442538,7206444,1
442565,7206533,1
442282,7206507,1
442278,7206505,1
442281,7206507,1
442130,7206561,1
442936,7206901,1
442798,7206750,1
442769,7206762,1
442765,7206603,1
442765,7206749,1
442690,7206747,1
442117,7206578,1
442119,7206653,1
443062,7206546,1
442423,7206557,0
442461,7206589,0
442511,7206582,0
442553,7206583,0
442617,7206597,0
442688,7206603,0
442594,7206885,0
442636,7206843,0
442676,7206795,0
442728,7206727,0
442799,7206620,0
442828,7206576,0
442876,7206555,0
442930,7206539,0
442987,7206524,0
443072,7206482,0
443120,7206461,0
443194,7206457,0
443269,7206461,0
443317,7206470,0
443319,7206758,1
443502,7206856,1
443523,7206816,1
443331,7206720,1
443196,7206336,1
443104,7206273,1
442920,7206334,1
443059.543,7206489.643,0
443059.6652,7206494.64,0
443059.3296,7206504.633,1
443058.9711,7206509.615,1
443058.865,7206514.612,1
443058.6149,7206519.606,1
443058.3784,7206524.599,1
443058.1591,7206529.594,0
443058.0727,7206534.593,0
443057.8665,7206539.588,0
443057.6891,7206544.582,0
443057.5716,7206549.581,1
443057.3292,7206554.575,1
443057.2008,7206559.571,1
443056.9892,7206564.567,1
443056.721,7206569.559,1
443056.4154,7206574.546,1
443056.2468,7206579.54,1
443056.0098,7206584.533,1
443055.8577,7206589.527,1
443055.592,7206594.518,1
443055.3862,7206599.512,1
443055.1045,7206604.504,1
443054.9074,7206609.5,1
443054.7533,7206614.496,1
443054.5525,7206619.492,1
443054.4381,7206624.49,1
443054.2361,7206629.486,1
443053.955,7206634.477,1
443053.7407,7206639.473,1
443053.5626,7206644.469,0
443053.3304,7206649.461,0
443053.0491,7206654.451,0
443052.7586,7206659.437,0
443052.5916,7206664.426,0
443052.3791,7206670.417,0
443052.19,7206674.413,0
443052.0577,7206679.41,0
443051.7494,7206684.397,0
443051.6985,7206689.395,0
443051.4531,7206694.387,0
443051.3416,7206699.386,0
443051.0072,7206704.373,1
443050.9153,7206708.371,0
443050.5494,7206714.358,0
443050.3413,7206718.352,0
443049.9847,7206724.34,0
443049.6245,7206730.325,0
443049.483,7206734.322,0
443049.1697,7206739.311,0
443048.6497,7206749.294,0
443048.3391,7206755.285,0
443048.1478,7206759.279,0
443047.9185,7206765.263,0
443047.7445,7206769.259,0
443047.6132,7206774.253,0
443047.3275,7206779.244,0
443047.1401,7206784.237,0
443046.9796,7206789.231,0
443046.7201,7206799.218,0
443045.9617,7206809.183,0
443045.6522,7206819.15,0
443045.1876,7206829.135,0
443044.6574,7206839.117,0
443043.6687,7206859.078,0
443043.4599,7206869.069,0
443042.9025,7206879.048,0
443042.318,7206889.02,0
443041.6467,7206898.996,0
442925.697,7206541.13,0
442925.4193,7206546.121,0
442925.0555,7206556.076,0
442924.5842,7206562.042,0
442924.5429,7206566.018,0
