X,Y,PF
454195.291,7179990.756,1
454169.9721,7180033.828,0
454136.6187,7180090.75,0
454102.5448,7180148.42,1
454099.1259,7180154.527,1
454063.3511,7180216.984,1
453997.4923,7180330.161,1
454193.1208,7179994.86,1
454174.3524,7180026.122,0
454315.66,7179798.29,1
454326.3403,7179781.583,0
454335.8685,7179764.035,0
454410.52,7179636.444,1
454427.0332,7179609.104,0
454519.3466,7179452.691,0
454515.5441,7179460.008,0
454505.9894,7179475.654,0
454499.0428,7179487.322,0
454493.0692,7179497.299,0
454449.0756,7179571.487,0
454439.7392,7179587.005,0
454400.889,7179652.556,1
454372.5433,7179700.774,1
454361.8769,7179719.039,1
454355.3477,7179730.214,1
454349.9589,7179739.817,0
454343.6064,7179750.66,1
454315.7176,7179798.162,0
454952.0785,7178750.613,1
455018.7104,7178641.352,1
455034.1178,7178615.612,0
455039.1749,7178606.985,0
455049.3991,7178589.797,0
455067.6033,7178559.907,0
455090.8368,7178521.37,0
455137.0153,7178444.126,0
455097.8896,7178509.555,1
455057.6151,7178576.159,1
454999.5831,7178672.922,1
454918.7135,7178804.708,0
454915.7459,7178809.54,0
455013.0123,7178650.944,1
455039.3933,7178606.63,1
455075.3877,7178547.042,1
454889.8482,7178852.391,0
454891.4736,7178849.663,0
454923.1163,7178797.85,0
454924.744,7178795.12,1
454935.6664,7178777.18,0
454937.3982,7178774.522,0
454228.6043,7179435.536,0
454207.2575,7179422.537,0
454181.4794,7179407.196,0
454451.4902,7179571.487,0
454679.9484,7179124.173,0
454711.4221,7179139.966,0
454718.7683,7179144.148,0
454403.3935,7178734.565,0
454854.2808,7179021.024,0
454844.0102,7179014.466,0
454834.442,7179008.133,0
454824.7634,7179001.845,0
454815.4482,7178996.118,0
454806.1522,7178990.213,1
454787.4779,7178978.197,1
454769.9676,7178967.274,0
454755.5509,7178958.104,0
454733.4844,7178944.561,0
454716.0933,7178933.919,0
454693.715,7178920.034,0
454679.1477,7178911.069,0
454665.7139,7178902.72,0
454656.7658,7178897.104,0
454648.346,7178891.676,0
454620.5998,7178873.828,0
454614.0455,7178869.638,0
454595.218,7178857.828,0
454579.7697,7178848.012,0
454534.2943,7178819.101,0
454516.4345,7178807.388,0
454500.688,7178797.154,0
454483.6377,7178786.312,0
454465.2153,7178774.265,0
454421.5307,7178746.355,0
454190.945,7179994.687,1
454204.4626,7179972.924,1
454223.7103,7179941.94,1
454240.2249,7179915.219,1
454253.6867,7179893.684,1
454267.94,7179870.983,0
454279.7938,7179851.833,0
454292.3582,7179831.456,0
