PfDepth,PfTemp,Northing,Easting,PF
120,-9999,7206491.341,443233.72,0
61,-9999,7206610.319,443271.836,1
87,-0.5,7206721.355,443282.711,1
83,2.7,7206759.033,443131.258,1
85,0,7206638.57,443157.909,1
120,-9999,7206476.676,443096.851,0
120,2.5,7206546.709,443061.327,0
80,-0.7,7206554.939,443057.512,1
80,-0.6,7206574.698,443057.969,1
80,-0.6,7206594.125,443052.194,1
120,-9999,7206635.571,443032.96,0
120,5.4,7206679.395,443003.973,0
110,0,7206655.225,443004.145,1
110,-0.6,7206602.141,442944.389,1
120,9,7206588.839,442843.788,0
100,0,7206758.19,442797.657,1
120,6.4,7206768.92,442953.997,0
120,5,7206931.547,442960.172,0
120,3.8,7206972.069,442839.194,0
120,2.7,7206979.323,442845.311,0
120,13.4,7206981.877,442855.059,0
120,3.5,7206986.317,442837.278,0
120,4.7,7207013.525,442844.903,0
120,4,7207015.401,442844.602,0
120,4.4,7206923.452,442798.772,0
120,2.8,7206931.549,442639.377,0
120,4.8,7207075.06,442632.703,0
80,-0.5,7207045.543,442510.782,1
100,0.4,7206940.284,442452.704,1
120,1.9,7206522.185,442337.251,0
120,4.4,7206614.732,442461.225,0
120,1.5,7206455.89,442513.363,0
70,-0.5,7206307.712,442489.173,1
80,-0.4,7206443.041,442624.577,1
80,-0.4,7206678.41,442647.162,1
70,-0.4,7206641.72,442681.521,1
75,-0.5,7206644.467,442689.742,1
80,-0.4,7206670.967,442702.894,1
70,-0.3,7206660.872,442711.998,1
70,-0.5,7206654.962,442723.761,1
80,-0.4,7206643.542,442742.036,1
100,-0.1,7206557.215,442741.675,1
90,-0.1,7206440.274,442794.696,1
80,-0.4,7206281.46,442804.081,1
40,-0.5,7206290.256,442949.523,1
30,-0.4,7206128.114,443037.712,1
50,-0.5,7206286.603,443121.312,1
40,-0.4,7206260.498,443204.093,1
30,-0.5,7206140.017,443192.024,1
60,-0.5,7206352.898,443232.91,1
