site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,deepest_temperature_depth_m,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Mont Jacques-Cartier,-,48.931666666666665,-65.92333333333333,600.0,1,0.0,1978-07-01,600,1977-1979,Mont Jacques-Cartier,,unknown,Smith_Burgess_2000,600.0,True,True,True
Mould Bay A,-,76.2,-119.41666666666667,50.0,1,3.0,1965-07-01,50,1951-1980,Mould Bay A,,unknown,Smith_Burgess_2000,50.0,True,True,True
Resolute,-,74.71666666666667,-94.98333333333333,60.0,1,1.5,1965-07-01,60,1951-1980,Resolute,,unknown,Smith_Burgess_2000,60.0,True,True,True
Rea Pt.,,75.37,-105.75,35.0,1,13.0,1986-07-01,35,08/85-05/87,Rea Pt.,,unknown,Smith_Burgess_2000,35.0,True,True,True
Iqaluit Permafrost Site,,63.8,-68.5,150.0,1,5.0,1991-07-01,~150,07/88-07/94,Iqaluit Permafrost Site,,unknown,Smith_Burgess_2000,150.0,True,True,True
Hot Weather Creek,HWC.STN,79.95,-84.44,80.0,1,1.0,1991-07-01,~80,06/88-04/94,Hot Weather Creek | HWC.STN,,unknown,Smith_Burgess_2000,80.0,True,True,True
Inuvik,I1,62.38333333333333,-133.73333333333332,98.0,1,1.0,1979-07-01,98,09/78-03/81,Inuvik | I1,,unknown,Smith_Burgess_2000,98.0,True,True,True
Inuvik,I2,68.31666666666666,-133.41666666666666,39.0,1,1.0,1979-07-01,39,09/78-03/81,Inuvik | I2,,unknown,Smith_Burgess_2000,39.0,True,True,True
Inuvik,I3,68.13333333333334,-133.45,65.0,1,1.0,1979-07-01,65,09/78-03/81,Inuvik | I3,,unknown,Smith_Burgess_2000,65.0,True,True,True
Inuvik,I4,69.11666666666666,-133.43333333333334,100.0,1,1.0,1979-07-01,100,09/78-03/81,Inuvik | I4,,unknown,Smith_Burgess_2000,100.0,True,True,True
Inuvik,I5,67.95,-133.46666666666667,45.0,1,1.0,1979-07-01,45,09/78-03/81,Inuvik | I5,,unknown,Smith_Burgess_2000,45.0,True,True,True
Inuvik,I6,67.5,-133.76666666666668,68.0,1,1.0,1979-07-01,68,09/78-03/81,Inuvik | I6,,unknown,Smith_Burgess_2000,68.0,True,True,True
Inuvik,I7,68.41666666666667,-133.86666666666667,71.0,1,1.0,1979-07-01,71,09/78-03/81,Inuvik | I7,,unknown,Smith_Burgess_2000,71.0,True,True,True
Inuvik,I8,68.41666666666667,-133.86666666666667,35.0,1,1.0,1979-07-01,35,09/78-03/81,Inuvik | I8,,unknown,Smith_Burgess_2000,35.0,True,True,True
"Williams Island,50km NW of Inuvik",#1,68.73333333333333,-134.28333333333333,110.0,1,12.0,1969-07-01,110.6,09/1969-09/1970,"Williams Island,50km NW of Inuvik | #1",,unknown,Smith_Burgess_2000,110.0,True,True,True
"Williams Island,50km NW of Inuvik",#2,68.73333333333333,-134.28333333333333,103.0,1,12.0,1969-07-01,103.3,09/1969-09/1970,"Williams Island,50km NW of Inuvik | #2",,unknown,Smith_Burgess_2000,103.0,True,True,True
"Williams Island,50km NW of Inuvik",#3,68.73333333333333,-134.28333333333333,99.0,1,12.0,1969-07-01,99.2,09/1969-09/1970,"Williams Island,50km NW of Inuvik | #3",,unknown,Smith_Burgess_2000,99.0,True,True,True
"Williams Island,50km NW of Inuvik",#4,68.73333333333333,-134.28333333333333,62.0,1,15.0,1969-07-01,62.6,09/1969-09/1970,"Williams Island,50km NW of Inuvik | #4",,unknown,Smith_Burgess_2000,62.0,True,True,True
"Williams Island,50km NW of Inuvik",#5,68.73333333333333,-134.28333333333333,30.0,1,15.0,1969-07-01,30.8,09/1969-09/1970,"Williams Island,50km NW of Inuvik | #5",,unknown,Smith_Burgess_2000,30.0,True,True,True
Lousy Point,BH91-6,69.24,-134.44,125.0,1,30.0,1991-07-01,125,04/1991-09/1991,Lousy Point | BH91-6,,unknown,Smith_Burgess_2000,125.0,True,True,True
Lousy Point,BH91-8,69.24,-134.42,25.0,1,30.0,1991-07-01,25,04/1991-09/1991,Lousy Point | BH91-8,,unknown,Smith_Burgess_2000,25.0,True,True,True
Lousy Point,BH91-10,69.23,-134.35,140.0,1,30.0,1991-07-01,140,04/1991-09/1991,Lousy Point | BH91-10,,unknown,Smith_Burgess_2000,140.0,True,True,True
Lousy Point,BH91-12,69.22,-134.3,130.0,1,30.0,1991-07-01,130,04/1991-09/1991,Lousy Point | BH91-12,,unknown,Smith_Burgess_2000,130.0,True,True,True
Lousy Point,BH91-13,69.22,-135.29,150.0,1,30.0,1991-07-01,150,04/1991-09/1991,Lousy Point | BH91-13,,unknown,Smith_Burgess_2000,150.0,True,True,True
Lousy Point,BH91-15,69.21,-134.27,120.0,1,30.0,1991-07-01,120,04/1991-09/1991,Lousy Point | BH91-15,,unknown,Smith_Burgess_2000,120.0,True,True,True
Parsons Lake,C6,68.58,-133.55,86.0,1,1.5,1993-07-01,86,1990-1996,Parsons Lake | C6,,unknown,Smith_Burgess_2000,86.0,True,True,True
Fort Simpson,FS #1,61.79333333333334,-121.30333333333333,,0,30.5,1972-07-01,no pf,03/72-08/72,Fort Simpson | FS #1,3050.0,temp,Smith_Burgess_2000,,True,True,True
Fort Simpson,FS #2,61.69833333333333,-121.24,,0,25.9,1972-07-01,no pf,03/72-08/72,Fort Simpson | FS #2,2590.0,temp,Smith_Burgess_2000,,True,True,True
Fort Simpson,FS #3,61.63666666666667,-121.405,180.0,1,25.1,1972-07-01,180,03/72-08/72,Fort Simpson | FS #3,,unknown,Smith_Burgess_2000,180.0,True,True,True
Yellowknife ,1) black rock,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 1) black rock,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,2) white rock,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 2) white rock,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,3) red rock,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 3) red rock,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,4) till,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 4) till,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,5) beach ridge,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 5) beach ridge,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,6) burned peatland,62.46666666666667,-114.45,,0,15.0,1970-07-01,no permafrost,01/1970 - 12/1970,Yellowknife | 6) burned peatland,1500.0,temp,Smith_Burgess_2000,,True,True,True
Yellowknife ,7) sedge peatland,62.46666666666667,-114.45,68.0,1,15.0,1970-07-01,68,01/1970 - 12/1970,Yellowknife | 7) sedge peatland,,unknown,Smith_Burgess_2000,68.0,True,True,True
Yellowknife ,8) spruce peatland,62.46666666666667,-114.45,30.0,1,15.0,1970-07-01,30,01/1970 - 12/1970,Yellowknife | 8) spruce peatland,,unknown,Smith_Burgess_2000,30.0,True,True,True
Baker Lake,Hole 1,64.167,-95.5,140.0,1,3.0,1998-07-01,140,1997-1999,Baker Lake | Hole 1,,unknown,Smith_Burgess_2000,140.0,True,True,True
Baker Lake,Hole 3,64.167,-95.5,140.0,1,3.0,1998-07-01,140,1997-1999,Baker Lake | Hole 3,,unknown,Smith_Burgess_2000,140.0,True,True,True
Baker Lake,Hole 4,64.167,-95.5,170.0,1,3.0,1998-07-01,~170,1997-1999,Baker Lake | Hole 4,,unknown,Smith_Burgess_2000,170.0,True,True,True
Great Bear R. ,84-3A,64.91,-125.58,50.0,1,8.0,1984-07-01,<50,06/84-06/85,Great Bear R. | 84-3A,,unknown,Smith_Burgess_2000,50.0,True,True,True
Great Bear R.,84-3B,64.91,-125.57,100.0,1,20.9,1984-07-01,<100,09/84-09/85,Great Bear R. | 84-3B,,unknown,Smith_Burgess_2000,100.0,True,True,True
Table Mountain,85-7A,63.61,-123.64,100.0,1,20.0,1985-07-01,<100,03/85-03/86,Table Mountain | 85-7A,,unknown,Smith_Burgess_2000,100.0,True,True,True
Table Mountain,85-7B,63.6,-123.62,100.0,1,20.0,1985-07-01,~100,03/85-03/86,Table Mountain | 85-7B,,unknown,Smith_Burgess_2000,100.0,True,True,True
Table Mountain,85-7C,63.6,-123.62,100.0,1,20.0,1985-07-01,<100,03/85-03/86,Table Mountain | 85-7C,,unknown,Smith_Burgess_2000,100.0,True,True,True
Manners Ck.,85-8A,61.6,-121.09,100.0,1,20.0,1985-07-01,<100,05/85-05/86,Manners Ck. | 85-8A,,unknown,Smith_Burgess_2000,100.0,True,True,True
Manners Ck.,85-8B,61.6,-121.09,100.0,1,20.0,1985-07-01,~100,03/85-03/86,Manners Ck. | 85-8B,,unknown,Smith_Burgess_2000,100.0,True,True,True
Manners Ck.,85-8C,61.6,-121.09,100.0,1,20.0,1985-07-01,<100,03/85-03/86,Manners Ck. | 85-8C,,unknown,Smith_Burgess_2000,100.0,True,True,True
N Wells PumpStn3,85-9,61.39,-120.9,100.0,1,20.0,1985-07-01,100,03/85-03/86,N Wells PumpStn3 | 85-9,,unknown,Smith_Burgess_2000,100.0,True,True,True
Mackenzie Hwy S,85-10A,61.35,-120.86,100.0,1,20.0,1985-07-01,~100,03/85-03/86,Mackenzie Hwy S | 85-10A,,unknown,Smith_Burgess_2000,100.0,True,True,True
Mackenzie Hwy S,85-10B,61.35,-120.87,50.0,1,10.5,1985-07-01,~50,03/85-03/86,Mackenzie Hwy S | 85-10B,,unknown,Smith_Burgess_2000,50.0,True,True,True
Gibson Gap,,65.77,-127.92,100.0,1,45.0,1991-07-01,<100,09/90-08/92,Gibson Gap,,unknown,Smith_Burgess_2000,100.0,True,True,True
