site_location,source_site_identifier,lat,lon,thaw_depth,pf_observed,date,source_active_layer_text,source_period,site_id,obs_limit,method,source,pf_depth,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_source_unit_or_code_recoded
Northwest Territories,3,60.766666666666666,-115.88333333333334,91.0,1,1962-07-01,76 to 91,09/1962,Northwest Territories | 3,,unknown,Smith_Burgess_2002,91.0,True,True,True
Northwest Territories,5,60.71666666666667,-115.9,91.0,1,1962-07-01,76 to 91,09/1962,Northwest Territories | 5,,unknown,Smith_Burgess_2002,91.0,True,True,True
Northwest Territories,9,60.65,-116.01666666666667,51.0,1,1962-07-01,51,09/1962,Northwest Territories | 9,,unknown,Smith_Burgess_2002,51.0,True,True,True
Northwest Territories,18,60.56666666666667,-116.1,168.0,1,1962-07-01,53 to 168,09/1962,Northwest Territories | 18,,unknown,Smith_Burgess_2002,168.0,True,True,True
Northwest Territories,23,60.5,-116.28333333333333,61.0,1,1962-07-01,61,09/1962,Northwest Territories | 23,,unknown,Smith_Burgess_2002,61.0,True,True,True
Northwest Territories,26,60.46666666666667,-116.3,76.0,1,1962-07-01,61 to 76,09/1962,Northwest Territories | 26,,unknown,Smith_Burgess_2002,76.0,True,True,True
Northwest Territories,31,60.4,-116.36666666666666,91.0,1,1962-07-01,91,09/1962,Northwest Territories | 31,,unknown,Smith_Burgess_2002,91.0,True,True,True
Northwest Territories,32,60.35,-116.4,69.0,1,1962-07-01,69,09/1962,Northwest Territories | 32,,unknown,Smith_Burgess_2002,69.0,True,True,True
Northwest Territories,34,60.28333333333333,-116.55,145.0,1,1962-07-01,145,09/1962,Northwest Territories | 34,,unknown,Smith_Burgess_2002,145.0,True,True,True
Northwest Territories,33,60.28333333333333,-116.55,61.0,1,1962-07-01,61,09/1962,Northwest Territories | 33,,unknown,Smith_Burgess_2002,61.0,True,True,True
Northwest Territories,35,60.266666666666666,-116.56666666666666,76.0,1,1962-07-01,46 to 76,09/1962,Northwest Territories | 35,,unknown,Smith_Burgess_2002,76.0,True,True,True
Northwest Territories,39,60.06666666666667,-116.81666666666666,61.0,1,1962-07-01,61,09/1962,Northwest Territories | 39,,unknown,Smith_Burgess_2002,61.0,True,True,True
Redknife Hills A,85-13 A,60.57,-120.29,100.0,1,1985-07-01,>100,08/85-08/86,Redknife Hills A | 85-13 A,,unknown,Smith_Burgess_2002,100.0,True,True,True
Redknife Hills B,85-13 B,60.57,-120.29,100.0,1,1985-07-01,<100,08/85-08/86,Redknife Hills B | 85-13 B,,unknown,Smith_Burgess_2002,100.0,True,True,True
Mackenzie Hwy S,85-10B,61.35,-120.87,97.0,1,1985-07-01,97,03/85-03/86,Mackenzie Hwy S | 85-10B,,unknown,Smith_Burgess_2002,97.0,True,True,True
Moraine South,85-11,61.28,-120.8,100.0,1,1985-07-01,100,03/85-03/86,Moraine South | 85-11,,unknown,Smith_Burgess_2002,100.0,True,True,True
Jean Marie Ck.,85-12B,61.19,-120.7,75.0,1,1984-07-01,75,09/84-09/85,Jean Marie Ck. | 85-12B,,unknown,Smith_Burgess_2002,75.0,True,True,True
Manners Ck.,85-8B,61.6,-121.09,50.0,1,1985-07-01,<50,03/85-03/86,Manners Ck. | 85-8B,,unknown,Smith_Burgess_2002,50.0,True,True,True
Great Bear R. ,84-3A,64.91,-125.58,25.0,1,1984-07-01,25,06/84-06/85,Great Bear R. | 84-3A,,unknown,Smith_Burgess_2002,25.0,True,True,True
Great Bear R.,84-3B,64.91,-125.57,60.0,1,1984-07-01,60,09/84-09/85,Great Bear R. | 84-3B,,unknown,Smith_Burgess_2002,60.0,True,True,True
Norman Wells Pump Stn,84-1,65.29,-126.88,100.0,1,1984-07-01,<100,06/84-06/85,Norman Wells Pump Stn | 84-1,,unknown,Smith_Burgess_2002,100.0,True,True,True
Canyon Ck North,84-2A,65.29,-126.88,190.0,1,1984-07-01,190,06/84-06/85,Canyon Ck North | 84-2A,,unknown,Smith_Burgess_2002,190.0,True,True,True
Canyon Ck North,84-2B,65.27,-126.52,140.0,1,1984-07-01,140,09/84-09/85,Canyon Ck North | 84-2B,,unknown,Smith_Burgess_2002,140.0,True,True,True
Canyon Ck South,84-2C,65.22,-126.51,135.0,1,1984-07-01,135,09/84-09/85,Canyon Ck South | 84-2C,,unknown,Smith_Burgess_2002,135.0,True,True,True
Fort Good Hope,FGH #1,65.73666666666666,-128.69,150.0,1,1972-07-01,150,12/71-06/74,Fort Good Hope | FGH #1,,unknown,Smith_Burgess_2002,150.0,True,True,True
Fort Good Hope,FGH #3,65.78166666666667,-128.865,140.0,1,1972-07-01,140,12/71-06/74,Fort Good Hope | FGH #3,,unknown,Smith_Burgess_2002,140.0,True,True,True
Fort Good Hope,FGH #2,65.795,-129.42333333333335,90.0,1,1972-07-01,90,12/71-01/73,Fort Good Hope | FGH #2,,unknown,Smith_Burgess_2002,90.0,True,True,True
Fort Good Hope,FGH #4,66.12166666666667,-129.605,140.0,1,1972-07-01,140,12/71-06/74,Fort Good Hope | FGH #4,,unknown,Smith_Burgess_2002,140.0,True,True,True
Fort McPherson (NWT),MP #1,67.43333333333334,-135.41666666666666,150.0,1,1965-07-01,150,08/1965 & 06/1966,Fort McPherson (NWT) | MP #1,,unknown,Smith_Burgess_2002,150.0,True,True,True
