site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
zama_1984,Talucci_2024,2015-10-12,59.34583,-119.34,1,67.0,25.94,135,67.0,,unknown,31,260.0,burned,,
zama_1984,Talucci_2024,2016-09-20,59.34583,-119.34,1,84.12,30.24,135,84.12,,unknown,32,260.0,burned,,
zama_1984,Talucci_2024,2015-10-12,59.34583,-119.34,1,45.58,6.99,135,45.58,,unknown,33,260.0,burned,,
scotty_2014,Talucci_2024,2015-10-13,59.34583283,-121.3,1,53.0,,1,53.0,,unknown,1,200.0,burned,31.5,2015-06-22
zama_1984,Talucci_2024,2015-10-12,59.34583283,-119.34,1,66.71,23.2,109,66.71,,unknown,31,260.0,burned,,
zama_1984,Talucci_2024,2015-10-12,59.34583283,-119.34,1,47.48,10.78,109,47.48,,unknown,33,260.0,burned,,
zama_unburn,Talucci_2024,2015-10-12,59.36916667,-119.3211111,1,51.06,7.1,68,51.06,,unknown,,260.0,unburned,,
zama_unburn,Talucci_2024,2015-09-26,59.36917,-119.3211,1,55.7,8.96,129,55.7,,unknown,,260.0,unburned,,
Lutose 2007,Talucci_2024,2019-10-09,59.41722,-117.2844,1,119.5,18.32,47,119.5,,unknown,12,200.0,burned,,
Lutose 2007,Talucci_2024,2020-09-30,59.41722,-117.2844,1,112.89,30.37,47,112.89,,unknown,13,200.0,burned,,
lutose_2007,Talucci_2024,2016-09-22,59.41722,-117.2844,1,119.88,14.24,47,119.88,,unknown,8,300.0,burned,,
lutose_unburn,Talucci_2024,2015-10-01,59.48444,-117.1781,1,81.7,38.04,231,81.7,,unknown,,246.32034632034632,unburned,,
lutose_unburn,Talucci_2024,2015-10-12,59.48444444,-117.1780556,1,74.3,29.06,56,74.3,,unknown,,300.0,unburned,,
lutose_2000,Talucci_2024,2015-10-12,59.5,-117.2047222,1,130.23,20.41,56,130.23,,unknown,15,280.0,burned,,
lutose_2000,Talucci_2024,2015-10-12,59.5,-117.2047,1,128.81,20.61,1689,128.81,,unknown,15,280.0,burned,,
lutose_2000,Talucci_2024,2016-09-21,59.5,-117.2047,1,126.5,21.01,1689,126.5,,unknown,16,280.0,burned,,
lutose_2000,Talucci_2024,2016-09-21,59.5,-117.2047,1,75.4,27.19,1689,75.4,,unknown,4,280.0,burned,,
lutose_2000,Talucci_2024,2016-09-21,59.5,-117.2047,1,86.58,48.62,1689,86.58,,unknown,8,280.0,burned,,
lutose_2000,Talucci_2024,2016-09-21,59.5,-117.2047,1,76.31,47.85,1689,76.31,,unknown,,280.0,unburned,,
Lutose 2019,Talucci_2024,2019-10-07,59.59508,-117.2862,1,57.62,14.78,130,57.62,,unknown,0,150.0,burned,,
Lutose 2019,Talucci_2024,2020-09-30,59.59508,-117.2862,1,71.94,20.1,130,71.94,,unknown,1,150.0,burned,,
lutose_2012,Talucci_2024,2015-10-11,59.77833,-117.0611,1,92.52,20.3,121,92.52,,unknown,3,300.0,burned,,
lutose_2012,Talucci_2024,2016-09-21,59.77833,-117.0611,1,90.95,16.33,121,90.95,,unknown,4,300.0,burned,,
lutose_2012,Talucci_2024,2015-10-11,59.77833333,-117.0611111,1,81.34,15.65,62,81.34,,unknown,3,300.0,burned,,
CG3-30,Talucci_2024,2019-10-07,60.58076,-116.017,1,101.8,7.12,5,101.8,,unknown,,45.55,unburned,,
CG3-40,Talucci_2024,2019-10-07,60.60659,-116.242,1,72.6,23.24,5,72.6,,unknown,,77.8,unburned,,
F1-31,Talucci_2024,2017-09-30,60.64151,-116.091,1,123.0,,1,123.0,,unknown,46,34.85,burned,100.0,2017-08-08
F1-25,Talucci_2024,2017-09-30,60.64175,-116.099,1,184.5,19.09,7,184.5,,unknown,46,26.05,burned,,
F1-25,Talucci_2024,2019-10-07,60.64175,-116.099,1,118.4,3.91,7,118.4,,unknown,48,26.05,burned,,
F1-12,Talucci_2024,2019-10-11,60.69384,-115.929,1,107.6,40.75,5,107.6,,unknown,48,26.2,burned,,
CG3-12,Talucci_2024,2019-10-06,60.70012,-116.464,1,110.67,8.33,3,110.67,,unknown,,83.1,unburned,,
F1-22,Talucci_2024,2017-10-02,60.70167,-115.905,1,90.0,,1,90.0,,unknown,46,47.25,burned,75.0,2017-08-13
F1-22,Talucci_2024,2019-10-11,60.70185,-115.904,1,152.75,22.47,4,152.75,,unknown,48,47.25,burned,,
F6-1,Talucci_2024,2019-10-11,60.70244,-115.003,1,147.4,23.39,5,147.4,,unknown,,59.5,burned,,
CG3-4,Talucci_2024,2019-10-11,60.73417,-115.209,1,149.0,41.28,5,149.0,,unknown,,31.1,unburned,,
F1-47,Talucci_2024,2017-10-02,60.73611,-115.901,1,232.0,0.0,2,232.0,,unknown,46,39.8,burned,,
F3-8,Talucci_2024,2019-10-06,60.79222,-116.583,1,202.0,0.0,4,202.0,,unknown,50,48.3,burned,,
SS33-27,Talucci_2024,2015-10-12,60.84466,-117.464,1,96.7,26.53,10,96.7,,unknown,1,34.35,burned,,
SS33-27,Talucci_2024,2015-10-12,60.84491,-117.462,1,101.5,32.95,10,101.5,,unknown,1,17.8,burned,,
SS33-27,Talucci_2024,2015-10-12,60.84574,-117.46,1,132.0,18.81,9,132.0,,unknown,1,49.0,burned,,
SS33-26,Talucci_2024,2015-10-12,60.84812,-117.447,1,129.4,9.67,10,129.4,,unknown,1,58.4,burned,,
SS33-25,Talucci_2024,2015-10-12,60.8622,-117.422,1,111.0,0.0,10,111.0,,unknown,1,36.0,burned,,
F3-3,Talucci_2024,2019-10-11,60.86399,-116.637,1,103.75,38.17,4,103.75,,unknown,50,34.3,burned,,
SS33-21,Talucci_2024,2015-10-12,60.87413,-117.41,1,98.9,17.01,10,98.9,,unknown,1,39.3,burned,,
SS33-21,Talucci_2024,2015-10-12,60.87551,-117.414,1,86.6,16.9,10,86.6,,unknown,1,35.2,burned,,
SS33-877,Talucci_2024,2019-10-07,60.91125,-117.009,1,153.2,15.74,5,153.2,,unknown,5,,burned,,
SS33-582,Talucci_2024,2019-10-06,60.9319,-117.079,1,134.8,40.2,5,134.8,,unknown,5,10.07,burned,,
SS33-1,Talucci_2024,2015-10-12,60.93517,-117.125,1,83.8,16.38,10,83.8,,unknown,1,42.5,burned,,
SS33-1,Talucci_2024,2019-10-06,60.93538,-117.124,1,175.0,34.32,5,175.0,,unknown,5,42.5,burned,,
SS33-3,Talucci_2024,2015-10-12,60.93987,-117.378,1,114.1,33.34,10,114.1,,unknown,1,33.25,burned,,
SS33-3,Talucci_2024,2019-10-11,60.94009,-117.378,1,189.4,17.56,5,189.4,,unknown,5,33.25,burned,,
kakisa_2014,Talucci_2024,2015-10-12,60.94055556,-117.3616667,1,74.87,10.8,68,74.87,,unknown,1,255.0,burned,,
kakisa_2014,Talucci_2024,2015-10-12,60.94056,-117.3617,1,71.23,15.69,130,71.23,,unknown,1,255.0,burned,,
kakiska_2014,Talucci_2024,2016-09-28,60.94056,-117.3617,1,93.11,12.65,130,93.11,,unknown,2,255.0,burned,,
SS33-9,Talucci_2024,2015-10-12,60.94142,-117.365,1,65.0,22.07,26,65.0,,unknown,1,31.2,burned,,
SS33-9,Talucci_2024,2016-09-28,60.94142,-117.365,1,84.6,16.87,26,84.6,,unknown,2,31.2,burned,,
SS33-9,Talucci_2024,2017-10-02,60.94142,-117.365,1,83.17,8.95,26,83.17,,unknown,3,31.2,burned,,
SS33-9,Talucci_2024,2018-09-19,60.94146,-117.365,1,93.0,,1,93.0,,unknown,4,31.2,burned,95.0,2018-10-26
b1,Talucci_2024,2015-10-12,60.94149,-117.36552,1,70.44,9.35,55,70.44,,unknown,1,297.0,burned,,
b1,Talucci_2024,2016-09-28,60.94149,-117.3655,1,87.87,25.32,189,87.87,,unknown,2,297.0,burned,,
b1,Talucci_2024,2017-10-02,60.94149,-117.3655,1,87.84,11.78,189,87.84,,unknown,3,297.0,burned,,
b1,Talucci_2024,2018-09-19,60.94149,-117.3655,1,94.1,11.26,189,94.1,,unknown,4,297.0,burned,,
b1,Talucci_2024,2019-10-11,60.94149,-117.3655,1,105.62,11.14,189,105.62,,unknown,5,297.0,burned,,
SS33-9,Talucci_2024,2018-09-19,60.94149,-117.365,1,98.0,,1,98.0,,unknown,4,31.2,burned,100.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94155,-117.365,1,93.0,,1,93.0,,unknown,4,31.2,burned,95.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94162,-117.365,1,103.0,,1,103.0,,unknown,4,31.2,burned,105.0,2018-10-26
SS33-9,Talucci_2024,2018-09-19,60.94166,-117.365,1,108.0,,6,108.0,,unknown,4,31.2,burned,,
SS33-9,Talucci_2024,2019-10-11,60.94166,-117.365,1,100.6,8.96,6,100.6,,unknown,5,31.2,burned,,
SS33-11,Talucci_2024,2015-10-12,60.94818,-117.356,1,128.75,14.29,9,128.75,,unknown,1,68.0,burned,,
SS33-11,Talucci_2024,2019-10-11,60.94818,-117.356,1,203.0,,9,203.0,,unknown,5,68.0,burned,,
SS33-11,Talucci_2024,2019-10-11,60.94823,-117.355,1,163.25,27.21,4,163.25,,unknown,5,68.0,burned,,
