name,thaw_depth,comment,Easting,Northing,year,Elevation (m),Detected_CRS
TNHA-2021-1-0,0.44,,579880.0881192663,7911233.444259706,2021,10,EPSG:32604
TNHA-2021-1-1,,Frost probe bottomed out,579879.7883942554,7911234.404959315,2021,10,EPSG:32604
TNHA-2021-1-2,0.82,,579879.4886692445,7911235.365658925,2021,10,EPSG:32604
TNHA-2021-1-3,0.63,,579879.1889442336,7911236.326358534,2021,10,EPSG:32604
TNHA-2021-1-4,0.37,,579878.8892192227,7911237.287058144,2021,10,EPSG:32604
TNHA-2021-1-5,0.36,,579878.5894942117,7911238.247757753,2021,10,EPSG:32604
TNHA-2021-1-6,0.35,,579878.2897692008,7911239.208457363,2021,10,EPSG:32604
TNHA-2021-1-7,0.35,,579877.99,7911240.169156972,2021,10,EPSG:32604
TNHA-2021-1-8,0.32,,579877.6903,7911241.129856583,2021,10,EPSG:32604
TNHA-2021-1-9,0.33,,579877.3905941681,7911242.090556192,2021,10,EPSG:32604
TNHA-2021-1-10,0.33,,579877.0908691572,7911243.051255802,2021,10,EPSG:32604
TNHA-2021-1-11,,Building is too low to use frost probe,579876.7911441462,7911244.011955411,2021,10,EPSG:32604
TNHA-2021-1-12,,"""",579876.4914191354,7911244.972655021,2021,10,EPSG:32604
TNHA-2021-1-13,0.31,,579876.1916941245,7911245.933,2021,10,EPSG:32604
TNHA-2021-1-14,0.39,,579875.8919691135,7911246.894,2021,10,EPSG:32604
TNHA-2021-1-15,0.34,,579875.5922441026,7911247.854753849,2021,10,EPSG:32604
TNHA-2021-1-16,0.36,,579875.2925190917,7911248.815453459,2021,10,EPSG:32604
TNHA-2021-1-17,0.38,,579874.9927940808,7911249.776153068,2021,10,EPSG:32604
TNHA-2021-1-18,0.4,,579874.6930690699,7911250.736852678,2021,10,EPSG:32604
TNHA-2021-1-19,0.38,,579874.3933,7911251.697552287,2021,10,EPSG:32604
TNHA-2021-1-20,0.69,,579874.0936,7911252.658251896,2021,10,EPSG:32604
TNHA-2021-1-21,0.86,Could be gravel/refusal,579873.7938940371,7911253.618951507,2021,10,EPSG:32604
TNHA-2021-1-22,0.36,To refusal,579873.4941690263,7911254.579651116,2021,10,EPSG:32604
TNHA-2021-1-23,,Did not record as this was part of the open gravel area (23 m - 44 m),579873.1944440153,7911255.540350726,2021,10,EPSG:32604
TNHA-2021-1-24,,"""",579872.8947190044,7911256.501050335,2021,10,EPSG:32604
TNHA-2021-1-25,,"""",579872.5949939935,7911257.461749945,2021,10,EPSG:32604
TNHA-2021-1-26,,"""",579872.2952689825,7911258.422449554,2021,10,EPSG:32604
TNHA-2021-1-27,,"""",579871.9955439717,7911259.383149164,2021,10,EPSG:32604
TNHA-2021-1-28,,"""",579871.6958189608,7911260.343848773,2021,10,EPSG:32604
TNHA-2021-1-29,,"""",579871.3960939498,7911261.304548383,2021,10,EPSG:32604
TNHA-2021-1-30,,"""",579871.0963689389,7911262.265247992,2021,10,EPSG:32604
TNHA-2021-1-31,,"""",579870.7966,7911263.225947602,2021,10,EPSG:32604
TNHA-2021-1-32,,"""",579870.4969,7911264.186647211,2021,10,EPSG:32604
TNHA-2021-1-33,,"""",579870.1971939062,7911265.147346821,2021,10,EPSG:32604
TNHA-2021-1-34,,"""",579869.8974688953,7911266.108,2021,10,EPSG:32604
TNHA-2021-1-35,,"""",579869.5977438843,7911267.069,2021,10,EPSG:32604
TNHA-2021-1-36,,"""",579869.2980188734,7911268.029,2021,10,EPSG:32604
TNHA-2021-1-37,,"""",579868.9982938626,7911268.99,2021,10,EPSG:32604
TNHA-2021-1-38,,"""",579868.6985688516,7911269.950844869,2021,10,EPSG:32604
TNHA-2021-1-39,,"""",579868.3988438407,7911270.9115444785,2021,10,EPSG:32604
TNHA-2021-1-40,,"""",579868.0991188298,7911271.872244088,2021,10,EPSG:32604
TNHA-2021-1-41,,"""",579867.7993938188,7911272.832943697,2021,10,EPSG:32604
TNHA-2021-1-42,,"""",579867.4997,7911273.793643307,2021,10,EPSG:32604
TNHA-2021-1-43,,"""",579867.1999437971,7911274.754342916,2021,10,EPSG:32604
TNHA-2021-1-44,,"""",579866.9002187861,7911275.715042526,2021,10,EPSG:32604
TNHA-2021-1-45,0.64,,579866.6004937752,7911276.675742135,2021,10,EPSG:32604
TNHA-2021-1-46,0.64,,579866.3007687643,7911277.636441745,2021,10,EPSG:32604
TNHA-2021-1-47,0.65,,579866.0010437533,7911278.597141354,2021,10,EPSG:32604
TNHA-2021-1-48,,Frost probe bottomed out,579865.7013187425,7911279.557840964,2021,10,EPSG:32604
TNHA-2021-1-49,0.86,To refusal,579865.4015937316,7911280.518540574,2021,10,EPSG:32604
TNHA-2021-1-50,0.74,"""",579865.1018687206,7911281.479240184,2021,10,EPSG:32604
TNHA-2021-1-51,0.72,"""",579864.8021437097,7911282.439939793,2021,10,EPSG:32604
TNHA-2021-1-52,0.46,"""",579864.5024186989,7911283.400639403,2021,10,EPSG:32604
TNHA-2021-1-53,0.89,"""",579864.2026936879,7911284.361339012,2021,10,EPSG:32604
TNHA-2021-1-54,,,579863.903,7911285.322038622,2021,10,EPSG:32604
TNHA-2021-1-55,,,579863.6032436661,7911286.282738231,2021,10,EPSG:32604
TNHA-2021-1-56,,,579863.3035186551,7911287.243437841,2021,10,EPSG:32604
TNHA-2021-1-57,,,579863.0037936443,7911288.204,2021,10,EPSG:32604
TNHA-2021-1-58,,,579862.7040686334,7911289.165,2021,10,EPSG:32604
TNHA-2021-1-59,,,579862.4043436224,7911290.125536669,2021,10,EPSG:32604
