lon,lat,date,source,site_id,pf_observed,pf_depth,thaw_depth,obs_limit,method,source_point_id,source_thaw_depth_m,source_comment,source_easting,source_northing,source_elevation_m,source_detected_crs
-156.76838600756687,71.29016939326958,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,44.0,44.0,,tp,TNHA-2021-1-0,0.44,,579880.0881192663,7911233.444259706,10.0,EPSG:32604
-156.7683933833053,71.29017809941864,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,0,,,100.0,tp,TNHA-2021-1-1,,Frost probe bottomed out,579879.7883942554,7911234.404959315,10.0,EPSG:32604
-156.76840075905028,71.29018680556739,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,82.0,82.0,,tp,TNHA-2021-1-2,0.82,Frost probe bottomed out,579879.4886692445,7911235.365658925,10.0,EPSG:32604
-156.7684081348018,71.29019551171588,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,63.0,63.0,,tp,TNHA-2021-1-3,0.63,Frost probe bottomed out,579879.1889442336,7911236.326358534,10.0,EPSG:32604
-156.76841551055992,71.2902042178641,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,37.0,37.0,,tp,TNHA-2021-1-4,0.37,Frost probe bottomed out,579878.8892192227,7911237.287058144,10.0,EPSG:32604
-156.7684228863246,71.290212924012,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,36.0,36.0,,tp,TNHA-2021-1-5,0.36,Frost probe bottomed out,579878.5894942117,7911238.247757753,10.0,EPSG:32604
-156.76843026209585,71.2902216301596,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,35.0,35.0,,tp,TNHA-2021-1-6,0.35,Frost probe bottomed out,579878.2897692008,7911239.208457363,10.0,EPSG:32604
-156.76843763910702,71.29023033632156,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,35.0,35.0,,tp,TNHA-2021-1-7,0.35,Frost probe bottomed out,579877.99,7911240.169156972,10.0,EPSG:32604
-156.7684450141933,71.29023904246036,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,32.0,32.0,,tp,TNHA-2021-1-8,0.32,Frost probe bottomed out,579877.6903,7911241.129856583,10.0,EPSG:32604
-156.76845238944898,71.29024774860076,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,33.0,33.0,,tp,TNHA-2021-1-9,0.33,Frost probe bottomed out,579877.3905941681,7911242.090556192,10.0,EPSG:32604
-156.7684597652465,71.29025645474724,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,33.0,33.0,,tp,TNHA-2021-1-10,0.33,Frost probe bottomed out,579877.0908691572,7911243.051255802,10.0,EPSG:32604
-156.76848189304377,71.29028257000776,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,31.0,31.0,,tp,TNHA-2021-1-13,0.31,Building is too low to use frost probe,579876.1916941245,7911245.933,10.0,EPSG:32604
-156.7684892685581,71.29029127884434,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,39.0,39.0,,tp,TNHA-2021-1-14,0.39,Building is too low to use frost probe,579875.8919691135,7911246.894,10.0,EPSG:32604
-156.7684966443326,71.29029998547529,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,34.0,34.0,,tp,TNHA-2021-1-15,0.34,Building is too low to use frost probe,579875.5922441026,7911247.854753849,10.0,EPSG:32604
-156.7685040201695,71.29030869162006,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,36.0,36.0,,tp,TNHA-2021-1-16,0.36,Building is too low to use frost probe,579875.2925190917,7911248.815453459,10.0,EPSG:32604
-156.768511396013,71.29031739776451,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,38.0,38.0,,tp,TNHA-2021-1-17,0.38,Building is too low to use frost probe,579874.9927940808,7911249.776153068,10.0,EPSG:32604
-156.76851877186306,71.29032610390867,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,40.0,40.0,,tp,TNHA-2021-1-18,0.4,Building is too low to use frost probe,579874.6930690699,7911250.736852678,10.0,EPSG:32604
-156.76852614894938,71.29033481006714,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,38.0,38.0,,tp,TNHA-2021-1-19,0.38,Building is too low to use frost probe,579874.3933,7911251.697552287,10.0,EPSG:32604
-156.76853352411453,71.29034351620246,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,69.0,69.0,,tp,TNHA-2021-1-20,0.69,Building is too low to use frost probe,579874.0936,7911252.658251896,10.0,EPSG:32604
