Site ,Transect,Location,OLD
1,1,0,15.6
1,1,5,13
1,1,10,24
1,1,15,25
1,1,20,31
1,2,0,16
1,2,5,16
1,2,10,21
1,2,15,17
1,2,20,26
1,3,0,24.4
1,3,5,26
1,3,10,26
1,3,15,15
1,3,20,20
2,1,0,NA
2,1,5,NA
2,1,10,NA
2,1,15,NA
2,1,20,NA
2,2,0,NA
2,2,5,NA
2,2,10,NA
2,2,15,NA
2,2,20,NA
2,3,0,NA
2,3,5,NA
2,3,10,NA
2,3,15,NA
2,3,20,NA
3,1,0,35
3,1,5,25
3,1,10,25
3,1,15,22
3,1,20,20
3,2,0,32
3,2,5,21
3,2,10,20
3,2,15,15
3,2,20,28
3,3,0,NA
3,3,5,30
3,3,10,32
3,3,15,30
3,3,20,NA
4,1,0,NA
4,1,5,NA
4,1,10,NA
4,1,15,NA
4,1,20,NA
4,2,0,NA
4,2,5,NA
4,2,10,NA
4,2,15,NA
4,2,20,NA
4,3,0,NA
4,3,5,NA
4,3,10,NA
4,3,15,NA
4,3,20,NA
5,1,0,NA
5,1,5,NA
5,1,10,NA
5,1,15,NA
5,1,20,NA
5,2,0,NA
5,2,5,NA
5,2,10,NA
5,2,15,NA
5,2,20,NA
5,3,0,NA
5,3,5,NA
5,3,10,NA
5,3,15,NA
5,3,20,NA
6,1,0,NA
6,1,5,NA
6,1,10,NA
6,1,15,NA
6,1,20,NA
6,2,0,NA
6,2,5,NA
6,2,10,NA
6,2,15,NA
6,2,20,NA
6,3,0,NA
6,3,5,NA
6,3,10,NA
6,3,15,NA
6,3,20,NA
7,1,0,NA
7,1,5,NA
7,1,10,NA
7,1,15,NA
7,1,20,NA
7,2,0,NA
7,2,5,NA
7,2,10,NA
7,2,15,NA
7,2,20,NA
7,3,0,NA
7,3,5,NA
7,3,10,NA
7,3,15,NA
7,3,20,NA
8,1,0,16
8,1,5,25
8,1,10,4
8,1,15,NA
8,1,20,12
8,2,0,17
8,2,5,15
8,2,10,16
8,2,15,8
8,2,20,17
8,3,0,15
8,3,5,16
8,3,10,8
8,3,15,NA
8,3,20,16
9,1,0,26
9,1,5,28
9,1,10,28
9,1,15,19
9,1,20,30
9,2,0,34
9,2,5,24
9,2,10,26
9,2,15,29
9,2,20,42
9,3,0,28
9,3,5,30
9,3,10,24
9,3,15,22
9,3,20,36
10,1,0,19
10,1,5,16
10,1,10,17
10,1,15,16
10,1,20,5
10,2,0,20
10,2,5,18
10,2,10,18
10,2,15,2
10,2,20,15
10,3,0,17
10,3,5,8
10,3,10,13
10,3,15,16
10,3,20,3
11,1,0,12
11,1,5,4
11,1,10,7
11,1,15,3
11,1,20,16
11,2,0,14
11,2,5,8
11,2,10,8
11,2,15,4
11,2,20,5
11,3,0,16
11,3,5,10
11,3,10,5
11,3,15,11
11,3,20,9
12,1,0,15
12,1,5,18
12,1,10,19
12,1,15,17
12,1,20,6
12,2,0,7
12,2,5,18
12,2,10,13
12,2,15,3
12,2,20,17
12,3,0,19
12,3,5,8
12,3,10,11
12,3,15,9
12,3,20,1
13,1,0,28
13,1,5,13
13,1,10,14
13,1,15,28
13,1,20,16
13,2,0,16
13,2,5,18
13,2,10,17
13,2,15,15
13,2,20,23
13,3,0,7
13,3,5,13
13,3,10,8
13,3,15,9
13,3,20,16
14,1,0,6
14,1,5,21
14,1,10,17
14,1,15,21
14,1,20,8
14,2,0,5
14,2,5,22
14,2,10,2
14,2,15,13
14,2,20,5
14,3,0,4
14,3,5,13
14,3,10,11
14,3,15,14
14,3,20,2
15,1,0,18
15,1,5,21
15,1,10,27
15,1,15,23
15,2,20,12
15,2,0,19
15,2,5,18
15,2,10,22
15,2,15,14
15,3,20,12
15,3,0,22
15,3,5,20
15,3,10,22
15,3,15,19
15,3,20,9
16,1,0,22
16,1,5,13
16,1,10,0
16,1,15,0
16,1,20,26
16,2,0,8
16,2,5,4
16,2,10,0
16,2,15,0
16,2,20,0
16,3,0,7
16,3,5,9
16,3,10,0
16,3,15,24
16,3,20,0
17,1,0,22
17,1,5,15
17,1,10,13
17,1,15,15
17,1,20,41
17,2,0,13
17,2,5,12
17,2,10,10
17,2,15,14
17,2,20,25
17,3,0,16
17,3,5,12
17,3,10,11
17,3,15,17
17,3,20,24
18,1,0,NA
18,1,5,NA
18,1,10,NA
18,1,15,NA
18,1,20,NA
18,2,0,NA
18,2,5,NA
18,2,10,NA
18,2,15,NA
18,2,20,NA
18,3,0,NA
18,3,5,NA
18,3,10,NA
18,3,15,NA
18,3,20,NA
19,1,0,14
19,1,5,13
19,1,10,12
19,1,15,14
19,1,20,9
19,2,0,21
19,2,5,11
19,2,10,14
19,2,15,18
19,2,20,10
19,3,0,10.5
19,3,5,16
19,3,10,16
19,3,15,11
19,3,20,30
20,1,0,NA
20,1,5,NA
20,1,10,NA
20,1,15,NA
20,1,20,NA
20,2,0,NA
20,2,5,NA
20,2,10,NA
20,2,15,NA
20,2,20,NA
20,3,0,NA
20,3,5,NA
20,3,10,NA
20,3,15,NA
20,3,20,NA
21,1,0,NA
21,1,5,NA
21,1,10,NA
21,1,15,NA
21,1,20,NA
21,2,0,NA
21,2,5,NA
21,2,10,NA
21,2,15,NA
21,2,20,NA
21,3,0,NA
21,3,5,NA
21,3,10,NA
21,3,15,NA
21,3,20,NA
22,1,0,28
22,1,5,26
22,1,10,22
22,1,15,18
22,1,20,29
22,2,0,30
22,2,5,32
22,2,10,25
22,2,15,30
22,2,20,26
22,3,0,31
22,3,5,38
22,3,10,21
22,3,15,30
22,3,20,34
23,1,0,24
23,1,5,29
23,1,10,10
23,1,15,26
23,1,20,36.5
23,2,0,37
23,2,5,35
23,2,10,44
23,2,15,46
23,2,20,37
23,3,0,25
23,3,5,40
23,3,10,45
23,3,15,36
23,3,20,32
24,1,0,NA
24,1,5,NA
24,1,10,NA
24,1,15,NA
24,1,20,NA
24,2,0,NA
24,2,5,NA
24,2,10,NA
24,2,15,NA
24,2,20,NA
24,3,0,NA
24,3,5,NA
24,3,10,NA
24,3,15,NA
24,3,20,NA
