Site ,Transect,Location,OLD,Notes
2,1,5,35,
2,1,10,40,
2,1,15,44,
2,2,5,30,
2,2,10,38,
2,2,15,38,
2,3,5,36,
2,3,10,NA,to frozen soil (53 cm)
2,3,15,42,
4,1,5,26,
4,1,10,25,
4,1,15,23,
4,2,5,31,
4,2,10,34,
4,2,15,43,
4,3,5,41,
4,3,10,34,
4,3,15,NA,to frozen soil (55 cm)
21,1,5,75,
21,1,10,50,
21,1,15,57,
21,1,30,59,
21,1,35,56,
21,1,40,54,
21,1,50,47,
21,1,55,45,
21,1,60,52,
5,1,all,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,0,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,5,34,
6,1,10,48,
6,1,15,36,
6,1,20,26,
6,1,25,35,
6,1,30,32,
6,1,35,30,
6,1,40,28,
6,1,45,34,
6,1,50,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,55,34,
6,1,60,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,65,40,
6,1,70,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,75,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,80,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
6,1,85,37,
6,1,90,35,
6,1,95,35,
6,1,100,42,
7,1,0,49,
7,1,5,35,
7,1,10,38,
7,1,15,30,
7,1,20,30,
7,1,25,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
7,1,30,41,
7,1,35,30,
7,1,40,28,
7,1,45,19,
7,1,50,26,
7,1,55,40,
7,1,60,18,
7,1,65,27,
7,1,70,30,
7,1,75,28,
7,1,80,24,
7,1,85,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
7,1,90,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
7,1,95,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
7,1,100,NA,OLD was deeper than 2018 thaw depth; see 2018 thaw depth file for minimum organic layer depth
8,1,0,0.5,
8,1,5,29,
8,1,10,5,
8,1,15,32,
8,1,20,5,
8,1,25,6,
8,1,30,10,
8,1,35,19,
8,1,40,21,
8,1,45,22,
8,1,50,13,
8,1,55,27,
8,1,60,28,
8,1,65,26,
8,1,70,30,
8,1,75,20,
8,1,80,5,
8,1,85,5,
8,1,90,0,frost boil
8,1,95,25,
8,1,100,20,
20,1,0,16,
20,1,5,15,
20,1,10,9,
20,1,15,10,
20,1,20,8,
20,1,25,11,
20,1,30,9,
20,1,35,12,
20,1,40,14,
20,1,45,18,
20,1,50,12,
24,1,0,44,
24,1,5,44,
24,1,10,42,
24,1,15,40,
24,1,20,44,
24,1,25,41,
24,1,30,44,
24,1,35,46,
24,1,40,43,
24,1,45,39,
24,1,50,35,
