Site ,Transect,Location,TD,Notes,
1,1,0,23,,
1,1,1,46,,
1,1,2,35,,
1,1,3,29,,
1,1,4,29,,
1,1,5,20,,
1,1,6,22,,
1,1,7,31,,
1,1,8,24,,
1,1,9,27,,
1,1,10,25,,
1,1,11,21,,
1,1,12,26,,
1,1,13,30,,
1,1,14,31,,
1,1,15,31,,
1,1,16,28,,
1,1,17,25,,
1,1,18,23,,
1,1,19,35,,
1,1,20,33,,
1,2,0,30,,
1,2,1,37,,
1,2,2,32,,
1,2,3,31,,
1,2,4,32,,
1,2,5,30,,
1,2,6,30,,
1,2,7,25,,
1,2,8,35,,
1,2,9,33,,
1,2,10,30,,
1,2,11,31,,
1,2,12,33,,
1,2,13,36,,
1,2,14,29,,
1,2,15,26,,
1,2,16,27,,
1,2,17,28,,
1,2,18,28,,
1,2,19,33,,
1,2,20,20,,
1,3,0,26,,
1,3,1,35,,
1,3,2,30,,
1,3,3,28,,
1,3,4,32,,
1,3,5,31,,
1,3,6,31,,
1,3,7,30,,
1,3,8,29,,
1,3,9,31,,
1,3,10,25,,
1,3,11,30,,
1,3,12,27,,
1,3,13,30,,
1,3,14,25,,
1,3,15,31,,
1,3,16,34,,
1,3,17,27,,
1,3,18,25,,
1,3,19,29,,
1,3,20,24,,
2,1,0,22,,
2,1,1,24,,
2,1,2,30,,
2,1,3,42,,
2,1,4,20,,
2,1,5,21,,
2,1,6,20,,
2,1,7,24,,
2,1,8,40,,
2,1,9,28,,
2,1,10,28,,
2,1,11,25,,
2,1,12,17,,
2,1,13,27,,
2,1,14,13,,
2,1,15,24,,
2,1,16,32,,
2,1,17,30,,
2,1,18,27,,
2,1,19,30,,
2,1,20,45,,
2,2,0,13,,
2,2,1,14,,
2,2,2,8,,
2,2,3,14,,
2,2,4,18,,
2,2,5,20,,
2,2,6,16,,
2,2,7,22,,
2,2,8,17,,
2,2,9,27,,
2,2,10,20,,
2,2,11,21,,
2,2,12,26,,
2,2,13,31,,
2,2,14,21,,
2,2,15,21,,
2,2,16,15,,
2,2,17,22,,
2,2,18,22,,
2,2,19,19,,
2,2,20,14,,
2,3,0,13,,
2,3,1,11,,
2,3,2,16,,
2,3,3,18,,
2,3,4,16,,
2,3,5,12,,
2,3,6,20,,
2,3,7,14,,
2,3,8,11,,
2,3,9,16,,
2,3,10,14,,
2,3,11,15,,
2,3,12,14,,
2,3,13,13,,
2,3,14,28,,
2,3,15,23,,
2,3,16,20,,
2,3,17,20,,
2,3,18,21,,
2,3,19,20,,
2,3,20,21,,
3,1,0,44,,
3,1,1,46,,
3,1,2,26,,
3,1,3,28,,
3,1,4,24,,
3,1,5,22,,
3,1,6,32,,
3,1,7,27,,
3,1,8,24,,
3,1,9,35,,
3,1,10,24,,
3,1,11,21,,
3,1,12,18,,
3,1,13,22,,
3,1,14,22,,
3,1,15,25,,
3,1,16,25,,
3,1,17,23,,
3,1,18,26,,
3,1,19,25,,
3,1,20,25,,
3,2,0,23,,
3,2,1,22,,
3,2,2,24,,
3,2,3,27,,
3,2,4,30,,
3,2,5,37,,
3,2,6,27,,
3,2,7,22,,
3,2,8,33,,
3,2,9,40,,
3,2,10,59,,
3,2,11,25,,
3,2,12,44,,
3,2,13,81,,
3,2,14,35,,
3,2,15,28,,
3,2,16,30,,
3,2,17,23,,
3,2,18,28,,
3,2,19,23,,
3,2,20,29,,
3,3,0,27,,
3,3,1,34,,
3,3,2,37,,
3,3,3,23,,
3,3,4,27,,
3,3,5,25,,
3,3,6,31,,
3,3,7,30,,
3,3,8,27,,
3,3,9,25,,
3,3,10,29,,
3,3,11,49,,
3,3,12,43,,
3,3,13,30,,
3,3,14,44,,
3,3,15,34,,
3,3,16,30,,
3,3,17,25,,
3,3,18,26,,
3,3,19,32,,
3,3,20,34,,
4,1,0,23,,
4,1,1,22,,
4,1,2,11,,
4,1,3,18,,
4,1,4,23,,
4,1,5,23,,
4,1,6,20,,
4,1,7,14,,
4,1,8,27,,
4,1,9,23,,
4,1,10,18,,
4,1,11,20,,
4,1,12,19,,
4,1,13,27,,
4,1,14,26,,
4,1,15,23,,
4,1,16,25,,
4,1,17,28,,
4,1,18,22,,
4,1,19,18,,
4,1,20,24,,
4,2,0,12,,
4,2,1,26,,
4,2,2,18,,
4,2,3,25,,
4,2,4,22,,
4,2,5,22,,
4,2,6,20,,
4,2,7,24,,
4,2,8,19,,
4,2,9,26,,
4,2,10,22,,
4,2,11,23,,
4,2,12,22,,
4,2,13,16,,
4,2,14,20,,
4,2,15,13,,
4,2,16,25,,
4,2,17,25,,
4,2,18,28,,
4,2,19,17,,
4,2,20,18,,
4,3,0,12,,
4,3,1,14,,
4,3,2,16,,
4,3,3,16,,
4,3,4,13,,
4,3,5,15,,
4,3,6,22,,
4,3,7,22,,
4,3,8,25,,
4,3,9,19,,
4,3,10,20,,
4,3,11,18,,
4,3,12,12,,
4,3,13,17,,
4,3,14,15,,
4,3,15,33,,
4,3,16,20,,
4,3,17,25,,
4,3,18,27,,
4,3,19,20,,
4,3,20,20,,
5,1,0,24,,
5,1,1,26,,
5,1,2,25,,
5,1,3,26,,
5,1,4,24,,
5,1,5,28,,
5,1,6,20,,
5,1,7,24,,
5,1,8,25,,
5,1,9,26,,
5,1,10,20,,
5,1,11,19,,
5,1,12,21,,
5,1,13,27,,
5,1,14,20,,
5,1,15,25,,
5,1,16,20,,
5,1,17,24,,
5,1,18,28,,
5,1,19,18,,
5,1,20,18,,
5,2,0,17,,
5,2,1,25,,
5,2,2,18,,
5,2,3,29,,
5,2,4,20,,
5,2,5,29,,
5,2,6,29,,
5,2,7,19,,
5,2,8,7,,
5,2,9,20,,
5,2,10,21,,
5,2,11,17,,
5,2,12,23,,
5,2,13,12,,
5,2,14,24,,
5,2,15,32,,
5,2,16,30,,
5,2,17,30,,
5,2,18,15,,
5,2,19,22,,
5,2,20,18,,
5,3,0,13,,
5,3,1,18,,
5,3,2,18,,
5,3,3,22,,
5,3,4,23,,
5,3,5,23,,
5,3,6,17,,
