Site ,Transect,Location,TD,Notes
1,1,1,59,
1,1,2,55,
1,1,3,56,
1,1,4,52,
1,1,5,58,
1,1,6,56,
1,1,7,67,
1,1,8,65,
1,1,9,65,
1,1,10,66,
1,1,11,79,
1,1,12,61,
1,1,13,61,
1,1,14,66,
1,1,15,68,
1,1,16,68,
1,1,17,64,
1,1,18,62,
1,1,19,66,
1,1,20,69,
1,1,21,64,
1,1,22,68,
1,1,23,68,
1,1,24,64,
1,1,25,58,
1,1,26,67,
1,1,27,62,
1,1,28,60,
1,1,29,57,
1,1,30,61,
1,1,31,58,
1,1,32,64,
1,1,33,58,
1,1,34,57,
1,1,35,65,
1,1,36,61,
1,1,37,66,
1,1,38,63,
1,1,39,63,
1,1,40,55,
1,1,41,67,
1,1,42,63,
1,1,43,66,
1,1,44,70,
1,1,45,77,
1,1,46,76,
1,1,47,74,
1,1,48,57,
1,1,49,53,
1,1,50,54,
2,1,0,56,
2,1,1,48,
2,1,2,51,
2,1,3,48,
2,1,4,56,
2,1,5,39,
2,1,6,62,
2,1,7,62,
2,1,8,73,
2,1,9,75,
2,1,10,73,
2,1,11,75,
2,1,12,91,
2,1,13,62,
2,1,14,70,
2,1,15,80,
2,1,16,72,
2,1,17,80,
2,1,18,62,
2,1,19,67,
2,1,20,86,
2,1,21,64,
2,1,22,72,
2,1,23,80,
2,1,24,87,
2,1,25,77,
2,1,26,81,
2,1,27,74,
2,1,28,93,
2,1,29,66,
2,1,30,92,
2,1,31,91,
2,1,32,97,
2,1,33,92,
2,1,34,83,
2,1,35,82,
2,1,36,66,
2,1,37,88,
2,1,38,71,
2,1,39,72,
2,1,40,63,
2,1,41,71,
2,1,42,67,
2,1,43,63,
2,1,44,54,
2,1,45,53,
2,1,46,53,
2,1,47,48,
2,1,48,48,
2,1,49,81,
2,1,50,58,
3,1,0,56,
3,1,1,53,
3,1,2,48,
3,1,3,49,
3,1,4,63,
3,1,5,64,
3,1,6,66,
3,1,7,77,
3,1,8,75,
3,1,9,76,
3,1,10,63,
3,1,11,87,
3,1,12,78,
3,1,13,97,
3,1,14,99,
3,1,15,NA,
3,1,16,108,
3,1,17,108,
3,1,18,109,
3,1,19,82,
3,1,20,78,
3,1,21,63,
3,1,22,71,
3,1,23,76,
3,1,24,87,
3,1,25,73,
3,1,26,72,
3,1,27,81,
3,1,28,103,
3,1,29,87,
3,1,30,116,depth was greater than probe length of 115 cm
3,1,31,116,depth was greater than probe length of 115 cm
3,1,32,116,depth was greater than probe length of 115 cm
3,1,33,116,depth was greater than probe length of 115 cm
3,1,34,116,depth was greater than probe length of 115 cm
3,1,35,116,depth was greater than probe length of 115 cm
3,1,36,116,depth was greater than probe length of 115 cm
3,1,37,116,depth was greater than probe length of 115 cm
3,1,38,109,
3,1,39,87,
3,1,40,88,
3,1,41,83,
3,1,42,75,
3,1,43,78,
3,1,44,74,
3,1,45,77,
3,1,46,66,
3,1,47,64,
3,1,48,72,
3,1,49,74,
3,1,50,75,
4,1,0,37,
4,1,1,35,
4,1,2,29,
4,1,3,42,
4,1,4,42,
4,1,5,50,
4,1,6,50,
4,1,7,65,
4,1,8,50,
4,1,9,53,
4,1,10,49,
4,1,11,57,
4,1,12,45,
4,1,13,42,
4,1,14,49,
4,1,15,40,
4,1,16,43,
4,1,17,40,
4,1,18,51,
4,1,19,50,
4,1,20,45,
4,1,21,48,
4,1,22,45,
4,1,23,44,
4,1,24,46,
4,1,25,45,
4,1,26,40,
4,1,27,44,
4,1,28,50,
4,1,29,49,
4,1,30,61,
4,1,31,35,
4,1,32,42,
4,1,33,57,
4,1,34,54,
4,1,35,51,
4,1,36,57,
4,1,37,58,
4,1,38,59,
4,1,39,53,
4,1,40,58,
4,1,41,55,
4,1,42,47,
4,1,43,42,
4,1,44,45,
4,1,45,56,
4,1,46,57,
4,1,47,52,
4,1,48,34,
4,1,49,50,
4,1,50,53,
5,1,0,34,
5,1,1,43,
5,1,2,42,
5,1,3,40,
5,1,4,59,
5,1,5,54,
5,1,6,62,
5,1,7,42,
5,1,8,35,
5,1,9,33,
5,1,10,42,
5,1,11,34,
5,1,12,38,
5,1,13,42,
5,1,14,53,
5,1,15,43,
5,1,16,38,
5,1,17,38,
5,1,18,39,
5,1,19,40,
5,1,20,35,
5,1,21,37,
5,1,22,36,
5,1,23,36,
5,1,24,34,
5,1,25,34,
5,1,26,57,
5,1,27,39,
5,1,28,51,
5,1,29,61,
5,1,30,63,
5,1,31,46,
5,1,32,39,
5,1,33,41,
5,1,34,40,
5,1,35,36,
5,1,36,38,
5,1,37,32,
5,1,38,33,
5,1,39,45,
5,1,40,49,
5,1,41,46,
5,1,42,45,
5,1,43,55,
5,1,44,56,
5,1,45,45,
5,1,46,60,
5,1,47,37,
5,1,48,34,
5,1,49,51,
5,1,50,43,
5,1,51,54,
5,1,52,45,
5,1,53,46,
5,1,54,45,
5,1,55,39,
5,1,56,38,
5,1,57,39,
5,1,58,34,
5,1,59,37,
5,1,60,30,
5,1,61,40,
5,1,62,38,
5,1,63,42,
5,1,64,46,
5,1,65,50,
5,1,66,62,
5,1,67,57,
5,1,68,37,
5,1,69,52,
5,1,70,39,
5,1,71,42,
5,1,72,40,
5,1,73,40,
5,1,74,51,
5,1,75,56,
5,1,76,57,
5,1,77,65,
5,1,78,66,
5,1,79,55,
5,1,80,48,
5,1,81,49,
5,1,82,45,
5,1,83,48,
5,1,84,42,
5,1,85,43,
5,1,86,42,
5,1,87,42,
5,1,88,41,
5,1,89,42,
5,1,90,32,
5,1,91,40,
5,1,92,36,
5,1,93,35,
5,1,94,40,
5,1,95,45,
5,1,96,48,
5,1,97,67,
5,1,98,87,
5,1,99,71,
5,1,100,39,
6,1,0,58,
6,1,1,43,
6,1,2,41,
6,1,3,52,
6,1,4,43,
6,1,5,45,
6,1,6,42,
6,1,7,49,
6,1,8,40,
6,1,9,46,
6,1,10,38,
6,1,11,45,
6,1,12,45,
6,1,13,47,
6,1,14,41,
6,1,15,44,
6,1,16,40,
6,1,17,46,
6,1,18,45,
6,1,19,42,
6,1,20,48,
6,1,21,38,
6,1,22,46,
6,1,23,48,
6,1,24,31,
