Site Number,Site name,2015 date,2017 date,2018 date
1,Smith Lake 1,7/3/15,9/16/17,9/5/18
2,Smith Lake 4,7/3/15,9/16/17,9/5/18
3,Smith Lake 3,7/4/15,9/16/17,9/5/18
4,Smith Lake 2,7/4/15,9/16/17,9/5/18
5,College,7/5/15,9/9/17,9/5/18
6,Old Man,7/6/15,9/15/17,9/4/18
7,Coldfoot,7/7/15,9/14/17,9/3/18
8,Chandalar,7/8/15,9/14/17,9/3/18
9,Galbraith Lake,7/10/15,9/13/17,8/30/18
10,Happy Valley,7/11/15,9/12/17,8/31/18
11,Sag MNT,7/13/15,9/12/17,8/31/18
12,Sag MAT,7/13/15,9/12/17,8/31/18
13,West Dock,7/16/15,NA,NA
14,Deadhorse,7/16/15,9/12/17,9/2/18
15,Franklin Bluff-Dry,7/17/15,9/12/17,9/2/18
16,Franklin Bluff-Wet,7/17/15,9/12/17,9/2/18
17,Fox,7/24/15,9/16/17,9/5/18
18,Nome,7/28/15,NA,NA
19,Kutizin,7/30/15,NA,NA
20,Bonanza- burned,8/2/15,NA,9/6/18
21,Bonzanza- unburned,8/2/15,9/17/17,9/6/18
22,Birch Lake,8/4/15,NA,9/7/18
23,Gulkana,8/5/15,NA,9/9/18
24,Healy,8/8/15,9/20/17,9/10/18
