site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,viper_year,viper_site_number,viper_site_name,viper_transect,viper_location_m,viper_td_cm,viper_probe_limit_cm,viper_notes,viper_source_date,viper_coordinate_source
ViPER_2015_S01_T1_L0,ViPER_2018,2015-07-03,64.86935,-147.8606,1,23.0,23.0,,tp,2015,1,Smith Lake 1,1,0,23.0,,,7/3/15,source_coordinate_point
ViPER_2015_S01_T1_L1,ViPER_2018,2015-07-03,64.8693565,-147.860599,1,46.0,46.0,,tp,2015,1,Smith Lake 1,1,1,46.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L10,ViPER_2018,2015-07-03,64.869415,-147.86059,1,25.0,25.0,,tp,2015,1,Smith Lake 1,1,10,25.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L11,ViPER_2018,2015-07-03,64.8694215,-147.860589,1,21.0,21.0,,tp,2015,1,Smith Lake 1,1,11,21.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L12,ViPER_2018,2015-07-03,64.869428,-147.860588,1,26.0,26.0,,tp,2015,1,Smith Lake 1,1,12,26.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L13,ViPER_2018,2015-07-03,64.8694345,-147.860587,1,30.0,30.0,,tp,2015,1,Smith Lake 1,1,13,30.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L14,ViPER_2018,2015-07-03,64.869441,-147.860586,1,31.0,31.0,,tp,2015,1,Smith Lake 1,1,14,31.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L15,ViPER_2018,2015-07-03,64.86944749999999,-147.86058500000001,1,31.0,31.0,,tp,2015,1,Smith Lake 1,1,15,31.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L16,ViPER_2018,2015-07-03,64.86945399999999,-147.860584,1,28.0,28.0,,tp,2015,1,Smith Lake 1,1,16,28.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L17,ViPER_2018,2015-07-03,64.8694605,-147.860583,1,25.0,25.0,,tp,2015,1,Smith Lake 1,1,17,25.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L18,ViPER_2018,2015-07-03,64.869467,-147.860582,1,23.0,23.0,,tp,2015,1,Smith Lake 1,1,18,23.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L19,ViPER_2018,2015-07-03,64.8694735,-147.860581,1,35.0,35.0,,tp,2015,1,Smith Lake 1,1,19,35.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L2,ViPER_2018,2015-07-03,64.86936299999999,-147.860598,1,35.0,35.0,,tp,2015,1,Smith Lake 1,1,2,35.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L20,ViPER_2018,2015-07-03,64.86948,-147.86058,1,33.0,33.0,,tp,2015,1,Smith Lake 1,1,20,33.0,,,7/3/15,source_coordinate_point
ViPER_2015_S01_T1_L3,ViPER_2018,2015-07-03,64.86936949999999,-147.860597,1,29.0,29.0,,tp,2015,1,Smith Lake 1,1,3,29.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L4,ViPER_2018,2015-07-03,64.869376,-147.86059600000002,1,29.0,29.0,,tp,2015,1,Smith Lake 1,1,4,29.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L5,ViPER_2018,2015-07-03,64.8693825,-147.860595,1,20.0,20.0,,tp,2015,1,Smith Lake 1,1,5,20.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L6,ViPER_2018,2015-07-03,64.869389,-147.860594,1,22.0,22.0,,tp,2015,1,Smith Lake 1,1,6,22.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L7,ViPER_2018,2015-07-03,64.8693955,-147.860593,1,31.0,31.0,,tp,2015,1,Smith Lake 1,1,7,31.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L8,ViPER_2018,2015-07-03,64.869402,-147.860592,1,24.0,24.0,,tp,2015,1,Smith Lake 1,1,8,24.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T1_L9,ViPER_2018,2015-07-03,64.86940849999999,-147.860591,1,27.0,27.0,,tp,2015,1,Smith Lake 1,1,9,27.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L0,ViPER_2018,2015-07-03,64.86936,-147.86046,1,30.0,30.0,,tp,2015,1,Smith Lake 1,2,0,30.0,,,7/3/15,source_coordinate_point
ViPER_2015_S01_T2_L1,ViPER_2018,2015-07-03,64.8693675,-147.860456,1,37.0,37.0,,tp,2015,1,Smith Lake 1,2,1,37.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L10,ViPER_2018,2015-07-03,64.86943500000001,-147.86041999999998,1,30.0,30.0,,tp,2015,1,Smith Lake 1,2,10,30.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L11,ViPER_2018,2015-07-03,64.8694425,-147.860416,1,31.0,31.0,,tp,2015,1,Smith Lake 1,2,11,31.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L12,ViPER_2018,2015-07-03,64.86945,-147.860412,1,33.0,33.0,,tp,2015,1,Smith Lake 1,2,12,33.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L13,ViPER_2018,2015-07-03,64.86945750000001,-147.86040799999998,1,36.0,36.0,,tp,2015,1,Smith Lake 1,2,13,36.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L14,ViPER_2018,2015-07-03,64.869465,-147.860404,1,29.0,29.0,,tp,2015,1,Smith Lake 1,2,14,29.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L15,ViPER_2018,2015-07-03,64.8694725,-147.8604,1,26.0,26.0,,tp,2015,1,Smith Lake 1,2,15,26.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L16,ViPER_2018,2015-07-03,64.86948000000001,-147.86039599999998,1,27.0,27.0,,tp,2015,1,Smith Lake 1,2,16,27.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L17,ViPER_2018,2015-07-03,64.8694875,-147.860392,1,28.0,28.0,,tp,2015,1,Smith Lake 1,2,17,28.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L18,ViPER_2018,2015-07-03,64.869495,-147.860388,1,28.0,28.0,,tp,2015,1,Smith Lake 1,2,18,28.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L19,ViPER_2018,2015-07-03,64.86950250000001,-147.86038399999998,1,33.0,33.0,,tp,2015,1,Smith Lake 1,2,19,33.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L2,ViPER_2018,2015-07-03,64.869375,-147.86045199999998,1,32.0,32.0,,tp,2015,1,Smith Lake 1,2,2,32.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L20,ViPER_2018,2015-07-03,64.86951,-147.86038,1,20.0,20.0,,tp,2015,1,Smith Lake 1,2,20,20.0,,,7/3/15,source_coordinate_point
ViPER_2015_S01_T2_L3,ViPER_2018,2015-07-03,64.8693825,-147.860448,1,31.0,31.0,,tp,2015,1,Smith Lake 1,2,3,31.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L4,ViPER_2018,2015-07-03,64.86939,-147.860444,1,32.0,32.0,,tp,2015,1,Smith Lake 1,2,4,32.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L5,ViPER_2018,2015-07-03,64.8693975,-147.86043999999998,1,30.0,30.0,,tp,2015,1,Smith Lake 1,2,5,30.0,,,7/3/15,interpolated_transect
ViPER_2015_S01_T2_L6,ViPER_2018,2015-07-03,64.869405,-147.860436,1,30.0,30.0,,tp,2015,1,Smith Lake 1,2,6,30.0,,,7/3/15,interpolated_transect
