Distance_m,Water depth (cm),Thaw depth (cm),Vegetation height (cm),Vegetation type,Micro- relief,Latitude,Longitude,Date,site_id,Table,Transect,Microrelief
0,0,110,20,B,RB,70.223122,-148.471291,8/24/21,Colleen_T1,A3.1,T1,
1,0,110,10,"CARAQU, SALOVA",RB,70.22313012359706,-148.4712798,8/24/21,Colleen_T1,A3.1,T1,
2,0,100,12,Trench berm,RB,70.22313825,-148.4712686,8/24/21,Colleen_T1,A3.1,T1,
3,0,72,10,U4d,RB,70.22314637078905,-148.4712574,8/24/21,Colleen_T1,A3.1,T1,
4,0,60,14,U4d,FC,70.22315449438399,-148.4712463,8/24/21,Colleen_T1,A3.1,T1,
5,0,61,15,U4d,R,70.22316261797823,-148.4712351,8/24/21,Colleen_T1,A3.1,T1,
6,0,63,13,U4d,LC,70.22317074157178,-148.4712239,8/24/21,Colleen_T1,A3.1,T1,
7,0,66,10,U4d,R,70.22317886516461,-148.4712127,8/24/21,Colleen_T1,A3.1,T1,
8,0,58,13,M2d,T,70.22318698875674,-148.4712015,8/24/21,Colleen_T1,A3.1,T1,
9,0,67,12,U4d,R,70.22319511234817,-148.4711903,8/24/21,Colleen_T1,A3.1,T1,
10,0,68,15,U4d,R,70.22320324,-148.4711791,8/24/21,Colleen_T1,A3.1,T1,
11,0,67,15,U4d,R,70.22321136,-148.4711679,8/24/21,Colleen_T1,A3.1,T1,
12,0,73,14,U4d,R,70.22321948311823,-148.4711568,8/24/21,Colleen_T1,A3.1,T1,
13,0,68,12,M2d,LC,70.22322760670684,-148.4711456,8/24/21,Colleen_T1,A3.1,T1,
14,0,68,12,M2d,LC,70.22323573029475,-148.4711344,8/24/21,Colleen_T1,A3.1,T1,
15,0,68,10,M2d,LC,70.22324385388195,-148.4711232,8/24/21,Colleen_T1,A3.1,T1,
16,0,69,14,M2d,LC,70.22325197746845,-148.471112,8/24/21,Colleen_T1,A3.1,T1,
17,0,69,10,M2d,LC,70.22326010105425,-148.4711008,8/24/21,Colleen_T1,A3.1,T1,
18,0,69,10,M2d,LC,70.22326822463936,-148.4710896,8/24/21,Colleen_T1,A3.1,T1,
19,0,67,13,M2d,LC,70.22327634822375,-148.4710784,8/24/21,Colleen_T1,A3.1,T1,
20,0,67,15,M2d,LC,70.22328447180743,-148.4710673,8/24/21,Colleen_T1,A3.1,T1,
21,0,66,13,U4d,LC,70.22329259539042,-148.4710561,8/24/21,Colleen_T1,A3.1,T1,
22,0,61,10,U4d,LC,70.22330072,-148.4710449,8/24/21,Colleen_T1,A3.1,T1,
23,0,65,12,U4d,R,70.22330884255427,-148.4710337,8/24/21,Colleen_T1,A3.1,T1,
24,0,68,15,U4d,R,70.22331696613516,-148.4710225,8/24/21,Colleen_T1,A3.1,T1,
25,0,62,30,E1d,T,70.22332508971533,-148.4710113,8/24/21,Colleen_T1,A3.1,T1,
26,0,52,16,E1d,T,70.22333321,-148.4710001,8/24/21,Colleen_T1,A3.1,T1,
27,0,59,35,E1d,T,70.22334133687356,-148.470989,8/24/21,Colleen_T1,A3.1,T1,
28,0,50,28,E1d,T,70.22334946045163,-148.4709778,8/24/21,Colleen_T1,A3.1,T1,
29,0,47,30,E1d,T,70.22335758402897,-148.4709666,8/24/21,Colleen_T1,A3.1,T1,
30,0,47,17,E1d,T,70.22336570760564,-148.4709554,8/24/21,Colleen_T1,A3.1,T1,
31,0,47,22,M2d,R,70.22337383118159,-148.4709442,8/24/21,Colleen_T1,A3.1,T1,
32,0,65,16,U4d,R,70.22338195475683,-148.470933,8/24/21,Colleen_T1,A3.1,T1,
33,0,62,16,U4d,R,70.22339007833138,-148.4709218,8/24/21,Colleen_T1,A3.1,T1,
34,0,61,14,U4d,R,70.22339820190521,-148.4709106,8/24/21,Colleen_T1,A3.1,T1,
35,0,61,5,U4d,R,70.22340632547835,-148.4708995,8/24/21,Colleen_T1,A3.1,T1,
36,0,46,18,U4d,T,70.22341445,-148.4708883,8/24/21,Colleen_T1,A3.1,T1,
37,0,46,16,E1d,T,70.22342257262252,-148.4708771,8/24/21,Colleen_T1,A3.1,T1,
38,0,47,30,E1d,T,70.22343069619355,-148.4708659,8/24/21,Colleen_T1,A3.1,T1,
39,0,32,0,E1d,T,70.22343881976387,-148.4708547,8/24/21,Colleen_T1,A3.1,T1,
40,0,54,23,E1d,T,70.22344694,-148.4708435,8/24/21,Colleen_T1,A3.1,T1,
41,0,54,20,U4d,R,70.22345507,-148.4708323,8/24/21,Colleen_T1,A3.1,T1,
42,0,51,13,U3d,R,70.22346319047062,-148.4708211,8/24/21,Colleen_T1,A3.1,T1,
43,0,51,10,M2d,LC,70.22347131403814,-148.47081,8/24/21,Colleen_T1,A3.1,T1,
44,0,50,15,M2d,LC,70.22347943760494,-148.4707988,8/24/21,Colleen_T1,A3.1,T1,
45,0,52,15,M2d,LC,70.22348756117105,-148.4707876,8/24/21,Colleen_T1,A3.1,T1,
46,0,57,14,U4d,R,70.22349568473645,-148.4707764,8/24/21,Colleen_T1,A3.1,T1,
47,0,48,10,M2d,T,70.22350380830113,-148.4707652,8/24/21,Colleen_T1,A3.1,T1,
48,0,47,17,M2d,T,70.22351193186513,-148.470754,8/24/21,Colleen_T1,A3.1,T1,
49,0,49,16,M2d,T,70.22352005542842,-148.4707428,8/24/21,Colleen_T1,A3.1,T1,
50,0,52,15,M2d,T,70.22352817899102,-148.4707316,8/24/21,Colleen_T1,A3.1,T1,
51,0,50,16,U4d,T,70.22353630255289,-148.4707205,8/24/21,Colleen_T1,A3.1,T1,
52,0,57,13,U4d,R,70.22354442611407,-148.4707093,8/24/21,Colleen_T1,A3.1,T1,
53,0,55,14,M2d,LC,70.22355254967455,-148.4706981,8/24/21,Colleen_T1,A3.1,T1,
54,0,57,12,M2d,LC,70.22356067323432,-148.4706869,8/24/21,Colleen_T1,A3.1,T1,
55,0,58,15,M2d,LC,70.22356879679339,-148.4706757,8/24/21,Colleen_T1,A3.1,T1,
56,0,60,10,M2d,LC,70.22357692035175,-148.4706645,8/24/21,Colleen_T1,A3.1,T1,
57,0,59,14,U4d,R,70.22358504390942,-148.4706533,8/24/21,Colleen_T1,A3.1,T1,
58,0,54,7,U4d,T,70.22359316746636,-148.4706421,8/24/21,Colleen_T1,A3.1,T1,
59,0,46,14,M2d,T,70.22360129102263,-148.470631,8/24/21,Colleen_T1,A3.1,T1,
60,0,56,8,U3d,R,70.22360941457818,-148.4706198,8/24/21,Colleen_T1,A3.1,T1,
61,0,54,10,M2d,LC,70.22361753813303,-148.4706086,8/24/21,Colleen_T1,A3.1,T1,
62,0,54,13,M2d,LC,70.22362566168717,-148.4705974,8/24/21,Colleen_T1,A3.1,T1,
63,0,60,13,U4d,LC,70.22363378524061,-148.4705862,8/24/21,Colleen_T1,A3.1,T1,
64,0,60,10,M2d,LC,70.22364190879335,-148.470575,8/24/21,Colleen_T1,A3.1,T1,
65,0,59,12,M2d,LC,70.22365003234539,-148.4705638,8/24/21,Colleen_T1,A3.1,T1,
66,0,53,9,M2d,LC,70.22365815589671,-148.4705526,8/24/21,Colleen_T1,A3.1,T1,
67,0,51,11,M2d,LC,70.22366627944734,-148.4705415,8/24/21,Colleen_T1,A3.1,T1,
68,0,50,11,M2d,LC,70.22367440299726,-148.4705303,8/24/21,Colleen_T1,A3.1,T1,
69,0,49,12,U4d,R,70.22368253,-148.4705191,8/24/21,Colleen_T1,A3.1,T1,
70,0,48,15,U4d,R,70.22369065009501,-148.4705079,8/24/21,Colleen_T1,A3.1,T1,
71,12,55,40,E1d,P,70.22369877364282,-148.4704967,8/24/21,Colleen_T1,A3.1,T1,
72,40,60,0,E1d,P,70.22370689718993,-148.4704855,8/24/21,Colleen_T1,A3.1,T1,
73,49,59,0,W1,P,70.22371502073634,-148.4704743,8/24/21,Colleen_T1,A3.1,T1,
74,70,66,0,W1,P,70.22372314428203,-148.4704631,8/24/21,Colleen_T1,A3.1,T1,
75,53,67,15,W1,P,70.22373126782703,-148.470452,8/24/21,Colleen_T1,A3.1,T1,
76,60,57,0,W1,P,70.22373939137134,-148.4704408,8/24/21,Colleen_T1,A3.1,T1,
77,38,56,0,E1d,P,70.22374751491492,-148.4704296,8/24/21,Colleen_T1,A3.1,T1,
78,0,59,16,M2d,FC,70.22375563845782,-148.4704184,8/24/21,Colleen_T1,A3.1,T1,
79,0,45,14,U4d,FC,70.22376376,-148.4704072,8/24/21,Colleen_T1,A3.1,T1,
80,0,51,15,U4d,FC,70.22377188554148,-148.470396,8/24/21,Colleen_T1,A3.1,T1,
81,0,52,16,U4d,FC,70.22378000908226,-148.4703848,8/24/21,Colleen_T1,A3.1,T1,
82,0,55,10,U4d,FC,70.22378813262233,-148.4703736,8/24/21,Colleen_T1,A3.1,T1,
83,0,48,13,U4d,FC,70.22379626,-148.4703625,8/24/21,Colleen_T1,A3.1,T1,
84,0,51,13,U4d,FC,70.22380437970038,-148.4703513,8/24/21,Colleen_T1,A3.1,T1,
85,0,47,12,U4d,FB,70.22381250323835,-148.4703401,8/24/21,Colleen_T1,A3.1,T1,
86,0,43,12,U3d,R,70.22382063,-148.4703289,8/24/21,Colleen_T1,A3.1,T1,
87,0,42,12,U3d,FC,70.22382875031217,-148.4703177,8/24/21,Colleen_T1,A3.1,T1,
88,0,44,12,U3d,FC,70.22383687384803,-148.4703065,8/24/21,Colleen_T1,A3.1,T1,
89,0,48,5,U3d,FC,70.22384499738317,-148.4702953,8/24/21,Colleen_T1,A3.1,T1,
90,0,54,10,U3d,R,70.22385312091762,-148.4702841,8/24/21,Colleen_T1,A3.1,T1,
91,0,59,2,U3d,R,70.22386124445137,-148.470273,8/24/21,Colleen_T1,A3.1,T1,
92,0,60,12,U3d,R,70.22386937,-148.4702618,8/24/21,Colleen_T1,A3.1,T1,
93,9,57,35,E1d,T,70.22387749151675,-148.4702506,8/24/21,Colleen_T1,A3.1,T1,
94,17,49,30,E1d,T,70.22388561504837,-148.4702394,8/24/21,Colleen_T1,A3.1,T1,
95,25,46,35,E1d,T,70.22389374,-148.4702282,8/24/21,Colleen_T1,A3.1,T1,
96,30,40,35,E1d,T,70.22390186210953,-148.470217,8/24/21,Colleen_T1,A3.1,T1,
97,16,47,45,U4d,R,70.22390998563905,-148.4702058,8/24/21,Colleen_T1,A3.1,T1,
98,0,62,12,E1,T,70.22391810916787,-148.4701946,8/24/21,Colleen_T1,A3.1,T1,
99,0,55,14,U4d,LC,70.22392623269599,-148.4701835,8/24/21,Colleen_T1,A3.1,T1,
100,0,49,13,U4d,LC,70.22393436,-148.4701723,8/24/21,Colleen_T1,A3.1,T1,
105,0,60,16,U3d,R,70.22397497,-148.4701163,8/24/21,Colleen_T1,A3.1,T1,
110,0,52,11,U4d,R,70.22401559145884,-148.4700604,8/24/21,Colleen_T1,A3.1,T1,
115,0,53,12,U4d,R,70.22405620905018,-148.4700044,8/24/21,Colleen_T1,A3.1,T1,
120,0,50,4,U3d,R,70.22409682662392,-148.4699485,8/24/21,Colleen_T1,A3.1,T1,
125,0,66,2,U3d,R,70.22413744418009,-148.4698926,8/24/21,Colleen_T1,A3.1,T1,
130,0,52,14,M2d,LC,70.22417806171866,-148.4698366,8/24/21,Colleen_T1,A3.1,T1,
135,0,57,17,M2d,LC,70.22421867923964,-148.4697807,8/24/21,Colleen_T1,A3.1,T1,
140,1,56,22,M2d,T,70.22425929674304,-148.4697247,8/24/21,Colleen_T1,A3.1,T1,
145,0,46,10,U4d,R,70.22429991422885,-148.4696688,8/24/21,Colleen_T1,A3.1,T1,
150,0,56,10,U4d,R,70.22434053169707,-148.4696129,8/24/21,Colleen_T1,A3.1,T1,
155,0,48,15,U4d,R,70.22438115,-148.4695569,8/24/21,Colleen_T1,A3.1,T1,
160,0,53,20,M2d,T,70.22442176658076,-148.469501,8/24/21,Colleen_T1,A3.1,T1,
165,27,54,42,E1d,T,70.22446238399621,-148.469445,8/24/21,Colleen_T1,A3.1,T1,
170,0,40,12,U4d,LC,70.22450300139408,-148.4693891,8/24/21,Colleen_T1,A3.1,T1,
175,0,58,12,M2d,FC,70.22454361877436,-148.4693332,8/24/21,Colleen_T1,A3.1,T1,
180,0,55,20,E1d,P,70.22458423613705,-148.4692772,8/24/21,Colleen_T1,A3.1,T1,
185,6,53,15,M2d,LC,70.22462485348215,-148.4692213,8/24/21,Colleen_T1,A3.1,T1,
190,0,52,13,M2d,LC,70.22466547080967,-148.4691653,8/24/21,Colleen_T1,A3.1,T1,
195,0,48,15,U4d,R,70.22470608811959,-148.4691094,8/24/21,Colleen_T1,A3.1,T1,
200,7,53,24,E1d,T,70.22474670541192,-148.4690534,8/24/21,Colleen_T1,A3.1,T1,
0,0,125,0,B,RB,70.22299,-148.471506,8/24/21,Colleen_T2,A3.1,T2,
1,0,118,1,PUCPHR,RB,70.22298201355338,-148.471518,8/24/21,Colleen_T2,A3.1,T2,
2,0,103,1,B,RB,70.22297402710595,-148.47153,8/24/21,Colleen_T2,A3.1,T2,
3,0,90,12,CARAQU,RB,70.22296604,-148.4715421,8/24/21,Colleen_T2,A3.1,T2,
4,0,82,10,CARAQU,HC,70.22295805420865,-148.4715541,8/24/21,Colleen_T2,A3.1,T2,
5,0,74,15,M2d,HC,70.22295006775879,-148.4715661,8/24/21,Colleen_T2,A3.1,T2,
6,0,75,13,M2d,HC,70.22294208130812,-148.4715781,8/24/21,Colleen_T2,A3.1,T2,
7,8,60,16,M2d,T,70.22293409485664,-148.4715901,8/24/21,Colleen_T2,A3.1,T2,
8,0,68,18,M2d,HC,70.22292610840434,-148.4716021,8/24/21,Colleen_T2,A3.1,T2,
9,0,63,20,M2d,HC,70.22291812195124,-148.4716142,8/24/21,Colleen_T2,A3.1,T2,
10,0,67,18,M2d,HC,70.22291013549733,-148.4716262,8/24/21,Colleen_T2,A3.1,T2,
11,0,65,14,M2d,HC,70.22290215,-148.4716382,8/24/21,Colleen_T2,A3.1,T2,
12,0,58,20,M2d,HC,70.22289416258707,-148.4716502,8/24/21,Colleen_T2,A3.1,T2,
13,0,59,15,M2d,HC,70.22288617613073,-148.4716622,8/24/21,Colleen_T2,A3.1,T2,
14,0,64,25,E1D,HC,70.22287818967357,-148.4716742,8/24/21,Colleen_T2,A3.1,T2,
15,18,70,34,E1d,T,70.2228702,-148.4716863,8/24/21,Colleen_T2,A3.1,T2,
16,50,70,0,E1d,T,70.22286221675684,-148.4716983,8/24/21,Colleen_T2,A3.1,T2,
17,75,53,20,HIPVUL,T,70.22285423029726,-148.4717103,8/24/21,Colleen_T2,A3.1,T2,
18,50,70,10,W,T,70.22284624383686,-148.4717223,8/24/21,Colleen_T2,A3.1,T2,
19,30,68,37,E1d,T,70.22283825737564,-148.4717343,8/24/21,Colleen_T2,A3.1,T2,
20,5,63,22,HIPVUL,T,70.22283027091363,-148.4717463,8/24/21,Colleen_T2,A3.1,T2,
21,8,67,25,E1d,T,70.22282228445081,-148.4717584,8/24/21,Colleen_T2,A3.1,T2,
22,0,62,15,M2d,HC,70.22281429798717,-148.4717704,8/24/21,Colleen_T2,A3.1,T2,
23,0,62,15,M2d,HC,70.22280631152272,-148.4717824,8/24/21,Colleen_T2,A3.1,T2,
24,0,60,13,M2d,HC,70.22279832505747,-148.4717944,8/24/21,Colleen_T2,A3.1,T2,
25,0,63,15,M2d,HC,70.22279034,-148.4718064,8/24/21,Colleen_T2,A3.1,T2,
26,0,60,10,M2d,HC,70.22278235212451,-148.4718184,8/24/21,Colleen_T2,A3.1,T2,
27,0,61,12,M2d,HC,70.22277436565683,-148.4718305,8/24/21,Colleen_T2,A3.1,T2,
28,0,63,15,M2d,HC,70.22276637918833,-148.4718425,8/24/21,Colleen_T2,A3.1,T2,
29,0,63,14,M2d,HC,70.22275839271903,-148.4718545,8/24/21,Colleen_T2,A3.1,T2,
30,0,61,15,M2d,HC,70.22275041,-148.4718665,8/24/21,Colleen_T2,A3.1,T2,
31,0,61,12,M2d,HC,70.22274241977797,-148.4718785,8/24/21,Colleen_T2,A3.1,T2,
32,0,39,15,M2d,HC,70.22273443330624,-148.4718905,8/24/21,Colleen_T2,A3.1,T2,
33,0,61,14,M2d,HC,70.22272644683369,-148.4719026,8/24/21,Colleen_T2,A3.1,T2,
34,0,62,17,M2d,HC,70.22271846036033,-148.4719146,8/24/21,Colleen_T2,A3.1,T2,
35,10,64,35,E1d,T,70.22271047388615,-148.4719266,8/24/21,Colleen_T2,A3.1,T2,
36,38,50,47,E1d,T,70.22270248741117,-148.4719386,8/24/21,Colleen_T2,A3.1,T2,
37,28,59,20,CALGIG,T,70.22269450093539,-148.4719506,8/24/21,Colleen_T2,A3.1,T2,
38,24,57,40,E1d,T,70.22268651445879,-148.4719626,8/24/21,Colleen_T2,A3.1,T2,
39,18,56,34,E1d,T,70.22267852798137,-148.4719747,8/24/21,Colleen_T2,A3.1,T2,
40,20,53,34,E1d,T,70.22267054150315,-148.4719867,8/24/21,Colleen_T2,A3.1,T2,
41,16,57,35,E1d,T,70.22266255502412,-148.4719987,8/24/21,Colleen_T2,A3.1,T2,
42,6,52,33,E1d,T,70.22265456854427,-148.4720107,8/24/21,Colleen_T2,A3.1,T2,
43,3,49,50,E1d,T,70.22264658206362,-148.4720227,8/24/21,Colleen_T2,A3.1,T2,
44,45,48,15,CALGIG,T,70.22263859558217,-148.4720347,8/24/21,Colleen_T2,A3.1,T2,
45,48,40,10,HIPVUL,T,70.22263060909988,-148.4720468,8/24/21,Colleen_T2,A3.1,T2,
46,44,42,15,HIPVUL,T,70.22262262,-148.4720588,8/24/21,Colleen_T2,A3.1,T2,
47,45,36,23,CALGIG,T,70.22261464,-148.4720708,8/24/21,Colleen_T2,A3.1,T2,
48,35,50,15,HIPVUL,T,70.22260664964821,-148.4720828,8/24/21,Colleen_T2,A3.1,T2,
49,20,63,36,E1d,T,70.22259866,-148.4720948,8/24/21,Colleen_T2,A3.1,T2,
50,0,54,30,E1d,T,70.22259067667636,-148.4721069,8/24/21,Colleen_T2,A3.1,T2,
51,0,51,18,U4d,R,70.22258269018923,-148.4721189,8/24/21,Colleen_T2,A3.1,T2,
52,0,57,15,U4d,R,70.22257470370128,-148.4721309,8/24/21,Colleen_T2,A3.1,T2,
53,0,62,16,U4d,R,70.22256671721253,-148.4721429,8/24/21,Colleen_T2,A3.1,T2,
54,0,59,20,U4d,R,70.22255873072297,-148.4721549,8/24/21,Colleen_T2,A3.1,T2,
55,0,58,15,U4d,R,70.22255074423259,-148.4721669,8/24/21,Colleen_T2,A3.1,T2,
56,0,58,15,U4d,R,70.22254275774141,-148.472179,8/24/21,Colleen_T2,A3.1,T2,
57,0,51,14,M2d,R,70.22253477124941,-148.472191,8/24/21,Colleen_T2,A3.1,T2,
58,0,56,12,M2d,T,70.22252678,-148.472203,8/24/21,Colleen_T2,A3.1,T2,
59,0,59,12,M2d,T,70.22251879826298,-148.472215,8/24/21,Colleen_T2,A3.1,T2,
60,0,58,20,M2d,HC,70.22251081176856,-148.472227,8/24/21,Colleen_T2,A3.1,T2,
61,0,58,15,M2d,HC,70.22250282527332,-148.472239,8/24/21,Colleen_T2,A3.1,T2,
62,0,55,12,M2d,HC,70.22249483877727,-148.4722511,8/24/21,Colleen_T2,A3.1,T2,
63,0,53,14,U4d,HC,70.22248685228041,-148.4722631,8/24/21,Colleen_T2,A3.1,T2,
64,0,50,15,U4d,HC,70.22247886578275,-148.4722751,8/24/21,Colleen_T2,A3.1,T2,
65,0,46,12,U4d,HC,70.22247087928426,-148.4722871,8/24/21,Colleen_T2,A3.1,T2,
66,0,46,14,U4d,HC,70.22246289278497,-148.4722991,8/24/21,Colleen_T2,A3.1,T2,
67,0,55,12,U4d,HC,70.22245490628488,-148.4723111,8/24/21,Colleen_T2,A3.1,T2,
68,0,66,20,U4d,T,70.22244691978398,-148.4723232,8/24/21,Colleen_T2,A3.1,T2,
69,10,53,30,E1d,P,70.22243893328225,-148.4723352,8/24/21,Colleen_T2,A3.1,T2,
70,11,55,25,E1d,P,70.22243094677972,-148.4723472,8/24/21,Colleen_T2,A3.1,T2,
71,5,60,13,HIPVUL,P,70.22242296027638,-148.4723592,8/24/21,Colleen_T2,A3.1,T2,
72,0,61,14,U4d,HC,70.22241497377223,-148.4723712,8/24/21,Colleen_T2,A3.1,T2,
73,0,56,20,U4d,P,70.22240698726728,-148.4723832,8/24/21,Colleen_T2,A3.1,T2,
74,0,52,17,U4d,HC,70.222399,-148.4723953,8/24/21,Colleen_T2,A3.1,T2,
75,0,54,15,U4d,HC,70.22239101425492,-148.4724073,8/24/21,Colleen_T2,A3.1,T2,
76,0,49,14,U4d,HC,70.22238302774753,-148.4724193,8/24/21,Colleen_T2,A3.1,T2,
77,0,48,15,U4d,HC,70.22237504123933,-148.4724313,8/24/21,Colleen_T2,A3.1,T2,
78,0,48,10,U4d,HC,70.22236705473031,-148.4724433,8/24/21,Colleen_T2,A3.1,T2,
79,0,50,10,U4d,HC,70.22235907,-148.4724553,8/24/21,Colleen_T2,A3.1,T2,
80,0,50,11,U4d,HC,70.22235108170986,-148.4724673,8/24/21,Colleen_T2,A3.1,T2,
81,0,47,10,U4d,HC,70.22234309519841,-148.4724794,8/24/21,Colleen_T2,A3.1,T2,
82,0,56,9,U4d,HC,70.22233510868617,-148.4724914,8/24/21,Colleen_T2,A3.1,T2,
83,3,72,0,B,P,70.22232712,-148.4725034,8/24/21,Colleen_T2,A3.1,T2,
84,15,90,2,RANHYP,P,70.22231913565923,-148.4725154,8/24/21,Colleen_T2,A3.1,T2,
85,54,55,29,CALGIG,P,70.22231114914455,-148.4725274,8/24/21,Colleen_T2,A3.1,T2,
86,58,48,30,CALIGIG,P,70.22230316262906,-148.4725394,8/24/21,Colleen_T2,A3.1,T2,
87,80,20,20,CALIGIG,P,70.22229517611275,-148.4725515,8/24/21,Colleen_T2,A3.1,T2,
88,62,38,40,CALIGIG,P,70.22228718959563,-148.4725635,8/24/21,Colleen_T2,A3.1,T2,
89,50,48,25,CALIGIG,P,70.22227920307772,-148.4725755,8/24/21,Colleen_T2,A3.1,T2,
90,37,63,22,CALGIG-RANHYP,P,70.22227121655898,-148.4725875,8/24/21,Colleen_T2,A3.1,T2,
91,34,60,24,HIPVUL-RANHYP,P,70.22226323003943,-148.4725995,8/24/21,Colleen_T2,A3.1,T2,
92,8,77,15,"RAN-
HYP-HIPVUL-CAL- GIG",P,70.22225524351907,-148.4726115,8/24/21,Colleen_T2,A3.1,T2,
93,22,79,15,Eid,P,70.22224725699792,-148.4726236,8/24/21,Colleen_T2,A3.1,T2,
94,0,74,11,M2d,T,70.22223927047594,-148.4726356,8/24/21,Colleen_T2,A3.1,T2,
95,0,52,5,U4d,HC,70.22223128395315,-148.4726476,8/24/21,Colleen_T2,A3.1,T2,
96,0,53,15,U4d,HC,70.22222329742955,-148.4726596,8/24/21,Colleen_T2,A3.1,T2,
97,0,60,14,U4d,HC,70.22221531090514,-148.4726716,8/24/21,Colleen_T2,A3.1,T2,
98,0,59,12,U4d,HC,70.22220732437994,-148.4726836,8/24/21,Colleen_T2,A3.1,T2,
99,0,68,13,U4d,HC,70.22219933785391,-148.4726957,8/24/21,Colleen_T2,A3.1,T2,
100,0,56,14,U4d,HC,70.22219135132707,-148.4727077,8/24/21,Colleen_T2,A3.1,T2,
105,0,64,15,B,F,70.22215141868074,-148.4727678,8/24/21,Colleen_T2,A3.1,T2,
110,0,68,10,B,F,70.22211148601414,-148.4728278,8/24/21,Colleen_T2,A3.1,T2,
115,21,44,15,M4d,T,70.22207155,-148.4728879,8/24/21,Colleen_T2,A3.1,T2,
120,0,69,17,M2d,FB,70.22203162062019,-148.472948,8/24/21,Colleen_T2,A3.1,T2,
125,0,77,24,M2d,FB,70.22199168789284,-148.4730081,8/24/21,Colleen_T2,A3.1,T2,
130,0,55,13,M2d,HC,70.22195175514523,-148.4730682,8/24/21,Colleen_T2,A3.1,T2,
135,23,53,20,SCOSCO,P,70.22191182237735,-148.4731282,8/24/21,Colleen_T2,A3.1,T2,
140,0,53,11,U4d,HC,70.22187188958924,-148.4731883,8/24/21,Colleen_T2,A3.1,T2,
145,0,51,20,M2d,HC,70.22183195678086,-148.4732484,8/24/21,Colleen_T2,A3.1,T2,
150,0,56,13,M2d,HC,70.22179202395223,-148.4733085,8/24/21,Colleen_T2,A3.1,T2,
155,0,55,18,U4d,HC,70.22175209110334,-148.4733686,8/24/21,Colleen_T2,A3.1,T2,
160,0,58,14,M2d,HC,70.22171216,-148.4734286,8/24/21,Colleen_T2,A3.1,T2,
165,0,60,12,M3d,HC,70.22167223,-148.4734887,8/24/21,Colleen_T2,A3.1,T2,
170,30,58,0,B,T,70.22163229243516,-148.4735488,8/24/21,Colleen_T2,A3.1,T2,
175,0,53,18,U4d,HC,70.22159235950527,-148.4736089,8/24/21,Colleen_T2,A3.1,T2,
180,0,46,14,U4d,HC,70.22155243,-148.473669,8/24/21,Colleen_T2,A3.1,T2,
185,0,55,13,E1d,T,70.22151249,-148.473729,8/24/21,Colleen_T2,A3.1,T2,
190,0,57,15,U4d,HC,70.22147256059404,-148.4737891,8/24/21,Colleen_T2,A3.1,T2,
195,2,55,20,E1d,T,70.22143262758313,-148.4738492,8/24/21,Colleen_T2,A3.1,T2,
200,0,50,18,U4d,HC,70.22139269455195,-148.4739093,8/24/21,Colleen_T2,A3.1,T2,
0,0,46,,,-,70.229354,-148.42513,8/15/20,Jorgenson_JS,A2.6,JS,
1,0,45,,,-,70.22935183155744,-148.4251043,8/15/20,Jorgenson_JS,A2.6,JS,
2,0,56,,,-,70.22934966311122,-148.4250786,8/15/20,Jorgenson_JS,A2.6,JS,
3,0,40,,,-,70.22934749466134,-148.4250529,8/15/20,Jorgenson_JS,A2.6,JS,
4,0,50,,,-,70.22934532620776,-148.4250272,8/15/20,Jorgenson_JS,A2.6,JS,
5,0,43,,,-,70.22934315775052,-148.4250015,8/15/20,Jorgenson_JS,A2.6,JS,
6,0,44,,,-,70.22934098928962,-148.4249758,8/15/20,Jorgenson_JS,A2.6,JS,
7,0,46,,,-,70.22933882082505,-148.4249502,8/15/20,Jorgenson_JS,A2.6,JS,
8,0,48,,,-,70.22933665,-148.4249245,8/15/20,Jorgenson_JS,A2.6,JS,
9,0,47,,,-,70.22933448388488,-148.4248988,8/15/20,Jorgenson_JS,A2.6,JS,
10,0,50,,,-,70.22933232,-148.4248731,8/15/20,Jorgenson_JS,A2.6,JS,
