Name,Code,Lat,Lon,Year,Month,Snod,Tair,Tsur,Ts25cm,Ts50cm,Ts75cm,Ts100cm,VWC_top
ASIA2,77001,67.4749,-162.2664,2012,Jan,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Feb,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Mar,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Apr,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,May,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Jun,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Jul,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Aug,-999.99,7.25,-999.99,7.3,6.68,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Sep,-999.99,1.67,-999.99,3.1,2.66,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Oct,0,-4.4,-999.99,-2.02,-1.52,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Nov,0.01,-10.62,-999.99,-10.59,-9.19,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2012,Dec,0,-17.08,-999.99,-16.48,-15.19,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,Jan,0.01,-12.37,-999.99,-11.91,-11.18,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,Feb,0.01,-17.41,-999.99,-15.6,-14.57,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,Mar,0,-14.33,-999.99,-13.45,-13.09,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,Apr,0.01,-10.48,-999.99,-9.94,-10.22,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,May,0.05,-3.33,-999.99,-3.84,-4.39,-999.99,-999.99,-999.99
ASIA2,77001,67.4749,-162.2664,2013,Jun,-999.99,12.13,-999.99,8.83,6.92,-999.99,-999.99,-999.99
