FID,transect,distance,trans_distance,easting,northing,ecotype,permafrost,frost_top,frost_top_depth_flag,frost_bottom,frost_bottom_depth_flag,frost_thickness,frost_thickness_flag,water_depth,photos,notes
0,1,0,1_0,473008.9332,6790781.807,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos0781,NA
1,1,5,1_5,473013.9228,6790782.129,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,first empnig
2,1,10,1_10,473018.9125,6790782.45,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
3,1,15,1_15,473023.9021,6790782.772,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
4,1,20,1_20,473028.8918,6790783.094,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
5,1,25,1_25,473033.8814,6790783.416,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,Belos 0779-0780,NA
6,1,30,1_30,473038.871,6790783.737,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,buried log
7,1,31,1_31,473039.869,6790783.802,Lowland Moist Graminoid Shrub Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
8,1,32,1_32,473040.8669,6790783.866,Lowland Moist Graminoid Shrub Meadow,1,72,,81,,-9999,,0,NA,NA
9,1,33,1_33,473041.8648,6790783.93,Lowland Moist Graminoid Shrub Meadow,1,45,,50,GT,-9999,,0,NA,solid
10,1,34,1_34,473042.8627,6790783.995,Rackline,1,42,,-9999,,-9999,,0,Belos 0778,2005 rackline
11,1,35,1_35,473043.8607,6790784.059,Lowland Moist Graminoid Shrub Meadow,1,39,,-9999,,-9999,,0,NA,NA
12,1,36,1_36,473044.8586,6790784.124,Lowland Moist Graminoid Shrub Meadow,1,32,,-9999,,-9999,,0,NA,NA
13,1,37,1_37,473045.8565,6790784.188,Lowland Moist Graminoid Shrub Meadow,1,45,,-9999,,-9999,,0,NA,NA
14,1,38,1_38,473046.8544,6790784.252,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
15,1,39,1_39,473047.8524,6790784.317,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,NA,NA
16,1,40,1_40,473048.8503,6790784.381,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
17,1,41,1_41,473049.8482,6790784.445,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
18,1,42,1_42,473050.8462,6790784.51,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
19,1,43,1_43,473051.8441,6790784.574,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
20,1,44,1_44,473052.842,6790784.638,Lowland Moist Graminoid Shrub Meadow,1,37,,-9999,,-9999,,0,NA,NA
21,1,45,1_45,473053.8399,6790784.703,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
22,1,46,1_46,473054.8379,6790784.767,Lowland Moist Graminoid Shrub Meadow,1,30,,-9999,,-9999,,0,NA,NA
23,1,47,1_47,473055.8358,6790784.831,Lowland Moist Graminoid Shrub Meadow,1,33,,-9999,,-9999,,0,NA,NA
24,1,48,1_48,473056.8337,6790784.896,Lowland Moist Graminoid Shrub Meadow,1,28,,-9999,,-9999,,0,NA,NA
25,1,49,1_49,473057.8316,6790784.96,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
26,1,50,1_50,473058.8296,6790785.024,Lowland Moist Graminoid Shrub Meadow,1,35,,-9999,,-9999,,0,Belos 0776-0777,NA
27,1,51,1_51,473059.8275,6790785.089,Lowland Moist Graminoid Shrub Meadow,1,34,,-9999,,-9999,,0,NA,NA
28,1,52,1_52,473060.8254,6790785.153,Lowland Moist Graminoid Shrub Meadow,1,38,,-9999,,-9999,,0,NA,NA
29,1,53,1_53,473061.8234,6790785.217,Lowland Moist Graminoid Shrub Meadow,1,51,,-9999,,-9999,,0,NA,NA
30,1,54,1_54,473062.8213,6790785.282,Lowland Moist Graminoid Shrub Meadow,1,95,,95,GT,-9999,,0,NA,NA
31,1,55,1_55,473063.8192,6790785.346,Thermokarst Pit,1,106,,-9999,,-9999,,0,NA,edge of isolated pit
32,1,56,1_56,473064.8171,6790785.41,Thermokarst Pit,1,92,,125,GT,-9999,,10,NA,pit
33,1,57,1_57,473065.8151,6790785.475,Thermokarst Pit,1,111,,-9999,,-9999,,12,NA,pit
34,1,58,1_58,473066.813,6790785.539,Thermokarst Pit,1,102,,-9999,,-9999,,7,Belos 0775,pit
35,1,59,1_59,473067.8109,6790785.604,Thermokarst Pit,1,90,,-9999,,-9999,,12,NA,pit
36,1,60,1_60,473068.8089,6790785.668,Thermokarst Pit,1,88,,-9999,,-9999,,0,NA,edge of pit
