site_id,transect_name,ecotype,pf_observed,lon,lat,date,pf_depth,thaw_depth,obs_limit,source,method
0,1,Lowland Wet Sedge Meadow,0,-165.5030091054835,61.25039436636727,07/13/2016,,,125,Whitley_2018,tp
1,1,Lowland Wet Sedge Meadow,0,-165.50291616903885,61.250397601779035,07/13/2016,,,125,Whitley_2018,tp
2,1,Lowland Wet Sedge Meadow,0,-165.5028232305679,61.250400828156835,07/13/2016,,,125,Whitley_2018,tp
3,1,Lowland Wet Sedge Meadow,0,-165.50273029408447,61.250404063441295,07/13/2016,,,125,Whitley_2018,tp
4,1,Lowland Wet Sedge Meadow,0,-165.5026373557181,61.25040729866902,07/13/2016,,,125,Whitley_2018,tp
5,1,Lowland Moist Graminoid Shrub Meadow,0,-165.50254441919586,61.25041053382618,07/13/2016,,,125,Whitley_2018,tp
6,1,Lowland Moist Graminoid Shrub Meadow,0,-165.5024514825109,61.250413759942475,07/13/2016,,,125,Whitley_2018,tp
7,1,Lowland Moist Graminoid Shrub Meadow,0,-165.5024328937954,61.25041441234539,07/13/2016,,,125,Whitley_2018,tp
8,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50241430679938,61.25041505576164,07/13/2016,81.0,81.0,125,Whitley_2018,tp
9,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50239571980256,61.25041569917535,07/13/2016,50.0,50.0,125,Whitley_2018,tp
10,1,Rackline,1,-165.50237713294825,61.250416351563715,07/13/2016,42.0,42.0,125,Whitley_2018,tp
11,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50235854408638,61.25041699497924,07/13/2016,39.0,39.0,125,Whitley_2018,tp
12,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5023399572305,61.25041764736252,07/13/2016,32.0,32.0,125,Whitley_2018,tp
13,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5023213702306,61.25041829076605,07/13/2016,45.0,45.0,125,Whitley_2018,tp
14,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5023027832299,61.250418934167016,07/13/2016,35.0,35.0,125,Whitley_2018,tp
15,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50228419450815,61.25041958654957,07/13/2016,35.0,35.0,125,Whitley_2018,tp
16,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50226560750593,61.25042022994544,07/13/2016,37.0,37.0,125,Whitley_2018,tp
17,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50224702050295,61.25042087333879,07/13/2016,37.0,37.0,125,Whitley_2018,tp
18,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50222843177886,61.2504215257137,07/13/2016,33.0,33.0,125,Whitley_2018,tp
19,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50220984477428,61.25042216910196,07/13/2016,34.0,34.0,125,Whitley_2018,tp
20,1,Lowland Moist Graminoid Shrub Meadow,1,-165.502191257769,61.250422812487635,07/13/2016,37.0,37.0,125,Whitley_2018,tp
21,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5021726709061,61.250423464848026,07/13/2016,33.0,33.0,125,Whitley_2018,tp
22,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5021540820357,61.25042410823553,07/13/2016,30.0,30.0,125,Whitley_2018,tp
23,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50213549502806,61.2504247516136,07/13/2016,33.0,33.0,125,Whitley_2018,tp
24,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5021169081628,61.250425403966304,07/13/2016,28.0,28.0,125,Whitley_2018,tp
25,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50209832115365,61.25042604733929,07/13/2016,34.0,34.0,125,Whitley_2018,tp
26,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50207973228015,61.25042669071661,07/13/2016,35.0,35.0,125,Whitley_2018,tp
27,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5020611454126,61.2504273430617,07/13/2016,34.0,34.0,125,Whitley_2018,tp
28,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5020425584011,61.25042798642704,07/13/2016,38.0,38.0,125,Whitley_2018,tp
29,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50202396952528,61.250428629796716,07/13/2016,51.0,51.0,125,Whitley_2018,tp
30,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50200538265537,61.25042928213417,07/13/2016,95.0,95.0,125,Whitley_2018,tp
31,1,Thermokarst Pit,1,-165.50198679564153,61.250429925491886,07/13/2016,106.0,106.0,125,Whitley_2018,tp
32,1,Thermokarst Pit,1,-165.50196820862695,61.250430568847015,07/13/2016,125.0,125.0,125,Whitley_2018,tp
33,1,Thermokarst Pit,1,-165.50194961989115,61.250431221183746,07/13/2016,111.0,111.0,125,Whitley_2018,tp
34,1,Thermokarst Pit,1,-165.501931032875,61.25043186453379,07/13/2016,102.0,102.0,125,Whitley_2018,tp
35,1,Thermokarst Pit,1,-165.5019124460012,61.250432516858545,07/13/2016,90.0,90.0,125,Whitley_2018,tp
36,1,Thermokarst Pit,1,-165.50189385712,61.25043316021038,07/13/2016,88.0,88.0,125,Whitley_2018,tp
37,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5018752701015,61.250433803552816,07/13/2016,62.0,62.0,125,Whitley_2018,tp
38,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50185668322538,61.250434455869886,07/13/2016,37.0,37.0,125,Whitley_2018,tp
39,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50183809620535,61.25043509920721,07/13/2016,38.0,38.0,125,Whitley_2018,tp
40,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50181950732102,61.25043574254888,07/13/2016,37.0,37.0,125,Whitley_2018,tp
41,1,Lowland Moist Graminoid Shrub Meadow,1,-165.50180092044255,61.25043639485836,07/13/2016,33.0,33.0,125,Whitley_2018,tp
42,1,Lowland Moist Graminoid Shrub Meadow,1,-165.5017823334202,61.25043703818802,07/13/2016,33.0,33.0,125,Whitley_2018,tp
