thaw_depth,pf_observed,pf_depth,date,org_thick,obs_limit,site_id,lat,lon,source,method
73.0,1,73.0,2016-08-16,2.0,,I1,68.331211,-133.64511,Zhang_2019,tp
41.7,1,41.7,2016-08-16,21.0,,I2,68.331216,-133.64507,Zhang_2019,tp
63.0,1,63.0,2016-08-17,69.0,,I3,68.318598,-133.53359,Zhang_2019,tp
34.0,1,34.0,2016-08-16,26.0,,I5,68.35559,-133.69358,Zhang_2019,tp
80.7,1,80.7,2016-08-17,16.0,,I6,68.331711,-133.6525,Zhang_2019,tp
45.3,1,45.3,2016-08-17,49.0,,I7,68.316061,-133.46461,Zhang_2019,tp
57.3,1,57.3,2016-08-17,66.0,,I8,68.317379,-133.43895,Zhang_2019,tp
42.8,1,42.8,2016-08-16,20.0,,I9,68.339481,-133.69961,Zhang_2019,tp
26.0,1,26.0,2016-08-16,29.0,,I10,68.332539,-133.6474,Zhang_2019,tp
98.0,1,98.0,2016-08-17,13.5,,I11,68.316597,-133.46548,Zhang_2019,tp
32.5,1,32.5,2016-08-17,36.0,,I12,68.363218,-133.69905,Zhang_2019,tp
117.5,1,117.5,2016-08-16,122.0,,I13,68.34438,-133.69008,Zhang_2019,tp
41.5,1,41.5,2016-08-16,43.0,,I14,68.344778,-133.69003,Zhang_2019,tp
66.2,1,66.2,2016-08-17,22.0,,I15,68.308784,-133.52917,Zhang_2019,tp
59.0,1,59.0,2016-08-17,19.0,,I16,68.319023,-133.53308,Zhang_2019,tp
52.8,1,52.8,2016-08-16,55.0,,I17,68.355137,-133.6943,Zhang_2019,tp
,0,,2016-08-16,0.0,130.0,I18,68.33927,-133.70625,Zhang_2019,tp
44.6,1,44.6,2016-08-16,10.0,,I19,68.333867,-133.6553,Zhang_2019,tp
100.0,1,100.0,2016-08-16,4.0,,I20,68.333254,-133.65774,Zhang_2019,tp
55.0,1,55.0,2016-08-18,4.0,,I21,68.393863,-133.76634,Zhang_2019,tp
76.5,1,76.5,2016-08-17,8.0,,I22,68.362805,-133.70153,Zhang_2019,tp
62.0,1,62.0,2016-08-17,33.0,,I23,68.36306,-133.69927,Zhang_2019,tp
32.0,1,32.0,2016-08-17,23.0,,I24,68.363432,-133.69816,Zhang_2019,tp
29.0,1,29.0,2016-08-17,30.0,,I25,68.363268,-133.69887,Zhang_2019,tp
31.5,1,31.5,2016-08-18,30.0,,I27,68.393927,-133.7651,Zhang_2019,tp
88.0,1,88.0,2016-08-18,4.0,,I28,68.393945,-133.76513,Zhang_2019,tp
95.5,1,95.5,2016-08-18,11.0,,I29,68.393848,-133.76625,Zhang_2019,tp
73.0,1,73.0,2016-08-18,4.0,,I30,68.393858,-133.76627,Zhang_2019,tp
94.0,1,94.0,2016-08-18,4.0,,I31,68.393844,-133.76642,Zhang_2019,tp
73.0,1,73.0,2016-08-18,2.0,,I32,68.393859,-133.76677,Zhang_2019,tp
,0,,2016-08-18,2.0,100.0,I33,68.414665,-133.77059,Zhang_2019,tp
,0,,2016-08-18,6.0,100.0,I34,68.41467,-133.77062,Zhang_2019,tp
89.0,1,89.0,2016-08-18,10.0,,I35,68.413871,-133.76798,Zhang_2019,tp
71.3,1,71.3,2016-08-18,14.0,,I36,68.414095,-133.76738,Zhang_2019,tp
,0,,2016-08-18,0.0,100.0,I37,68.414289,-133.76947,Zhang_2019,tp
68.3,1,68.3,2016-08-18,2.0,,I38,68.415785,-133.77501,Zhang_2019,tp
79.5,1,79.5,2016-08-18,15.0,,I39,68.416048,-133.77692,Zhang_2019,tp
,0,,2016-08-18,2.0,120.0,I40,68.385338,-133.75692,Zhang_2019,tp
45.0,1,45.0,2016-08-19,45.0,,I41,68.363598,-133.70043,Zhang_2019,tp
36.3,1,36.3,2016-08-19,37.0,,I42,68.363181,-133.70077,Zhang_2019,tp
34.7,1,34.7,2016-08-19,37.0,,I43,68.363265,-133.70114,Zhang_2019,tp
39.0,1,39.0,2016-08-19,41.0,,I44,68.36318,-133.69961,Zhang_2019,tp
,0,,2016-08-19,0.0,100.0,I45,68.39317,-133.76483,Zhang_2019,tp
,0,,2016-08-19,0.0,100.0,I46,68.393841,-133.76622,Zhang_2019,tp
,0,,2016-08-19,0.0,100.0,I47,68.39377,-133.76586,Zhang_2019,tp
68.5,1,68.5,2016-08-19,8.0,,I48,68.353898,-133.67511,Zhang_2019,tp
40.3,1,40.3,2016-08-19,17.0,,I49,68.354087,-133.67557,Zhang_2019,tp
31.3,1,31.3,2016-08-19,32.0,,I50,68.354466,-133.67599,Zhang_2019,tp
41.7,1,41.7,2016-08-19,44.0,,I51,68.354812,-133.67607,Zhang_2019,tp
51.0,1,51.0,2016-08-19,55.0,,I52,68.355137,-133.67626,Zhang_2019,tp
58.3,1,58.3,2016-08-19,3.0,,I53,68.35339,-133.67575,Zhang_2019,tp
,0,,2016-08-19,13.0,100.0,I54,68.353267,-133.67664,Zhang_2019,tp
33.0,1,33.0,2016-08-19,32.0,,I55,68.367656,-133.72043,Zhang_2019,tp
50.3,1,50.3,2016-08-19,15.0,,I56,68.370204,-133.71907,Zhang_2019,tp
62.7,1,62.7,2016-08-21,69.0,,T1,69.417178,-133.02606,Zhang_2019,tp
38.8,1,38.8,2016-08-21,25.0,,T2,69.417516,-133.02638,Zhang_2019,tp
67.2,1,67.2,2016-08-21,8.0,,T3,69.417383,-133.0274,Zhang_2019,tp
78.0,1,78.0,2016-08-21,3.0,,T4,69.417335,-133.02708,Zhang_2019,tp
,0,,2016-08-21,0.0,100.0,T5,69.430643,-132.99825,Zhang_2019,tp
36.9,1,36.9,2016-08-21,27.0,,T6,69.431564,-132.99962,Zhang_2019,tp
38.5,1,38.5,2016-08-21,26.0,,T7,69.387158,-133.02399,Zhang_2019,tp
44.0,1,44.0,2016-08-21,17.0,,T8,69.38676,-133.02354,Zhang_2019,tp
53.25,1,53.25,2016-08-21,23.0,,T9,69.386868,-133.02283,Zhang_2019,tp
38.8,1,38.8,2016-08-21,18.0,,T10,69.386207,-133.02245,Zhang_2019,tp
50.3,1,50.3,2016-08-21,20.0,,T11,69.386135,-133.02115,Zhang_2019,tp
74.0,1,74.0,2016-08-21,6.0,,T12,69.386222,-133.02006,Zhang_2019,tp
43.0,1,43.0,2016-08-21,25.0,,T13,69.386076,-133.01884,Zhang_2019,tp
40.8,1,40.8,2016-08-21,18.0,,T14,69.388552,-133.02046,Zhang_2019,tp
46.0,1,46.0,2016-08-22,47.0,,T15,69.368028,-133.04116,Zhang_2019,tp
41.3,1,41.3,2016-08-22,42.0,,T16,69.367578,-133.03901,Zhang_2019,tp
41.5,1,41.5,2016-08-22,45.0,,T17,69.366063,-133.03519,Zhang_2019,tp
45.8,1,45.8,2016-08-22,8.0,,T18,69.365939,-133.03606,Zhang_2019,tp
64.7,1,64.7,2016-08-22,3.0,,T19,69.365823,-133.03635,Zhang_2019,tp
69.3,1,69.3,2016-08-22,4.0,,T20,69.365693,-133.03655,Zhang_2019,tp
74.7,1,74.7,2016-08-22,0.0,,T21,69.397133,-133.03263,Zhang_2019,tp
56.7,1,56.7,2016-08-22,59.0,,T22,69.397125,-133.03288,Zhang_2019,tp
65.8,1,65.8,2016-08-22,69.0,,T23,69.397122,-133.03312,Zhang_2019,tp
62.3,1,62.3,2016-08-22,15.0,,T24,69.397215,-133.03161,Zhang_2019,tp
69.0,1,69.0,2016-08-22,12.0,,T25,69.397222,-133.03135,Zhang_2019,tp
,0,,2016-08-22,0.0,100.0,T26,69.37159,-133.04358,Zhang_2019,tp
48.75,1,48.75,2016-08-22,8.0,,T27,69.373315,-133.04337,Zhang_2019,tp
86.5,1,86.5,2016-08-22,7.0,,T28,69.373746,-133.04175,Zhang_2019,tp
100.0,1,100.0,2016-08-22,2.0,,T29,69.37382,-133.04204,Zhang_2019,tp
41.0,1,41.0,2016-08-22,42.0,,T30,69.373332,-133.04311,Zhang_2019,tp
55.4,1,55.4,2016-08-23,12.7,,T31,69.282861,-132.90927,Zhang_2019,tp
58.5,1,58.5,2016-08-23,5.0,,T32,69.28241,-132.91179,Zhang_2019,tp
41.8,1,41.8,2016-08-23,43.0,,T33,69.282067,-132.91242,Zhang_2019,tp
36.0,1,36.0,2016-08-23,39.0,,T34,69.290611,-132.92141,Zhang_2019,tp
68.7,1,68.7,2016-08-23,3.0,,T35,69.291188,-132.92163,Zhang_2019,tp
78.3,1,78.3,2016-08-23,0.0,,T36,69.29147,-132.92206,Zhang_2019,tp
58.5,1,58.5,2016-08-23,5.0,,T37,69.296256,-132.94423,Zhang_2019,tp
47.3,1,47.3,2016-08-23,15.0,,T38,69.296254,-132.9441,Zhang_2019,tp
44.5,1,44.5,2016-08-23,23.0,,T39,69.29626,-132.94388,Zhang_2019,tp
66.0,1,66.0,2016-08-23,21.0,,T40,69.296292,-132.9421,Zhang_2019,tp
39.0,1,39.0,2016-08-23,29.3,,T41,69.304085,-132.96697,Zhang_2019,tp
48.5,1,48.5,2016-08-23,51.0,,T42,69.319371,-133.01217,Zhang_2019,tp
39.0,1,39.0,2016-08-23,16.0,,T43,69.319974,-133.01202,Zhang_2019,tp
65.25,1,65.25,2016-08-23,8.0,,T44,69.320285,-133.0127,Zhang_2019,tp
53.3,1,53.3,2016-08-24,55.0,,T45,69.356956,-133.03587,Zhang_2019,tp
45.8,1,45.8,2016-08-24,48.0,,T46,69.356957,-133.03574,Zhang_2019,tp
81.0,1,81.0,2016-08-24,25.0,,T47,69.357525,-133.03357,Zhang_2019,tp
40.0,1,40.0,2016-08-24,45.0,,T48,69.350775,-133.0346,Zhang_2019,tp
36.3,1,36.3,2016-08-24,36.0,,T49,69.349265,-133.0371,Zhang_2019,tp
51.25,1,51.25,2016-08-24,9.0,,T50,69.349313,-133.0393,Zhang_2019,tp
52.4,1,52.4,2016-08-24,7.5,,T51,69.32375,-133.02832,Zhang_2019,tp
28.7,1,28.7,2016-08-24,30.0,,T52,69.309959,-132.99436,Zhang_2019,tp
41.3,1,41.3,2016-08-24,10.0,,T53,69.311748,-132.99887,Zhang_2019,tp
42.0,1,42.0,2016-08-24,23.0,,T54,69.339985,-133.02805,Zhang_2019,tp
65.0,1,65.0,2017-08-18,2.0,,I1,68.331211,-133.64511,Zhang_2019,tp
53.7,1,53.7,2017-08-18,21.0,,I2,68.331216,-133.64507,Zhang_2019,tp
49.2,1,49.2,2017-08-18,69.0,,I3,68.318598,-133.53359,Zhang_2019,tp
33.2,1,33.2,2017-08-18,26.0,,I5,68.35559,-133.69358,Zhang_2019,tp
82.3,1,82.3,2017-08-15,16.0,,I6,68.331711,-133.6525,Zhang_2019,tp
46.0,1,46.0,2017-08-18,49.0,,I7,68.316061,-133.46461,Zhang_2019,tp
53.7,1,53.7,2017-08-18,66.0,,I8,68.317379,-133.43895,Zhang_2019,tp
43.8,1,43.8,2017-08-16,20.0,,I9,68.339481,-133.69961,Zhang_2019,tp
30.25,1,30.25,2017-08-17,29.0,,I10,68.332539,-133.6474,Zhang_2019,tp
97.0,1,97.0,2017-08-18,13.5,,I11,68.316597,-133.46548,Zhang_2019,tp
36.4,1,36.4,2017-08-17,36.0,,I12,68.363218,-133.69905,Zhang_2019,tp
,0,,2017-08-16,122.0,120.0,I13,68.34438,-133.69008,Zhang_2019,tp
44.0,1,44.0,2017-08-16,43.0,,I14,68.344778,-133.69003,Zhang_2019,tp
66.4,1,66.4,2017-08-18,22.0,,I15,68.308784,-133.52917,Zhang_2019,tp
47.25,1,47.25,2017-08-18,19.0,,I16,68.319023,-133.53308,Zhang_2019,tp
40.8,1,40.8,2017-08-15,55.0,,I17,68.355137,-133.6943,Zhang_2019,tp
,0,,2017-08-16,0.0,100.0,I18,68.33927,-133.70625,Zhang_2019,tp
42.8,1,42.8,2017-08-16,10.0,,I19,68.333867,-133.6553,Zhang_2019,tp
91.0,1,91.0,2017-08-16,4.0,,I20,68.333254,-133.65774,Zhang_2019,tp
84.7,1,84.7,2017-08-15,4.0,,I21,68.393863,-133.76634,Zhang_2019,tp
58.3,1,58.3,2017-08-17,8.0,,I22,68.362805,-133.70153,Zhang_2019,tp
56.8,1,56.8,2017-08-17,33.0,,I23,68.36306,-133.69927,Zhang_2019,tp
34.3,1,34.3,2017-08-17,23.0,,I24,68.363432,-133.69816,Zhang_2019,tp
30.6,1,30.6,2017-08-17,30.0,,I25,68.363268,-133.69887,Zhang_2019,tp
