source,entrytype,author,year,title,journal,booktitle,publisher,institution,version,volume,number,pages,doi,url,howpublished,note
Bakian_Dogaheh_2020,misc,"Bakian-Dogaheh, K., Chen, R. H., Moghaddam, M., Yi, Y., & Tabatabaeenejad, A. (2020). ABoVE",2018,"Active Layer Soil Characterization of Permafrost Sites, Northern Alaska, 2018 (Version 1)",,,ORNL Distributed Active Archive Center,,1,,,,,,,
Bonaventure_Whati,misc,"Bonaventure, P., unpublished observation of permafrost occurrence around Whati, Northwest Territories, Canada",2019,,,,,,,,,,,,", unpublished observation of permafrost occurrence around Whati, Northwest Territories, Canada, 2019",
Cable_2017,dataset,William Cable & Vladimir Romanovsky,2017,Network of Permafrost Observatories in Western Alaska,,,Arctic Data Center,,,,,,10.18739/A23N20D37,,,
CALM,dataset,"Streletskiy, Dmitry A; CALM; GTN-P; Wieczorek, Mareike; Heim, Birgit; Bartsch, Annett",2025,GTN-P CALM: 35 years of Active Layer Thickness (ALT) across latitudinal and elevational gradients in the Northern Hemisphere [dataset],,,PANGAEA,,,,,,10.1594/PANGAEA.972777,https://doi.org/10.1594/PANGAEA.972777,,
Chapin_2025,dataset,"Chapin, F.S., R. Ruess, and Bonanza Creek LTER. 2025. Bonanza Creek LTER",2002,"Annual Active Layer Depths from 2002 to Present in the Survey Line Fire near Fairbanks, Alaska ver 26",,,Environmental Data Initiative,Bonanza Creek LTER,26.,,,,,,,
Chapin_2025,dataset,"Chapin, F.S., R. Ruess, and Bonanza Creek LTER. 2025. Bonanza Creek LTER",2004,"Annual Active Layer Depths from 2004 to Present in the Boundary Fire Fireline near Fairbanks, Alaska ver 27",,,Environmental Data Initiative,Bonanza Creek LTER,27.,,,,,,,
Chen_2015,dataset,"Chen, A. C., Parsekian, A. D., Schaefer, K., Jafarov, E. E., Panda, S. K., Liu, L., Zhang, T., & Zebker, H. A. (2015). Pre-ABoVE",2025,Ground-penetrating Radar Measurements of ALT on the Alaska North Slope (Version 1),,,ORNL Distributed Active Archive Center,,1,,,,10.3334/ORNLDAAC/1265,https://doi.org/10.3334/ORNLDAAC/1265,,Date accessed 2025-10-24; bibliographic-only duplicate source retained for synthesis traceability; do not ingest separately
Daanen_2017,dataset,Ronald Daanen,2017,"Elevation and permafrost active layer observations near two creeks in the foothills of the Brooks Range, Alaska, May 2017",,,Arctic Data Center,,,,,,10.18739/A2H708100,,,
Douglas_Koyukuk_2022,dataset,Douglas M ; Blankenship R ; Chadwick A ; Dunne K ; Fischer W ; Geyman E ; Ke Y ; Kemeny P ; Li G ; Magyar J ; Mutter E ; Nghiem J ; Piliouras A ; Reahl J ; Rowland J ; Schwenk J ; Seelen E ; Smith M I ; West A J ; Lamb M,2023,"Geomorphic mapping and permafrost occurrence on the Koyukuk River floodplain near Huslia, Alaska",,,ESS-DIVE,,floodplain,,,,10.15485/2204419,,,
Ebel_2018,dataset,"Ebel, B.A., 2018, Physical and hydraulic properties at recently burned and long-unburned boreal forest areas in interior Alaska, USA",2018,"Physical and hydraulic properties at recently burned and long-unburned boreal forest areas in interior Alaska, USA",,,,U.S. Geological Survey,,,,,,,,
Hanston_etal_2024,dataset,Hanston W ; Yang D ; Hayes D ; Serbin S,2024,"Thaw depth, soil moisture, and vegetation height, Teller and Kougarok sites, Seward Peninsula, Alaska, 2022",,,ESS-DIVE,,,,,,,,,
Hollingsworth_2005,misc,"Hollingsworth, Teresa Nettleton",2005,"Active layer depths: 150 mature black spruce sites in interior Alaska (2000-2003), Bonanza Creek LTER - University of Alaska Fairbanks",,,,Bonanza Creek LTER,,,,,10.6073/pasta/2fbece708e6552adb8ba6dcbc817ebb1,http://www.lter.uaf.edu/data/data-detail/id/140,,
Holloway_2019,article,Jean E. Holloway & Antoni G. Lewkowicz,2020,"Half a century of discontinuous permafrost persistence and degradation in western Canada,"" Permafrost and Periglacial Processes, John Wiley & Sons, vol",Permafrost and Periglacial Processes,,,,,,,,,,,
Jafarov_2016,dataset,"Jafarov, E., A. Parsekian, K. Schaefer, L. Liu, A. Chen, S.K. Panda, and T. Zhang. 2018. Pre-ABoVE",2013,"Active Layer Thickness and Soil Water Content, Barrow, Alaska, 2013",,,ORNL DAAC,,,,,,10.3334/ORNLDAAC/1355,https://doi.org/10.3334/ORNLDAAC/1355,,
James_2019,dataset,"James, S.R., Minsley, B.J., Waldrop, M.P., McFarland, J.W., Manies, K.L., and Pastick, N.J., 2021, Permafrost characterization at the Alaska Peatland Experiment (APEX)",2020,Permafrost characterization at the Alaska Peatland Experiment (APEX): Geophysical and related field data collected from 2018-2020,,,,U.S. Geological Survey,,,,,,,,
James_2020,dataset,"James, S.R., Minsley, B.J., Pastick, N.J., and Sullivan, T.D., 2020, Alaska permafrost characterization",2020,Alaska permafrost characterization: Geophysical and related field data collected from 2019-2020,,,,U.S. Geological Survey,,,,,,,,
Jones_2025,dataset,"Benjamin Jones, Mikhail Kanevskiy, Melissa Ward Jones, Phillip Wilson, Isaiah Ditmer, Benjamin Gaglioti, Eric Klein, Rodrigo Rangel, Kristi Wallace, Miriam Jones, Matthew Wooller, & Yuri Shur",2025,"Near-surface permafrost studies near Bethel and remotely sensing ice wedge networks across the Yukon Kuskokwim Delta, Alaska 2025",,,Arctic Data Center,,,,,,10.18739/A24B2X68B,,,
Jones_Jones_2025,dataset,"Melissa Ward Jones, & Benjamin Jones",2025,"Permafrost and Environmental Monitoring in 2023 and 2024 at the Teshekpuk Lake Observatory, Northern Alaska",,,Arctic Data Center,,,,,,10.18739/A29Z90D9R,,,
Jorgenson_Kanevskiy_2022_Gosling,dataset,"Mark Jorgenson, & Mikhail Kanevskiy",2022,"Gosling Lake, Alaska, Topography, Vegetation, Soils, Soil temperatures, and Site-Environmental Data, 2005-2021",,,Arctic Data Center,,,,,,10.18739/A22F7JS4S,,,
Jorgenson_Kanevskiy_2022_Jago,dataset,"Mark Jorgenson, & Mikhail Kanevskiy",2022,"Jago Alaska Topography, Vegetation, Soils, and Site-Environmental Data 2009-2018",,,Arctic Data Center,,,,,,10.18739/A2XP6V496,,,
Jorgenson_Kanevskiy_2025,dataset,"Mark Jorgenson, & Mikhail Kanevskiy",2025,Alaska Permafrost Soils Inventory and Thermokarst Monitoring Database 2024 Update,,,Arctic Data Center,,,,,,10.18739/A27P8TG0G,,,
Kling_2016,dataset,"Kling, G",2016,"Tussock Watershed Thaw Depth Survey Summary for 1990 to present, Arctic LTER, Toolik Research Station, Alaska",,,Environmental Data Initiative,Arctic LTER,9.,,,,,,,
Kling_2025,dataset,"Kling, G",2025,"Imnavait Watershed Thaw Depth Survey Summary for 2003 to 2024, Arctic LTER, Toolik Research Station, Alaska",,,Environmental Data Initiative,Arctic LTER,13.,,,,10.6073/pasta/6ed482c5c7dd3fd5871b2e463734ce75,https://doi.org/10.6073/pasta/6ed482c5c7dd3fd5871b2e463734ce75,,Accessed 2025-07-30
Koyukuk_2018,dataset,Schwenk J ; Piliouras A ; Rowland J,2023,"Observations and Machine-Learned Models of Near-Surface Permafrost along the Koyukuk River, Alaska, USA",,,ESS-DIVE,,,,,,10.15485/1922517,,,
Langer_etal_2020,dataset,"Langer, Moritz; Kaiser, Soraya; Oehme, Alexander; Schneider von Deimling, Thomas; Jacobi, Stephan (2020)",2019,Active layer thickness (ALT) on the North Slope of Alaska (USA) and Manitoba (Canada) in summer 2018 and 2019 [dataset],,,PANGAEA,,,,,,,,,
Minsley_2015,dataset,"Pastick, N.J., Kass, M.A., Wylie, B.K., James, S.R., Rey, D.M., Minsley, B.J., and Ebel, B.A., 2018, Alaska permafrost characterization",2017,Alaska permafrost characterization: Geophysical and related field data collected from 2016-2017,,,,U.S. Geological Survey,,,,,,,,
Minsley_2017,dataset,"Pastick, N.J., Kass, M.A., Wylie, B.K., James, S.R., Rey, D.M., Minsley, B.J., and Ebel, B.A., 2018, Alaska permafrost characterization",2017,Alaska permafrost characterization: Geophysical and related field data collected from 2016-2017,,,,U.S. Geological Survey,,,,,,,,
Minsley_2021,dataset,"Minsley, B.J., James, S.R., and Pastick, N.J., 2022, Alaska permafrost characterization",2021,Alaska permafrost characterization: Geophysical and related field data collected in 2021,,,,U.S. Geological Survey,,,,,,,,
Moore_et_al_2025,dataset,"Moore, M.A., K. Schaefer, L.K. Clayton, E.E. Hoy, M. Auclair, K. Bakian-Dogaheh, M.J. Battaglia, K. Bennett, W.R. Bolton, L.L. Bourgeau-Chavez, A.E. Bredder, D. Chen, R.H. Chen, A.C. Chen, J. Chen, D. Chiasson, R. Chitra-tarak, A. Collins, L. Cornette, J. Dann, E. Devoie, M. Dominico, T.A. Douglas, S. Gagnon, S.E. Grelick, P. Griffith, J. He, G. Iwahana, E. Jafarov, L.K. Jenkins, E.S. Kasischke, S. Kim, P.B. Kirchner, B. Lecavalier, J. Ledman, S. Liben, L. Liu, T.V. Loboda, S. Ludwig, M.J. Macander, N. Matsui, R.J. Michaelides, M. Moghaddam, S. Natali, S.K. Panda, A.D. Parsekian, M. Pearce, W. Quinton, A.V. Rocha, H. Rodenhizer, P. Roy-LÃ©veillÃ©e, N. Saravanan, Z. Sauve, S.R. Schaefer, E.A.G. Schuur, O. Sonnentag, T.D. Sullivan, A. Tabatabaeenejad, L. Thomas, B. Thorne, K. Turner, K. Wang, C.J. Wilson, H.A. Zebker, T. Zhang, Y. Zhao, and S. Zwieback. 2025. ABoVE",2022,"Soil Moisture and Active Layer Thickness in Alaska, USA and Canada, 2005-2022",,,ORNL DAAC,,,,,,10.3334/ORNLDAAC/2369,https://doi.org/10.3334/ORNLDAAC/2369,,Synthesis source; Chen_2015/ORNLDAAC/1265 is retained as a bibliographic-only duplicate source for traceability
Myers-Smith_2005,misc,"Myers-Smith, Isla",2005,"Active Layer Depth Data for the BBC collapse scar for 2003 and 2004, Bonanza Creek LTER - University of Alaska Fairbanks",,,,Bonanza Creek LTER,,,,,10.6073/pasta/28920b92a1ca20a1a7e90fff842f3e45,http://www.lter.uaf.edu/data/data-detail/id/206,,
Natali_2023,dataset,"Natali, S., Ludwig, S., Minions, C., & Watts, J. D. (2023). ABoVE",2025,Thaw Depth at Selected Unburned and Burned Sites Across Alaska (Version 1,,,ORNL Distributed Active Archive Center,,1.0,,,,10.3334/ORNLDAAC/1579,https://doi.org/10.3334/ORNLDAAC/1579,,Date Accessed 2025-10-27
Obu_etal_2016,dataset,"Obu, Jaroslav; Lantuit, Hugues; Myers-Smith, Isla H; Heim, Birgit; Wolter, Juliane; Fritz, Michael (2016)",2016,Permafrost cores and active layer pits on Herschel Island: core attributes [dataset],,,PANGAEA,lter,,,,,,,,
Pastick,misc,,,,,,,,,,,,,,"Pastick, Neal, unpublished data various sources",
Patton_2021,article,"Patton, A. I., Rathburn, S. L., Capps, D. M., McGrath, D., & Brown, R. A",2021,Ongoing landslide deformation in thawing permafrost,Geophysical Research Letters,,,,,,,,,,,
Pawley_2018,misc,"Pawley, S.M. and Utting, D.J. (2018)",2018,"Permafrost site location training data for northern Alberta (tabular data, tab‑delimited format); Alberta Energy Regulator, AER/AGS Digital Data 2018‑0006",,,,,,,,,,,"(2018): Permafrost site location training data for northern Alberta (tabular data, tab‑delimited format); Alberta Energy Regulator, AER/AGS Digital Data 2018‑0006",
Peirce_2020,dataset,"Jana Peirce, Donald A (Skip) Walker, Emily Watson-Cook, Mikhail Kanevskiy, & Helena Bergstedt",2022,"Observations in ice-rich permafrost systems, Prudhoe Bay Alaska, August 2020",,,Arctic Data Center,,,,,,10.18739/A2542J96D,,,
Petrone_etal_2016,dataset,"Petrone, Johannes; Sohlenius, Gustav; Johansson, Emma; Lindborg, Tobias; Näslund, Jens-Ove; Strömgren, Mårten; Brydsten, Lars (2016)",2016,"Using ground-penetrating radar, topography and classification of vegetation to model the sediment and active layer thickness in a periglacial lake catchment, Western Greenland, link to shapefiles [dataset]",,,PANGAEA,,,,,,,,,
