cusp_obs_id,source,site_id,lat,lon,date,pf_observed,thaw_depth,pf_depth,obs_limit,method,quality_flags
obs_053ba0a9be284b6e,Bakian_Dogaheh_2020,FB,69.812372,-148.766486,2018-08-26,1,61.27835051546392,61.27835051546392,,tp_pit,CS;SS
obs_fc5a906e73acf2b7,Bakian_Dogaheh_2020,ICC,69.041894,-148.827031,2018-08-23,1,46.8421052631579,46.8421052631579,,tp_pit,CS;SS
obs_0d96bc6d16819eb7,Bakian_Dogaheh_2020,ICC,69.041928,-148.825383,2018-08-23,1,47.68421052631579,47.68421052631579,,tp_pit,CS;SS
obs_501c114b8afd23ac,Bakian_Dogaheh_2020,IMN,68.604972,-149.30635,2018-08-24,1,45.51315789473684,45.51315789473684,,tp_pit,CS;SS
obs_8b48d79ab4900738,Bakian_Dogaheh_2020,SGW,69.479578,-148.56443,2018-08-22,1,61.15714285714286,61.15714285714286,,tp_pit,CS;SS
obs_d6411a24cb5ffe70,Bakian_Dogaheh_2020,SGW,69.479578,-148.56442,2018-08-22,1,65.2,65.2,,tp_pit,CS;SS
obs_9fcf0e3fa66279db,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1962-08-01,1,42.778,42.778,,tp,DA;DS;CS;SS;DO
obs_5454c34f156d316c,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-06-13,1,17.4,17.4,,tp,CS;SS;DO
obs_35dd1ad774731995,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-06-20,1,25.5,25.5,,tp,CS;SS;DO
obs_de6fa58573a2d311,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-06-27,1,28.35,28.35,,tp,CS;SS;DO
obs_c3bb46e831d350b4,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-07-04,1,30.05,30.05,,tp,CS;SS;DO
obs_968565fcbd19f070,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-07-11,1,31.35,31.35,,tp,CS;SS;DO
obs_7ec315e08e93cebc,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-07-18,1,31.7,31.7,,tp,CS;SS;DO
obs_97b84b18fcf9bce5,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-07-25,1,35.25,35.25,,tp,CS;SS;DO
obs_56e79c001fcb4aa2,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-08-01,1,37.25,37.25,,tp,CS;SS;DO
obs_2b9ac8887933d4ea,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-08-07,1,36.85,36.85,,tp,CS;SS;DO
obs_77a9c09dbca7373b,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-08-16,1,40.6,40.6,,tp,CS;SS;DO
obs_d7b3f149ca38b1ff,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-08-29,1,39.528,39.528,,tp,CS;SS;DO
obs_3adc50138e7550bb,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1963-09-19,1,34.95,34.95,,tp,CS;SS;DO
obs_6265e7b966a07e04,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-07-01,1,18.65,18.65,,tp,CS;SS;DO
obs_6f19dc52a3ebff02,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-07-09,1,23.85,23.85,,tp,CS;SS;DO
obs_8e01b014d9626cc0,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-07-16,1,23.3,23.3,,tp,CS;SS;DO
obs_fdfcdbd2dec1f8f9,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-07-24,1,26.1,26.1,,tp,CS;SS;DO
obs_c96932d48d15f32e,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-07-29,1,27.6,27.6,,tp,CS;SS;DO
obs_e2724847589a0032,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-08-05,1,28.0,28.0,,tp,CS;SS;DO
obs_a2440c8c91ed68c7,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-08-12,1,29.25,29.25,,tp,CS;SS;DO
obs_0a1e9c7e91526537,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-08-23,1,29.7,29.7,,tp,CS;SS;DO
obs_b0268512afd6690e,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1964-08-28,1,31.306,31.306,,tp,CS;SS;DO
obs_1eed0b239ad8fdb2,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-07-17,1,27.35,27.35,,tp,CS;SS;DO
obs_ccf47ed1cfbb9d69,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-07-24,1,28.8,28.8,,tp,CS;SS;DO
obs_32847a99a7c02282,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-07-31,1,28.4,28.4,,tp,CS;SS;DO
obs_1066f32ed534d3b7,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-08-07,1,31.1,31.1,,tp,CS;SS;DO
obs_44952400aebf27d7,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-08-14,1,31.7,31.7,,tp,CS;SS;DO
obs_8d60e6dac165855f,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-08-21,1,35.55,35.55,,tp,CS;SS;DO
obs_4702a38187ea7a0a,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-08-28,1,36.9,36.9,,tp,CS;SS;DO
obs_1935b30fef2f0eeb,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-09-04,1,37.167,37.167,,tp,CS;SS;DO
obs_2e9658a774e73b98,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1965-09-20,1,33.8,33.8,,tp,CS;SS;DO
obs_e2f66e67fd5344da,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-07-07,1,28.3,28.3,,tp,CS;SS;DO
obs_1cada6c6737dacee,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-07-14,1,31.55,31.55,,tp,CS;SS;DO
obs_44c1e8229bf4a445,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-07-21,1,33.8,33.8,,tp,CS;SS;DO
obs_5d683f411a386701,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-07-28,1,36.8,36.8,,tp,CS;SS;DO
obs_d51a9b9202840e15,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-08-04,1,37.25,37.25,,tp,CS;SS;DO
obs_8329e45b880dbcc7,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-08-11,1,36.95,36.95,,tp,CS;SS;DO
obs_4c2820905af7d4ed,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-08-17,1,37.194,37.194,,tp,CS;SS;DO
obs_f8137b59fa9f3b72,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1966-08-26,1,36.35,36.35,,tp,CS;SS;DO
obs_5b69e5d623756f9f,Barrow_CALM_U1,U1_P1,71.29058,-156.78872,1968-08-29,1,42.765,42.765,,tp,CS;SS;DO
obs_ac31d496a5b488ed,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1963-08-29,1,31.75,31.75,,tp,CS;SS;DO
obs_ab84cf5860c5e6f2,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1963-09-03,1,31.75,31.75,,tp,CS;SS;DO
obs_577d53f0bbf77a25,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-07-01,1,15.55,15.55,,tp,CS;SS;DO
obs_4b5faf94a1e98a9f,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-07-09,1,20.0,20.0,,tp,CS;SS;DO
obs_846a8448abe6414d,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-07-16,1,20.0,20.0,,tp,CS;SS;DO
obs_0e3d34126f796cc3,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-07-24,1,22.7,22.7,,tp,CS;SS;DO
obs_c829a3c78bc09124,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-07-29,1,23.8,23.8,,tp,CS;SS;DO
obs_2ecb4927900e43d0,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-08-05,1,23.85,23.85,,tp,CS;SS;DO
obs_f9617560237123d6,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-08-12,1,24.55,24.55,,tp,CS;SS;DO
obs_3ba24c79bb4298f5,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-08-23,1,24.3,24.3,,tp,CS;SS;DO
obs_77145c87c3dc0cee,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1964-08-28,1,27.167,27.167,,tp,CS;SS;DO
obs_918e6660c3e6d7ed,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-07-17,1,21.7,21.7,,tp,CS;SS;DO
obs_43489b5ff3e3eacd,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-07-24,1,24.0,24.0,,tp,CS;SS;DO
obs_d8ed4c255511f5fa,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-07-31,1,24.95,24.95,,tp,CS;SS;DO
obs_4a187c6cbc8c6c89,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-08-07,1,25.95,25.95,,tp,CS;SS;DO
obs_9ca4fa0e5f6909e2,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-08-14,1,26.1,26.1,,tp,CS;SS;DO
obs_af9ba6145695edf4,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-08-21,1,29.3,29.3,,tp,CS;SS;DO
obs_df7ead0521167909,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-08-28,1,30.35,30.35,,tp,CS;SS;DO
obs_5413430af40d7fd8,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1965-09-04,1,31.139,31.139,,tp,CS;SS;DO
obs_36042ec77cd16430,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-07-07,1,21.45,21.45,,tp,CS;SS;DO
obs_f70dcb037232a837,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-07-14,1,24.4,24.4,,tp,CS;SS;DO
obs_97c72c2c777f0318,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-07-21,1,26.75,26.75,,tp,CS;SS;DO
obs_1bf2776c4b3b3975,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-07-28,1,28.6,28.6,,tp,CS;SS;DO
obs_3b78169fb491b3a2,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-08-04,1,30.15,30.15,,tp,CS;SS;DO
obs_8d1a0a7c9203188d,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-08-11,1,30.25,30.25,,tp,CS;SS;DO
obs_5db9833a3ca57761,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-08-17,1,30.944,30.944,,tp,CS;SS;DO
obs_e542beaa38f30d36,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1966-08-26,1,29.05,29.05,,tp,CS;SS;DO
obs_f761410793d0b8d5,Barrow_CALM_U1,U1_P11,71.29058,-156.78872,1993-08-16,1,27.694,27.694,,tp,CS;SS;DO
obs_db6fd2b33c168b0e,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1962-08-01,1,54.417,54.417,,tp,DA;DS;CS;SS;DO
obs_b2cc3e4e4e1e8148,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-06-13,1,7.5,7.5,,tp,CS;SS;DO
obs_1382a13da713d8b8,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-06-20,1,24.4,24.4,,tp,CS;SS;DO
obs_fd6c414cea47aa50,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-06-27,1,30.05,30.05,,tp,CS;SS;DO
obs_1aa1b4df0df028e4,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-07-04,1,33.3,33.3,,tp,CS;SS;DO
obs_e8ec3b65b4c3bd10,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-07-11,1,36.55,36.55,,tp,CS;SS;DO
obs_806e03ff1ea983fc,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-07-18,1,38.55,38.55,,tp,CS;SS;DO
obs_8d549379361509a5,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-07-25,1,42.2,42.2,,tp,CS;SS;DO
obs_3f915bab866ec7a0,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-08-01,1,45.85,45.85,,tp,CS;SS;DO
obs_6ff7ef03ea321883,Barrow_CALM_U1,U1_P14,71.29058,-156.78872,1963-08-07,1,46.2,46.2,,tp,CS;SS;DO
